# bode_plot v2 2026-07-30 10:53:08
# element=1 inject=replace output=raw amplitude=0.1 amplitude2=0.05
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.32
# fit K(<=30Hz)=3.7872 +/- 0.0075  tau_meas_ms=0.4532  loop_frames=2.717 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=1.58  mag_flat_rms=0.076
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant through the PARPORT DAC (DAC81404, spi link, mmio, range 0-5 V on a +/-12 V supply), no coarse stage, ch0=y / ch1=x. Drive 2.5 V +/- 100 mV, i.e. 2.4..2.6 V (scale -1.0 V/unit, offset 2.5, amplitude 0.1). 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Purpose: derive BOTH Kx and tau for this transport from scratch. tau: expect SHORTER than the piplate-era 5.8 fr, since the ~0.5-1.4 ms serial write is now a ~6.4 us bit-bang. Kx: expect WELL BELOW the old 0.915 -- the fine channel is divided downstream and scale is halved (1.0 vs 2.0 V/unit), so the old value is not a prediction, only an upper bound. K uses <=30 Hz; tau uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 3.78303 -0.00176822 0.0072377 0.000227458 1 3.93701 -0.00266007
5.09 3.76085 -0.00183936 0.00302257 0.000480627 0.999999 3.93257 -0.00210423
5.09 3.76671 -0.00236994 0.00508251 0.000725032 0.999998 3.9334 -0.00335572
6.59 3.77803 -0.00182332 0.00972074 0.000734767 0.999999 3.94055 -0.00127878
6.59968 3.74769 -0.00152934 0.00730175 0.000794076 0.999998 3.94813 -0.00530204
7.07393 3.74305 -0.00289828 0.00514663 0.00102094 0.999997 3.97731 -0.00116517
7.58226 3.76288 -0.000908572 0.00489173 0.00122234 0.999996 3.97518 -0.000274124
8.12713 3.75826 -0.00133016 0.00723158 0.00176657 0.999991 3.9548 -0.00684192
8.32 3.7822 -0.00233191 0.0117827 0.00210954 0.999986 3.94652 -0.00198648
9.82 3.80909 -0.00536799 0.0117691 0.00381951 0.999955 3.96072 -0.0117551
10.0081 3.80431 0.00204826 0.0155734 0.00285546 0.999976 3.92283 -0.00929748
10.7273 3.7906 0.0043839 0.0078297 0.00475279 0.999932 3.93347 0.00431595
11.31 3.84018 -0.00819776 0.0151945 0.00580758 0.999898 3.92842 -0.00645752
12.42 3.81842 0.000434428 0.00709448 0.00528724 0.999917 3.94651 0.013193
13.92 3.81863 0.00220882 0.0208358 0.00537175 0.999913 3.96096 0.00393249
14.1593 3.82487 0.00246268 0.00836241 0.00208914 0.999987 4.00884 -0.00351937
15.75 3.83889 -0.00183244 0.0183027 0.00471414 0.999932 4.00697 0.00019234
16.2674 3.84932 -0.000310328 0.00524962 0.00335354 0.999966 4.00418 -0.000390368
16.74 3.84432 -0.00393681 0.00676888 0.0019798 0.999988 3.96461 -2.81072e-05
18.67 3.8528 -0.00167836 0.0194356 0.00582323 0.999899 4.01575 -0.00439384
20.17 3.87457 0.000669281 0.0304734 0.00815032 0.9998 3.97219 -0.0165074
22.01 3.80114 -0.00065014 0.0404639 0.010588 0.999669 3.96394 0.0120135
23.0149 3.84583 -0.00621804 0.0198804 0.0106154 0.999658 3.95376 -0.0113429
24.6688 3.89379 -0.00826491 0.0153564 0.00394626 0.999953 4.01816 -0.00993493
26.4415 3.89112 -0.0106677 0.0123064 0.00604571 0.99989 4.0865 -0.00848555
28.3416 3.90714 -0.0141219 0.0115708 0.00400888 0.999949 4.05799 -0.0128156
30.38 3.92282 -0.0161939 0.0082075 0.00257578 0.99998 4.09394 -0.0125229
32.5612 3.9456 -0.0176593 0.00806597 0.00124715 0.999995 4.0659 -0.0183661
34.78 3.96133 -0.0221288 0.00426852 0.00126147 0.999996 4.11623 -0.0196963
37.409 3.96864 -0.0266547 0.00654873 0.00206593 0.999987 4.10853 -0.0245327
40.0973 3.97736 -0.0321391 0.00879057 0.00247588 0.999981 4.11836 -0.0401299
42.9787 4.02032 -0.0376399 0.00880309 0.00108974 0.999996 4.17668 -0.0395362
46.0671 4.0326 -0.045946 0.00417824 0.00137128 0.999994 4.20762 -0.0498296
49.3775 4.06467 -0.0531426 0.00283346 0.00100234 0.999997 4.25857 -0.0557426
52.9258 4.09386 -0.0636123 0.00494249 0.0012772 0.999995 4.29218 -0.0591356
56.729 4.1086 -0.0739501 0.0102151 0.00272934 0.999974 4.28854 -0.0767065
60.8056 4.12219 -0.085815 0.0088816 0.00339483 0.999965 4.31363 -0.0838888
65.1751 4.16321 -0.0975211 0.00451428 0.00158018 0.999992 4.3508 -0.100823
69.8586 4.16881 -0.110752 0.0055018 0.00108215 0.999994 4.37081 -0.115637
74.8787 4.17567 -0.122998 0.00668878 0.00150291 0.999992 4.3839 -0.130397
80.2595 4.19981 -0.143647 0.0123729 0.00190138 0.999979 4.42758 -0.146181
86.0269 4.20252 -0.167291 0.00512202 0.00127157 0.999996 4.44981 -0.165543
92.2088 4.23001 -0.184376 0.0135273 0.00268526 0.99999 4.47096 -0.188523
98.835 4.21812 -0.194805 0.00815495 0.00166888 0.999994 4.42855 -0.207153
105.937 4.23375 -0.237796 0.00561756 0.00676679 0.999863 4.47172 -0.234878
113.55 4.37383 -0.25435 0.0140128 0.00250274 0.99999 4.5683 -0.259689
121.71 4.37437 -0.288472 0.0135531 0.0031138 0.999971 4.59792 -0.294906
130.456 4.33789 -0.329747 0.00784748 0.00258998 0.999986 4.59652 -0.331968
139.83 4.30915 -0.359916 0.00959612 0.00151423 1 4.56503 -0.359159
149.879 4.23897 -0.413435 0.00894912 0.00194585 0.999988 4.50667 -0.413585
160.649 4.24868 -0.439506 0.00503608 0.00175819 0.999992 4.51638 -0.437039
172.193 4.13599 -0.463952 0.00804745 0.000803163 0.999981 4.38544 -0.464415
