# bode_plot v2 2026-07-30 11:42:08
# element=0 inject=replace output=raw amplitude=0.1 amplitude2=0.05
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3786.38
# fit K(<=30Hz)=3.6363 +/- 0.0053  tau_meas_ms=0.4165  loop_frames=2.577 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=2.44  mag_flat_rms=0.083
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant through the PARPORT DAC (DAC81404, spi link, mmio, range 0-5 V on a +/-12 V supply), no coarse stage, ch0=y / ch1=x. Drive 2.5 V +/- 100 mV, i.e. 2.4..2.6 V (scale -1.0 V/unit, offset 2.5, amplitude 0.1). 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Purpose: derive BOTH Kx and tau for this transport from scratch. tau: expect SHORTER than the piplate-era 5.8 fr, since the ~0.5-1.4 ms serial write is now a ~6.4 us bit-bang. Kx: expect WELL BELOW the old 0.915 -- the fine channel is divided downstream and scale is halved (1.0 vs 2.0 V/unit), so the old value is not a prediction, only an upper bound. K uses <=30 Hz; tau uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 3.62613 -0.000201472 0.00234025 0.00135526 0.999994 3.63161 0.000361711
5.09 3.63357 -0.000735934 0.00318966 0.000873408 0.999998 3.64372 0.00219749
5.09 3.63063 -0.000869296 0.00322758 0.000610023 0.999999 3.63458 -0.00165464
6.59 3.63447 0.000118718 0.00267849 0.000920586 0.999997 3.63532 -0.000838567
6.59968 3.63782 0.000225541 0.00291434 0.00084661 0.999998 3.63084 -0.000560762
7.07393 3.63213 0.000844911 0.00574137 0.00153306 0.999993 3.63641 0.000496033
7.58226 3.63521 0.000591189 0.00357278 0.00110571 0.999996 3.63357 0.00161924
8.12713 3.63605 -0.000763547 0.00574961 0.00200367 0.999988 3.63638 -0.00176594
8.32 3.63494 0.000149331 0.00705705 0.00114876 0.999996 3.6306 0.00471819
9.82 3.63719 0.000770924 0.00976993 0.00285778 0.999975 3.58439 -0.010335
10.0081 3.63892 0.00191668 0.0127119 0.00169938 0.999991 3.65634 0.00236934
10.7273 3.64215 -4.86112e-05 0.0083149 0.00223616 0.999985 3.62899 0.00712805
11.31 3.64096 0.00376976 0.00698921 0.00411476 0.999949 3.65292 0.00104856
12.42 3.64442 -0.00193963 0.0243338 0.00283987 0.999974 3.68791 -0.0160426
13.92 3.65976 0.00615602 0.00738278 0.0023238 0.999983 3.65548 0.00136866
14.1593 3.65363 0.00170875 0.00732535 0.00226151 0.999985 3.65484 0.00478536
15.75 3.66291 0.00333316 0.0145467 0.00182953 0.99999 3.66588 0.000565721
16.2674 3.6788 0.00222202 0.00676999 0.00417703 0.999947 3.6866 0.00740107
16.74 3.66955 0.00340616 0.00742421 0.00397109 0.999952 3.69874 0.00500097
18.67 3.68285 0.00259942 0.0233371 0.0059642 0.999894 3.67873 -0.00122173
20.17 3.68647 0.00749105 0.0627922 0.0113053 0.999612 3.61705 0.0281842
22.01 3.798 -0.0225252 0.106195 0.0186059 0.999009 3.51564 -0.0300713
23.0149 3.64754 -0.0165575 0.0438833 0.00978255 0.999707 3.71985 -0.0266989
24.6688 3.73709 0.00954542 0.0267697 0.00937709 0.999739 3.74273 -0.00433908
26.4415 3.72219 -0.00204947 0.0416158 0.0165369 0.999183 3.72056 -0.00549662
28.3416 3.75586 -0.0138979 0.0495833 0.0072157 0.999857 3.75119 0.000582495
30.38 3.76204 -0.00659718 0.0208497 0.00567808 0.9999 3.76766 -0.00802076
32.5612 3.77063 -0.0128894 0.0105038 0.00515524 0.999918 3.80519 -0.013154
34.78 3.78914 -0.0159415 0.0119219 0.00272185 0.999978 3.79422 -0.0139076
37.409 3.81549 -0.0222208 0.0148989 0.002212 0.999987 3.8152 -0.0194981
40.0973 3.86634 -0.0240054 0.00991293 0.00181518 0.999991 3.84604 -0.0353293
42.9787 3.84764 -0.0320622 0.0183152 0.00557006 0.999905 3.84571 -0.0351426
46.0671 3.87865 -0.0379576 0.00850395 0.00319178 0.999971 3.87148 -0.0374822
49.3775 3.89877 -0.0470432 0.00851556 0.00242534 0.999981 3.91269 -0.0462202
52.9258 3.91563 -0.0563141 0.0122667 0.00437564 0.999943 3.89038 -0.0590767
56.729 3.92187 -0.0690389 0.0458016 0.0136684 0.999452 3.89704 -0.0668987
60.8056 3.91856 -0.0787137 0.0429024 0.0105397 0.999665 3.925 -0.0734141
65.1751 3.99537 -0.0890709 0.0196191 0.0044556 0.999936 4.01483 -0.0928509
69.8586 4.00329 -0.099337 0.00975508 0.00193796 0.999991 4.01094 -0.107287
74.8787 4.04288 -0.117904 0.0148646 0.00241771 0.999983 4.06318 -0.122618
80.2595 4.03725 -0.135069 0.00885393 0.00123094 0.999996 4.04532 -0.130055
86.0269 4.04363 -0.147126 0.0117936 0.00177051 0.999989 4.04442 -0.149321
92.2088 4.09847 -0.164949 0.0052115 0.00349603 0.999967 4.09646 -0.165124
98.835 4.06241 -0.177797 0.014945 0.00317276 0.999965 4.07495 -0.170811
105.937 4.14366 -0.207771 0.00765254 0.00290392 0.999979 4.17256 -0.203417
113.55 4.15193 -0.239944 0.00989322 0.00329678 0.999961 4.10071 -0.236667
121.71 4.15956 -0.257853 0.0173691 0.00185909 0.999986 4.14142 -0.261316
130.456 4.14957 -0.283801 0.00474794 0.00224344 0.999985 4.14912 -0.282098
139.83 4.13855 -0.314295 0.00513861 0.000544246 1.00001 4.14455 -0.311094
149.879 4.21106 -0.345888 0.00530048 0.00235159 0.999987 4.22337 -0.340189
160.649 4.16772 -0.378506 0.00357352 0.00111816 0.999996 4.17028 -0.376336
172.193 4.10835 -0.397943 0.00412026 0.00108229 0.999996 4.10621 -0.394214
184.567 4.18934 -0.447761 0.00643067 0.00205068 0.999983 4.20186 -0.44274
197.83 4.165 -0.522853 0.0072005 0.0116885 0.99959 4.19635 -0.488641
212.046 4.17156 -0.537026 0.0112739 0.00157092 1.00003 4.18582 -0.527702
227.284 4.18444 -0.591648 0.00700661 0.000976457 1 4.19298 -0.575395
243.617 4.16015 -0.742544 0.0128291 0.00215286 0.999969 4.21678 -0.718603
261.123 3.97678 -0.69807 0.0183739 0.00381422 0.999914 3.99716 -0.677835
279.887 3.75529 -0.791888 0.0040647 0.00388852 0.999952 3.77223 -0.776756
300 3.70471 -0.584373 0.0123665 0.00466464 0.99993 3.69041 -0.559421
