# bode_plot v2 2026-07-31 12:23:52
# element=1 inject=replace output=raw amplitude=0.1 amplitude2=0.05
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.25
# fit K(<=30Hz)=4.0500 +/- 0.0037  tau_meas_ms=0.4654  loop_frames=2.763 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=1.71  mag_flat_rms=0.072
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant through the PARPORT DAC (DAC81404, spi link, mmio, range 0-5 V on a +/-12 V supply), no coarse stage, ch0=y / ch1=x. Drive 2.5 V +/- 100 mV, i.e. 2.4..2.6 V (scale -1.0 V/unit, offset 2.5, amplitude 0.1). 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Purpose: derive BOTH Kx and tau for this transport from scratch. tau: expect SHORTER than the piplate-era 5.8 fr, since the ~0.5-1.4 ms serial write is now a ~6.4 us bit-bang. Kx: expect WELL BELOW the old 0.915 -- the fine channel is divided downstream and scale is halved (1.0 vs 2.0 V/unit), so the old value is not a prediction, only an upper bound. K uses <=30 Hz; tau uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 4.04516 -0.00434602 0.00148052 0.000440669 0.999999 4.05369 -0.00444337
5.09 4.05056 -0.0037864 0.00139268 0.000602259 0.999999 4.05818 -0.00537085
5.09 4.048 -0.00343949 0.00159711 0.000281889 1 4.05067 -0.00557223
6.59 4.05261 -0.00277077 0.00494836 0.00142743 0.999994 4.04755 -0.00533653
6.59968 4.04995 -0.00314446 0.00239739 0.000832839 0.999998 4.05213 -0.00536738
7.07393 4.04341 -0.0034807 0.00412364 0.00135887 0.999994 4.05555 -0.00363693
7.58226 4.04103 -0.00312706 0.00362829 0.00188587 0.999989 4.0468 -0.00528078
8.12713 4.04563 -0.00382777 0.00831506 0.00211574 0.999987 4.07104 -0.00688188
8.32 4.05281 -0.00166387 0.00659228 0.00278983 0.999977 4.05682 -0.00366266
9.82 4.05297 0.00213566 0.0124903 0.00295646 0.999973 4.04972 -0.0143536
10.0081 4.04016 0.000839213 0.0111121 0.00243534 0.999982 4.06163 -0.00814299
10.7273 4.05627 0.00402006 0.0069514 0.00173163 0.999991 4.0796 -0.0085812
11.31 4.0732 0.00111786 0.0166591 0.00238551 0.999983 4.03747 -0.0133353
12.42 4.06743 0.00374634 0.0201033 0.00376635 0.999957 4.01607 -0.0221788
13.92 4.06838 0.000121458 0.0265305 0.00483616 0.999929 4.0693 0.00086563
14.1593 4.07716 -0.00302318 0.00669782 0.00309714 0.999972 4.11164 -0.00360168
15.75 4.07815 -0.000276582 0.00755316 0.00201099 0.999989 4.08753 -0.00413853
16.2674 4.08183 -0.00131118 0.00852349 0.00242027 0.999982 4.11272 -0.00358858
16.74 4.09248 -0.00357229 0.00664819 0.00171698 0.999991 4.08647 -0.00664393
18.67 4.09945 -0.00215017 0.0209531 0.00390604 0.999954 4.12274 -0.00769718
20.17 4.11235 0.00686613 0.0363536 0.00974925 0.999712 4.14543 -0.00606997
22.01 4.15544 -0.00652739 0.0351982 0.010689 0.999655 4.20796 -0.0244981
23.0149 4.13633 -0.0170216 0.0429446 0.00818287 0.999803 4.19085 -0.00752647
24.6688 4.13747 -0.0098923 0.0203877 0.00404987 0.999951 4.16907 -0.0130743
26.4415 4.15335 -0.0129379 0.0175839 0.00176463 0.999991 4.14991 -0.00641363
28.3416 4.14806 -0.0126194 0.0274734 0.00359464 0.999959 4.19691 -0.0200504
30.38 4.18324 -0.0152534 0.010383 0.00217445 0.999986 4.20076 -0.0162865
32.5612 4.19951 -0.0201378 0.0111912 0.00244788 0.999982 4.2072 -0.0244562
34.78 4.21751 -0.0245378 0.00474761 0.00220447 0.999985 4.23885 -0.0308763
37.409 4.24164 -0.028093 0.0090335 0.00187152 0.999989 4.25818 -0.0343062
40.0973 4.2499 -0.0308069 0.00652548 0.002592 0.999981 4.25268 -0.0263782
42.9787 4.26658 -0.0396573 0.0108238 0.000759183 0.999997 4.30792 -0.04391
46.0671 4.28593 -0.0482225 0.00398702 0.00109001 0.999997 4.32425 -0.047645
49.3775 4.30691 -0.0601315 0.00754169 0.00272916 0.999977 4.34553 -0.0528439
52.9258 4.33992 -0.0711447 0.0123027 0.00215412 0.999988 4.36722 -0.0668001
56.729 4.36305 -0.0749502 0.0242073 0.00625057 0.99988 4.38408 -0.0765249
60.8056 4.38097 -0.0844596 0.0189544 0.00433732 0.999942 4.41956 -0.0921844
65.1751 4.41613 -0.0974292 0.00554023 0.00151286 0.999993 4.45354 -0.0998133
69.8586 4.43313 -0.109958 0.00395536 0.000706947 0.999998 4.50614 -0.108551
74.8787 4.46392 -0.123571 0.00933994 0.00231365 0.999984 4.54071 -0.124471
80.2595 4.49306 -0.145776 0.0186298 0.00345714 0.999959 4.54851 -0.145031
86.0269 4.50152 -0.165862 0.0134336 0.00410521 0.999945 4.54181 -0.180925
92.2088 4.52902 -0.184032 0.0106087 0.00232026 0.999984 4.56216 -0.181915
98.835 4.52203 -0.197497 0.00860462 0.00101609 0.999997 4.61018 -0.207725
105.937 4.53353 -0.23033 0.00709487 0.00300083 0.999973 4.58493 -0.226485
113.55 4.63342 -0.252048 0.0149761 0.00379279 0.999954 4.75288 -0.25893
121.71 4.6464 -0.290891 0.0139375 0.00477364 0.999931 4.68845 -0.292814
130.456 4.62492 -0.336101 0.00759018 0.00214989 0.999992 4.69832 -0.332059
139.83 4.59383 -0.364572 0.00710303 0.00128717 0.999993 4.68547 -0.364012
149.879 4.51721 -0.415673 0.00810611 0.00203904 0.999988 4.56244 -0.417469
160.649 4.5445 -0.437801 0.00513511 0.00168476 0.99999 4.61317 -0.434416
172.193 4.42862 -0.463761 0.00671637 0.00220664 0.999996 4.46716 -0.485226
184.567 4.39075 -0.472352 0.0102086 0.0025457 0.999984 4.42698 -0.47263
197.83 4.47228 -0.535412 0.00481028 0.00214168 0.99999 4.546 -0.530581
212.046 4.38393 -0.582942 0.00566832 0.000949903 1.00001 4.45603 -0.572984
227.284 4.52261 -0.603391 0.00521115 0.00180694 0.999987 4.63172 -0.582271
243.617 4.51058 -0.695586 0.00287944 0.00107682 0.999996 4.63254 -0.668964
261.123 4.37891 -0.761227 0.00452796 0.00189367 0.999993 4.49996 -0.728579
279.887 4.31255 -0.828114 0.00472315 0.00315973 0.999978 4.49577 -0.779853
300 4.19698 -0.890124 0.0086748 0.00358571 0.99995 4.40632 -0.835224
