# bode_plot v2 2026-07-22 18:41:20
# element=0 inject=replace output=raw amplitude=0.3 amplitude2=0.15
# n_freqs=40 cycles=30 (6 segments x 5 cycles) n_settle=400+2cyc
# fs_nominal=3728 fs_measured=3770.73
# fit K(<=60Hz)=0.0090 +/- 0.0043  tau_meas_ms=-2.4665  loop_frames=-8.300 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=37.30  mag_flat_rms=7.531
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config SOUNDCARD y/tip delay: aylp_alsa L (hw:0,0 S16_LE 48kHz, threaded 0.083ms) -> analog sum -> FSM y-fine, coarse bias 2/2, 32x32 exp200 bw100. Piplate parked (scale 0) holding DC bias. R channel not connected.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
12 0.00827054 -0.171104 0.00358779 0.361921 0.665627 0.0251039 1.58868
12.42 0.00946205 -0.510722 0.00339794 0.39024 0.736363 0.0292139 0.215881
14.1537 0.00189745 1.21744 0.00688126 0.876568 0.11473 0.00159426 1.64058
15.75 0.00418018 -1.43558 0.00485564 0.800576 0.402983 0.00484736 0.338789
16.694 0.00561269 -0.301431 0.00417195 0.612635 0.394849 0.00688227 -1.89652
18.24 0.00160836 2.89262 0.0173248 0.664027 0.0425631 0.00699357 -2.35205
18.67 0.0111862 2.24286 0.0144541 0.545175 0.299159 0.0236671 -2.06245
22.01 0.028276 -1.83334 0.0260502 0.78969 0.438127 0.0566177 -0.100592
23.2241 0.00769766 0.0620715 0.027176 0.760543 0.116934 0.0733041 1.88499
25.2222 0.0107671 2.76308 0.0114688 0.714825 0.364763 0.0194571 1.75035
27.3922 0.143714 -1.44899 0.0929467 0.972384 0.847935 0.010774 0.0724835
28.88 0.00463742 -0.889284 0.0109661 0.692442 0.170607 0.0132926 -2.65919
32.3085 0.000774477 -1.33502 0.00679977 0.810536 0.0501826 0.00250254 -1.5812
34.78 0.00141911 -0.766099 0.007276 0.802533 0.0943304 0.0131871 1.23026
38.1071 0.00450795 -0.0926494 0.00761263 0.742177 0.234521 0.00711417 2.44199
41.3857 0.00477286 3.0945 0.00329249 0.552362 0.431978 0.0247828 -1.24802
44.9464 0.00627737 1.33261 0.0166941 0.694484 0.145615 0.00721747 2.92636
48.8135 0.00331912 2.63543 0.0047952 0.7369 0.258527 0.0121525 -1.89665
53.0132 0.0046962 -2.40153 0.0441152 0.889261 0.0456624 0.0379876 0.312223
58.83 0.0334609 2.32683 0.0212188 0.50688 0.426919 0.182482 -2.79736
62.5279 0.00170968 1.95456 0.0537634 0.858343 0.0142389 0.0220449 -0.795049
67.9076 0.0121797 -0.192014 0.0140576 0.604728 0.29188 0.0181773 -0.569869
73.7501 0.00778172 -0.539996 0.00476997 0.491592 0.471696 0.0138118 1.34706
80.0954 0.0070897 -0.384154 0.00931472 0.784784 0.271282 0.0220467 0.0527007
86.9865 0.00715579 -1.32366 0.00627901 0.628779 0.41176 0.00868401 0.52665
94.4706 0.00243444 -2.12823 0.00544144 0.563147 0.188892 0.0238107 1.67426
102.599 0.00299687 0.301183 0.0103677 0.765627 0.128513 0.00430588 1.44323
111.426 0.00662035 -2.60083 0.00996161 0.626948 0.292643 0.00766033 0.691557
121.013 0.023096 1.30371 0.00511144 0.372813 0.808829 0.0469631 -0.644253
131.424 0.00991503 -2.54803 0.0094952 0.686101 0.350817 0.0153381 0.598972
142.731 0.00562867 0.492541 0.00377209 0.683408 0.49376 0.00407714 -1.26701
155.012 0.000646572 -0.12839 0.00803171 0.731521 0.0391091 0.00325769 -2.55089
168.348 0.00169118 -2.81661 0.00914312 0.63483 0.0835557 0.00162008 -1.81563
182.833 0.000523418 -1.63853 0.0060111 0.76916 0.0397903 0.0044605 -0.915334
198.563 0.0005845 -1.40038 0.00392496 0.795226 0.0680538 0.0028015 0.44833
215.647 0.00132161 0.656371 0.00505799 0.755698 0.116899 0.00222754 -1.91918
234.2 0.00355726 -1.13614 0.00424726 0.781531 0.335452 0.00147945 1.59486
254.35 0.0012345 -2.90829 0.00411628 0.629256 0.140584 0.00233653 1.13243
276.234 0.000674811 1.21475 0.00267286 0.815917 0.109886 0.00254168 -0.581728
300 0.000779078 1.64515 0.00285636 0.664746 0.114605 0.000947858 -0.680769
