# fs_open=2309.83 fs_closed=2309.8 nfft=4096 open_s=500 closed_s=499.999 labels=y,x
# start=2026-07-14 12:46:09
# pixel_scale=31.5
# stat 0 0.119927 0.0125631 1.70921e-08 0.00478655
# stat 1 -0.237904 0.0179668 6.50126e-06 0.00777515
# config 100, 500, 100, 500, 4096: camera ASI290MM 64x64, ROI start (920,488), ~2310 Hz loop
# config pid: i=1050 iy=1500 + LEAD (s+2pi*8)/(s+2pi*32) both axes -> fc 64/65 Hz, PM 67, model Ms 2.0
# config (design: grid search over attenuation9 open PSD; lead trades <8 Hz gain for +37 deg at 16-64 Hz)
# config lines x=[9.8,12.0,21.7,24.9,57.5,83.3] gain=[40,60,60,40,20,15] phase=[40.8,37.7,32.6,31.9,19.1,-2.7]
# config linesy=[5.64,11.3,21.1,29.6,57.5] gainy=[50,50,40,30,15] phasey=[52.3,38.6,32.8,31.0,19.3]
# config phases = plant+sensitivity WITH lead: phi=-360*f*tau + angle(1/(1+L))
# config kalman: order=80 horizon=5 mu=0.03 gain=1.0 gainy=1.0 ramp=10
# config piplate: fine ch0(+2)/ch1(-2), coarse bias 2.55/1.65 (bode @ 2.52/1.62), baud 460800
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 9.41451e-08 2.40578e-09 -15.9254 2.20039e-07 2.58568e-08 -9.29926
0.563916 5.61773e-07 1.09264e-08 -17.1109 1.05476e-06 1.38626e-07 -8.81309
1.12783 2.2026e-07 1.04752e-08 -13.2277 5.73401e-07 1.29971e-07 -6.4461
1.69175 1.42116e-07 1.16808e-08 -10.8517 5.87647e-07 1.10191e-07 -7.26971
2.25566 1.03499e-07 1.16834e-08 -9.4737 4.45425e-07 8.41721e-08 -7.23607
2.81958 7.541e-08 1.05285e-08 -8.55063 3.42087e-07 7.75179e-08 -6.44734
3.3835 7.69784e-08 1.10432e-08 -8.43273 3.39203e-07 7.37994e-08 -6.62407
3.94741 9.43592e-08 1.29116e-08 -8.63805 4.04658e-07 8.65674e-08 -6.69734
4.51133 1.56928e-07 1.6072e-08 -9.89632 4.27167e-07 7.97233e-08 -7.29013
5.07524 1.49119e-06 6.44467e-08 -13.6433 4.59403e-07 8.627e-08 -7.26334
5.63916 2.79985e-06 1.10313e-07 -14.0451 6.32273e-07 9.61187e-08 -8.18097
6.20308 7.76815e-07 5.04347e-08 -11.8759 4.6988e-07 8.89011e-08 -7.2308
6.76699 9.17237e-08 2.40707e-08 -5.80994 3.07659e-07 8.28291e-08 -5.69886
7.33091 7.93938e-08 2.20315e-08 -5.56742 3.77373e-07 7.02859e-08 -7.29903
7.89483 1.20798e-07 2.57534e-08 -6.71223 6.10567e-07 9.02333e-08 -8.30367
8.45874 2.75955e-07 5.06487e-08 -7.36269 2.04466e-06 2.0603e-07 -9.96692
9.02266 3.26462e-06 4.96335e-07 -8.18058 2.5795e-05 1.66148e-06 -11.9104
9.58657 8.70972e-06 1.34523e-06 -8.11206 4.7011e-05 2.4613e-06 -12.8104
10.1505 4.62916e-06 8.22578e-07 -7.50325 1.44121e-05 1.07486e-06 -11.2737
10.7144 6.37886e-06 5.84053e-07 -10.3829 8.45371e-06 1.30864e-06 -8.10227
11.2783 1.23877e-05 5.12851e-07 -13.83 9.11244e-06 1.10453e-06 -9.16457
11.8422 5.0959e-06 4.72348e-07 -10.3296 2.21895e-05 8.50702e-07 -14.1637
