# fs_open=2308.99 fs_closed=2307.95 nfft=4096 open_s=499.999 closed_s=500 labels=y,x
# start=2026-07-15 13:30:40
# pixel_scale=31.5
# stat 0 -0.0014032 0.0126531 1.59487e-05 0.00404253
# stat 1 -0.133051 0.0221773 1.43511e-05 0.0069161
# config FULL-BAND FSP (Smith reconstruction + identified Wiener/Kalman predictor), replaces pid+kalman
# config latest Bode delay=1.81 ms=4.18 frames; discrete delay=4, fs=2310, broad_order=512, broad_mu=.03
# config The broad observer supplies the command; AR2 modes remain available for diagnostics/adaptation and are not summed.
# config attenuation10 open-PSD prediction bound: delay 4.0 y=0.0617 x=0.1026 px; delay 4.18 y=0.0644 x=0.1071 px
# config accept only after a >=500 s closed hardware run with no command clipping or HF instability
# config refs: Kulcsar 2006 / Petit 2008 / Meimon 2010 / Correia 2010
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 2.03498e-07 3.76516e-09 -17.3278 1.2659e-06 5.26963e-09 -23.8062
0.563463 1.01076e-06 1.55871e-08 -18.1188 7.34037e-06 6.51386e-09 -30.5188
1.12693 3.47876e-07 1.83777e-08 -12.7713 1.80613e-06 3.00856e-08 -17.7839
1.69039 1.39438e-07 4.1228e-08 -5.2919 9.88597e-07 1.27102e-07 -8.90868
2.25385 1.14377e-07 5.51527e-08 -3.16773 6.86413e-07 2.09483e-07 -5.15437
2.81732 8.90695e-08 6.03364e-08 -1.6915 4.95079e-07 3.22632e-07 -1.85966
3.38078 8.4537e-08 6.47365e-08 -1.15898 4.7711e-07 4.45177e-07 -0.300856
3.94424 8.79818e-08 6.56559e-08 -1.27119 4.891e-07 6.06059e-07 0.931168
4.50771 1.26096e-07 5.5539e-08 -3.56104 4.93286e-07 8.35243e-07 2.28714
5.07117 9.65683e-07 9.72159e-08 -9.97097 4.75032e-07 8.11145e-07 2.32375
5.63463 2.21283e-06 1.32242e-07 -12.2358 6.54975e-07 9.15897e-07 1.45622
6.1981 8.38283e-07 3.83033e-08 -13.4015 5.42755e-07 6.28821e-07 0.639227
6.76156 8.79203e-08 1.17303e-08 -8.74781 3.86648e-07 2.66863e-07 -1.61027
7.32502 7.59686e-08 2.13748e-08 -5.50732 4.75195e-07 1.79547e-07 -4.22694
7.88849 1.55799e-07 3.58656e-08 -6.37888 1.02955e-06 1.54987e-07 -8.22351
8.45195 5.13803e-07 5.40765e-08 -9.77788 3.3701e-06 1.28657e-07 -14.1821
9.01541 4.5144e-06 1.47229e-07 -14.8661 3.62019e-05 3.41813e-07 -20.2494
9.57888 9.96677e-06 2.52162e-07 -15.9688 6.14665e-05 4.7265e-07 -21.141
10.1423 5.02679e-06 1.19702e-07 -16.2319 1.62523e-05 2.06058e-07 -18.9693
10.7058 5.84154e-06 9.39669e-08 -17.9355 6.9503e-06 2.24519e-07 -14.9075
11.2693 1.28767e-05 1.6389e-07 -18.9525 7.86885e-06 2.65486e-07 -14.7187
11.8327 4.75453e-06 9.73308e-08 -16.8886 1.89701e-05 3.78474e-07 -17.0003
12.3962 3.17629e-06 8.47774e-08 -15.7364 3.51803e-05 4.60941e-07 -18.8265
12.9597 2.94813e-06 7.63501e-08 -15.8674 1.2347e-05 2.113e-07 -17.6666
13.5231 8.37828e-07 4.78717e-08 -12.4308 2.53254e-06 1.57637e-07 -12.059
14.0866 2.63318e-07 4.57428e-08 -7.60157 1.00325e-06 1.55997e-07 -8.08293
14.65 1.95322e-07 7.81284e-08 -3.97942 9.93719e-07 3.37472e-07 -4.69026
15.2135 2.27028e-07 1.23957e-07 -2.62809 1.58177e-06 6.68375e-07 -3.74123
15.777 1.8996e-07 1.11651e-07 -2.30799 1.19911e-06 5.17568e-07 -3.64891
16.3404 1.34956e-07 9.79672e-08 -1.39111 7.47619e-07 3.53055e-07 -3.25838
16.9039 1.43677e-07 1.18577e-07 -0.833876 9.86429e-07 3.87337e-07 -4.05977
17.4674 1.21122e-07 8.64216e-08 -1.46602 1.53279e-06 4.77787e-07 -5.06249
18.0308 1.43736e-07 6.45452e-08 -3.47702 1.0359e-06 2.1092e-07 -6.91199
18.5943 2.93736e-07 5.31951e-08 -7.42086 1.95809e-06 1.2687e-07 -11.8848
19.1578 2.20995e-06 1.44661e-07 -11.8403 1.58721e-05 4.75084e-07 -15.2386
19.7212 2.19523e-06 1.34805e-07 -12.1177 1.6914e-05 4.52271e-07 -15.7285
20.2847 8.84144e-07 3.15473e-08 -14.4756 8.00695e-06 9.40893e-08 -19.2993
20.8481 1.07093e-05 8.9296e-08 -20.7893 5.9895e-05 3.30477e-07 -22.5825
21.4116 1.84794e-05 1.36851e-07 -21.3044 9.28577e-05 4.57255e-07 -23.0766
21.9751 6.88757e-06 7.07912e-08 -19.8809 2.81527e-05 1.93768e-07 -21.6224
22.5385 5.16774e-06 7.54292e-08 -18.3576 1.56843e-05 2.62348e-07 -17.7659
23.102 4.79997e-06 1.05057e-07 -16.5981 1.20303e-05 4.57185e-07 -14.2018
23.6655 3.4636e-06 1.11732e-07 -14.9135 7.92981e-06 4.56527e-07 -12.398
24.2289 3.14433e-06 1.07661e-07 -14.6547 6.31815e-06 3.7396e-07 -12.2776
24.7924 3.94552e-06 9.43626e-08 -16.213 7.13037e-06 2.82916e-07 -14.0145
25.3559 6.66857e-06 8.5218e-08 -18.935 1.13904e-05 2.4756e-07 -16.6286
25.9193 7.80721e-06 8.67975e-08 -19.5399 1.35538e-05 2.99297e-07 -16.5596
26.4828 3.33902e-06 7.52288e-08 -16.4723 5.28047e-06 2.67579e-07 -12.9522
27.0462 1.88519e-06 7.90535e-08 -13.7744 2.61215e-06 2.69688e-07 -9.86137
27.6097 1.35431e-06 9.56698e-08 -11.5094 1.16798e-06 2.3554e-07 -6.95372
28.1732 2.42829e-06 1.26965e-07 -12.8162 6.2454e-07 1.69078e-07 -5.67474
28.7366 8.9379e-06 1.5808e-07 -17.5236 1.28871e-06 3.55632e-07 -5.59155
29.3001 1.92589e-05 1.53352e-07 -20.9894 1.99455e-06 5.2089e-07 -5.831
29.8636 1.88708e-05 1.20312e-07 -21.9548 1.53748e-06 3.64173e-07 -6.25503
30.427 2.88099e-06 5.10463e-08 -17.5158 4.80386e-07 1.32126e-07 -5.60602
30.9905 1.56379e-07 3.45213e-08 -6.56091 2.93214e-07 1.35903e-07 -3.33956
31.5539 8.9161e-08 4.3408e-08 -3.12606 2.79323e-07 2.0277e-07 -1.39104
32.1174 7.6595e-08 6.3753e-08 -0.796995 2.50973e-07 2.8134e-07 0.496058
32.6809 6.89563e-08 7.76051e-08 0.513162 2.62418e-07 3.66457e-07 1.4503
33.2443 5.53714e-08 8.78008e-08 2.00213 2.64669e-07 4.17423e-07 1.97873
33.8078 5.25121e-08 9.06543e-08 2.37129 2.57076e-07 4.52288e-07 2.45355
34.3713 5.50186e-08 7.58111e-08 1.39223 3.19059e-07 4.01156e-07 0.994421
34.9347 5.72269e-08 6.45105e-08 0.520301 3.58774e-07 2.80105e-07 -1.07499
35.4982 7.62762e-08 6.49737e-08 -0.696516 6.36337e-07 3.52855e-07 -2.56091
36.0617 8.2451e-08 6.61013e-08 -0.959861 5.9791e-07 2.85728e-07 -3.20682
36.6251 8.32029e-08 5.42915e-08 -1.85407 4.98898e-07 2.13852e-07 -3.67898
37.1886 6.06848e-08 4.19113e-08 -1.60749 3.68681e-07 1.87688e-07 -2.93213
37.752 6.18526e-08 5.59942e-08 -0.432152 3.78964e-07 2.81257e-07 -1.29494
38.3155 9.53331e-08 9.94642e-08 0.18423 6.97673e-07 5.88961e-07 -0.735654
38.879 1.08921e-07 1.06133e-07 -0.112603 7.76415e-07 6.05239e-07 -1.08168
39.4424 9.26762e-08 6.09895e-08 -1.81713 4.22298e-07 2.53898e-07 -2.20959
40.0059 1.16978e-07 4.6928e-08 -3.96671 5.068e-07 1.82811e-07 -4.42835
40.5694 2.20097e-07 6.50488e-08 -5.29375 8.80676e-07 2.61856e-07 -5.26753
41.1328 2.39658e-07 6.69706e-08 -5.53708 8.74604e-07 2.7869e-07 -4.9669
41.6963 1.3523e-07 5.409e-08 -3.97957 5.82153e-07 2.40407e-07 -3.8409
42.2598 1.08244e-07 7.6339e-08 -1.51658 6.14045e-07 4.05367e-07 -1.80352
42.8232 1.07932e-07 8.58176e-08 -0.995718 6.11036e-07 4.72825e-07 -1.11367
43.3867 8.87711e-08 8.03287e-08 -0.434009 4.35245e-07 3.33986e-07 -1.15006
43.9501 7.08132e-08 7.27676e-08 0.118238 4.37372e-07 2.92015e-07 -1.75447
44.5136 7.95773e-08 6.98767e-08 -0.56457 4.85957e-07 2.63655e-07 -2.65562
45.0771 8.83005e-08 5.83617e-08 -1.79835 4.93925e-07 2.29665e-07 -3.32566
45.6405 8.85425e-08 5.088e-08 -2.40605 4.07399e-07 2.20266e-07 -2.67072
46.204 1.01766e-07 5.35767e-08 -2.78629 3.9928e-07 2.67954e-07 -1.73218
46.7675 1.18777e-07 6.67303e-08 -2.50408 4.70477e-07 4.11357e-07 -0.583198
47.3309 1.27508e-07 7.87866e-08 -2.09087 4.83723e-07 4.19544e-07 -0.618187
47.8944 1.10125e-07 7.93366e-08 -1.42413 3.87206e-07 3.41789e-07 -0.541839
