# fs_open=2309.83 fs_closed=2309.81 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-13 12:52:31
# pixel_scale=31.5
# stat 0 -0.154227 0.012791 8.68282e-08 0.00713029
# stat 1 0.17305 0.0201563 -0.000108797 0.0121774
# config 100, 500, 100, 500, 4096: camera ASI290MM 64x64, ROI start (920,488), ~2310 Hz loop
# config pid: integrator-only (p=py=d=0), i=600 iy=1300, units=minmax
# config lines x=[22.08,57.3] gain=[60,20] phase=[56,3]
# config linesy=[30.8] gainy=[60] phasey=[60], line_delay=0.002
# config kalman: order=60 horizon=5 mu=0.03 gain=1.0 gainy=0 ramp=10
# config piplate: fine ch0(+2)/ch1(-2), coarse parked, baud 460800, start_delay: 10.0, open_time: 500.0, settle_time: 40.0, closed_time: 500.0
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.54636e-07 7.20357e-10 -23.3176 9.2597e-07 9.32771e-08 -9.96822
0.563918 1.00707e-06 4.23639e-10 -33.7607 4.97505e-06 4.53846e-07 -10.3989
1.12784 3.35643e-07 1.14653e-10 -34.6649 2.62894e-06 4.49706e-07 -7.66852
1.69175 1.85602e-07 2.06806e-10 -29.5302 2.32799e-06 3.44611e-07 -8.29652
2.25567 1.25168e-07 2.29974e-10 -27.3581 1.67096e-06 2.92881e-07 -7.56275
2.81959 7.73229e-08 2.56155e-10 -24.7981 1.15528e-06 2.82653e-07 -6.11434
3.38351 7.71317e-08 3.38049e-10 -23.5825 1.22664e-06 2.37312e-07 -7.13397
3.94743 8.96417e-08 4.67019e-10 -22.8318 1.33177e-06 2.38218e-07 -7.47456
4.51134 1.48614e-07 9.38254e-10 -21.9974 1.32114e-06 2.23551e-07 -7.71571
5.07526 1.30967e-06 8.00501e-09 -22.138 1.11277e-06 2.15546e-07 -7.12866
5.63918 2.34852e-06 1.54621e-08 -21.8153 1.15994e-06 2.34585e-07 -6.94134
6.2031 5.91683e-07 4.99393e-09 -20.7365 1.22038e-06 2.34297e-07 -7.16728
6.76702 8.72506e-08 1.21436e-09 -18.5642 9.89442e-07 2.10272e-07 -6.72609
7.33093 6.65225e-08 1.32247e-09 -17.0158 8.32221e-07 2.15284e-07 -5.87228
7.89485 8.67955e-08 1.99009e-09 -16.3962 9.34271e-07 2.34695e-07 -5.99969
8.45877 1.86393e-07 4.33342e-09 -16.336 2.11944e-06 3.66794e-07 -7.618
9.02269 2.27973e-06 4.74729e-08 -16.8144 2.1302e-05 2.22275e-06 -9.8153
9.58661 6.28179e-06 1.54114e-07 -16.1024 4.35781e-05 4.76518e-06 -9.61189
10.1505 3.9122e-06 1.08899e-07 -15.554 1.52015e-05 2.04363e-06 -8.71486
10.7144 7.47395e-06 2.3235e-07 -15.0741 8.09342e-06 1.48722e-06 -7.35757
11.2784 1.63252e-05 4.83742e-07 -15.2824 9.17563e-06 1.68746e-06 -7.35401
11.8423 6.74049e-06 2.10288e-07 -15.0588 2.14841e-05 4.30964e-06 -6.97677
12.4062 5.13263e-06 2.37824e-07 -13.3408 4.30903e-05 9.15167e-06 -6.72879
12.9701 5.53953e-06 2.38959e-07 -13.6515 2.0358e-05 4.1305e-06 -6.92732
13.534 1.25007e-06 5.67736e-08 -13.4279 4.00632e-06 1.04551e-06 -5.83417
14.098 2.63766e-07 1.70393e-08 -11.8977 1.42549e-06 6.75668e-07 -3.2423
14.6619 2.81622e-07 1.71061e-08 -12.1651 1.70214e-06 1.03406e-06 -2.16452
15.2258 3.68423e-07 1.86015e-08 -12.968 2.2369e-06 1.34635e-06 -2.20489
15.7897 2.39402e-07 1.38488e-08 -12.3772 1.47842e-06 8.11697e-07 -2.60403
16.3536 1.33783e-07 1.23909e-08 -10.333 1.04413e-06 5.3535e-07 -2.90116
16.9175 1.24346e-07 1.41524e-08 -9.43802 1.03557e-06 5.5076e-07 -2.74215
17.4815 1.05029e-07 1.40099e-08 -8.74874 1.38732e-06 5.98202e-07 -3.65327
18.0454 1.4183e-07 1.51203e-08 -9.72207 1.10524e-06 5.572e-07 -2.97446
18.6093 2.39444e-07 2.33223e-08 -10.1143 1.8698e-06 7.58978e-07 -3.91565
19.1732 1.81701e-06 1.29794e-07 -11.4611 1.23314e-05 2.93798e-06 -6.22964
19.7371 1.8884e-06 1.32203e-07 -11.5485 1.30649e-05 3.23874e-06 -6.05731
20.301 8.7655e-07 7.03265e-08 -10.9566 8.04267e-06 1.8446e-06 -6.39498
20.865 9.12792e-06 7.16872e-07 -11.0493 4.95153e-05 6.92512e-06 -8.54312
21.4289 1.57845e-05 1.29543e-06 -10.8582 7.23011e-05 7.79377e-06 -9.67397
21.9928 6.33723e-06 6.46845e-07 -9.91099 2.40222e-05 1.29799e-06 -12.6734
22.5567 4.57303e-06 5.05952e-07 -9.56095 1.3538e-05 1.25483e-06 -10.3297
23.1206 4.52107e-06 5.22892e-07 -9.36829 1.1072e-05 2.5983e-06 -6.29537
23.6846 3.37722e-06 3.84872e-07 -9.43244 7.21496e-06 2.56244e-06 -4.4958
24.2485 3.21464e-06 3.57094e-07 -9.5435 6.23754e-06 2.60857e-06 -3.7861
24.8124 3.43919e-06 4.29284e-07 -9.03712 5.88496e-06 2.94097e-06 -3.01253
25.3763 5.0974e-06 6.71572e-07 -8.80256 7.79625e-06 4.16472e-06 -2.723
