# fs_open=2309.82 fs_closed=2309.77 nfft=4096 open_s=500 closed_s=499.999 labels=y,x
# start=2026-07-13 14:12:00
# pixel_scale=31.5
# stat 0 0.0704994 0.0137983 -8.545e-08 0.0081727
# stat 1 -0.0565802 0.0241573 -0.000138238 0.0226364
# config 100, 500, 100, 500, 4096: camera ASI290MM 64x64, ROI start (920,488), ~2310 Hz loop
# config pid: integrator-only (p=py=d=0), i=600 iy=1300, units=minmax
# config lines x=[22.08,57.3] gain=[60,20] phase=[56,3]
# config linesy=[30.8] gainy=[60] phasey=[60], line_delay=0.002
# config kalman: order=60 horizon=6 mu=0.03 gain=0.7 gainy=0 ramp=10
# config piplate: fine ch0(+2)/ch1(-2), coarse parked, baud 460800, start_delay: 100.0, open_time: 500.0, settle_time: 100.0, closed_time: 500.0
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.32084e-07 8.37195e-10 -21.9802 4.14773e-06 3.21195e-07 -11.1104
0.563908 8.80726e-07 4.95708e-10 -32.4961 2.37981e-05 1.52639e-06 -11.9288
1.12782 4.37674e-07 1.77624e-10 -33.9165 1.49116e-05 1.87459e-06 -9.00618
1.69172 3.66815e-07 4.06113e-10 -29.558 1.24939e-05 1.87785e-06 -8.23037
2.25563 3.04396e-07 4.86169e-10 -27.9665 9.76414e-06 1.77107e-06 -7.41399
2.81954 2.03412e-07 5.63487e-10 -25.5749 6.9169e-06 1.7887e-06 -5.87374
3.38345 1.79895e-07 7.46671e-10 -23.8189 6.17698e-06 1.72802e-06 -5.53226
3.94736 1.9302e-07 1.14148e-09 -22.2813 5.77091e-06 1.74196e-06 -5.20206
4.51126 2.4303e-07 1.71605e-09 -21.5113 5.02145e-06 1.86783e-06 -4.29491
5.07517 1.30273e-06 1.17263e-08 -20.4569 4.21838e-06 1.95727e-06 -3.33496
5.63908 2.32641e-06 2.38266e-08 -19.8962 4.3734e-06 2.20783e-06 -2.96854
6.20299 7.07612e-07 8.86029e-09 -19.0235 4.88157e-06 2.66842e-06 -2.62305
6.7669 1.66232e-07 3.57957e-09 -16.6689 4.14408e-06 2.88884e-06 -1.56704
7.33081 1.53604e-07 3.61609e-09 -16.2816 3.60318e-06 2.91462e-06 -0.921045
7.89471 1.74531e-07 4.79127e-09 -15.6142 3.58482e-06 3.3733e-06 -0.264119
8.45862 2.98712e-07 7.77622e-09 -15.8448 4.00578e-06 3.69476e-06 -0.351009
9.02253 2.60127e-06 4.30562e-08 -17.8115 1.15149e-05 6.56076e-06 -2.44304
9.58644 6.45115e-06 1.02676e-07 -17.9817 1.94766e-05 9.52127e-06 -3.10817
10.1503 3.51231e-06 7.23519e-08 -16.8614 8.5868e-06 5.22886e-06 -2.15425
10.7143 5.08735e-06 1.48325e-07 -15.3528 5.91218e-06 4.61347e-06 -1.07719
11.2782 9.81797e-06 3.27226e-07 -14.7717 6.12715e-06 5.05836e-06 -0.832492
11.8421 3.8055e-06 1.94123e-07 -12.9234 1.16861e-05 7.75611e-06 -1.78025
12.406 3.55914e-06 2.09877e-07 -12.2938 1.7442e-05 1.10972e-05 -1.96383
12.9699 3.0696e-06 1.72304e-07 -12.5079 7.18753e-06 6.02658e-06 -0.765087
13.5338 8.76917e-07 4.80938e-08 -12.6087 3.7893e-06 3.81696e-06 0.0315888
14.0977 3.44281e-07 1.89512e-08 -12.5928 3.6117e-06 3.42019e-06 -0.236617
14.6616 4.88469e-07 2.36701e-08 -13.1464 4.68325e-06 4.5684e-06 -0.107838
15.2255 5.81269e-07 2.61633e-08 -13.4668 5.06347e-06 5.01342e-06 -0.0431487
15.7894 3.05252e-07 1.91977e-08 -12.0141 2.79117e-06 3.36221e-06 0.808386
16.3533 2.52251e-07 1.64948e-08 -11.8448 2.655e-06 2.9857e-06 0.509816
16.9172 2.74691e-07 1.69547e-08 -12.0955 2.73307e-06 3.27225e-06 0.781959
17.4812 2.54116e-07 1.77424e-08 -11.5602 2.68933e-06 3.22094e-06 0.783387
18.0451 2.45225e-07 1.87562e-08 -11.1642 2.55965e-06 2.69784e-06 0.228357
18.609 4.02636e-07 3.31959e-08 -10.8383 3.47954e-06 3.26657e-06 -0.274297
19.1729 2.79353e-06 2.23159e-07 -10.9754 1.34359e-05 1.33193e-05 -0.0378628
19.7368 2.66861e-06 2.18754e-07 -10.8633 1.26133e-05 1.28718e-05 0.088129
20.3007 1.1396e-06 1.09796e-07 -10.1617 6.06434e-06 4.797e-06 -1.01814
20.8646 1.17802e-05 1.13144e-06 -10.1752 3.29982e-05 1.50223e-05 -3.41753
21.4285 1.9456e-05 1.92358e-06 -10.0494 5.03113e-05 1.67779e-05 -4.76929
21.9924 7.65794e-06 7.99753e-07 -9.81157 1.81899e-05 3.2466e-06 -7.48402
22.5563 5.88142e-06 5.36799e-07 -10.3967 1.18673e-05 6.8703e-06 -2.37377
23.1202 5.97792e-06 5.23037e-07 -10.5802 1.09233e-05 1.69709e-05 1.91354
23.6841 4.1205e-06 3.99638e-07 -10.1328 7.79505e-06 1.55996e-05 3.01295
24.248 3.38946e-06 3.97661e-07 -9.30618 5.77028e-06 1.44758e-05 3.99445
24.812 3.67506e-06 5.33513e-07 -8.38119 5.75464e-06 1.51953e-05 4.2169
25.3759 4.66166e-06 7.07257e-07 -8.18963 6.27196e-06 1.54608e-05 3.91828
25.9398 5.0073e-06 7.23053e-07 -8.40433 6.08744e-06 1.43998e-05 3.73921
26.5037 2.34448e-06 3.6229e-07 -8.1099 3.35288e-06 8.97307e-06 4.27524
27.0676 1.78532e-06 3.4075e-07 -7.1928 2.5555e-06 8.27266e-06 5.1017
27.6315 2.14248e-06 4.69357e-07 -6.59414 2.13259e-06 7.84506e-06 5.65689
28.1954 3.59989e-06 7.32337e-07 -6.91578 1.63911e-06 6.33654e-06 5.87244
28.7593 7.46005e-06 1.38759e-06 -7.30481 1.57168e-06 5.73167e-06 5.61918
29.3232 2.90606e-05 5.50435e-06 -7.22599 2.28526e-06 8.74046e-06 5.82599
29.8871 2.96223e-05 5.50088e-06 -7.31187 2.08816e-06 8.50482e-06 6.09902
30.451 2.92764e-06 5.13005e-07 -7.56396 1.27779e-06 5.66194e-06 6.46505
31.0149 2.23893e-07 1.32038e-08 -12.2934 1.28804e-06 5.77141e-06 6.51353
31.5789 1.74407e-07 2.19156e-08 -9.0081 1.28922e-06 5.07613e-06 5.95206
32.1428 1.70569e-07 3.40085e-08 -7.00314 1.3531e-06 5.42743e-06 6.03264
32.7067 1.34006e-07 4.50487e-08 -4.73442 1.18546e-06 5.29061e-06 6.49617
33.2706 1.17669e-07 4.64884e-08 -4.03316 1.06115e-06 4.71561e-06 6.47763
33.8345 1.21463e-07 4.97931e-08 -3.87273 1.07293e-06 5.15641e-06 6.81777
34.3984 1.31273e-07 5.61488e-08 -3.68833 1.27166e-06 5.77231e-06 6.56979
34.9623 1.56208e-07 6.73883e-08 -3.6512 1.44401e-06 6.05559e-06 6.22587
35.5262 2.37431e-07 9.82538e-08 -3.83189 1.68794e-06 7.22922e-06 6.31734
36.0901 2.83508e-07 1.21095e-07 -3.69439 2.05369e-06 8.12807e-06 5.97453
36.654 2.98757e-07 1.33233e-07 -3.50709 2.10764e-06 8.55819e-06 6.08586
37.2179 1.59265e-07 7.76559e-08 -3.11946 1.37833e-06 5.33468e-06 5.87756
37.7818 1.3912e-07 6.78318e-08 -3.11957 1.2303e-06 4.72036e-06 5.83965
38.3458 2.99419e-07 1.35899e-07 -3.43062 1.58839e-06 6.65643e-06 6.22285
38.9097 3.11131e-07 1.45358e-07 -3.30504 1.47584e-06 7.26311e-06 6.92085
39.4736 1.88769e-07 1.00279e-07 -2.74721 1.16103e-06 5.51925e-06 6.77038
40.0375 2.48586e-07 1.30023e-07 -2.81459 1.42086e-06 6.14012e-06 6.35626
40.6014 4.42297e-07 2.61047e-07 -2.28996 2.61487e-06 1.26843e-05 6.85818
41.1653 3.89039e-07 2.32653e-07 -2.23284 2.10529e-06 9.40949e-06 6.50255
41.7292 2.27108e-07 1.5046e-07 -1.78812 1.54562e-06 6.33278e-06 6.12493
42.2931 2.6835e-07 2.23292e-07 -0.798279 2.09911e-06 1.10449e-05 7.21126
42.857 3.00868e-07 2.32686e-07 -1.11605 2.33928e-06 1.17595e-05 7.01307
43.4209 2.31751e-07 1.58338e-07 -1.65436 1.89563e-06 7.94507e-06 6.22345
43.9848 2.11398e-07 1.63348e-07 -1.11988 1.54551e-06 7.20914e-06 6.68812
44.5487 2.21757e-07 1.84751e-07 -0.792913 1.77682e-06 7.63214e-06 6.33004
45.1126 1.99156e-07 1.44082e-07 -1.40583 1.46906e-06 6.18205e-06 6.24093
45.6766 1.86961e-07 1.24178e-07 -1.77706 1.34304e-06 4.81059e-06 5.54111
46.2405 1.9071e-07 1.54176e-07 -0.923569 1.3559e-06 5.29565e-06 5.91693
46.8044 2.13348e-07 1.60519e-07 -1.23563 1.26122e-06 5.66781e-06 6.52626
47.3683 2.01967e-07 1.47634e-07 -1.36094 1.29939e-06 5.45805e-06 6.23299
47.9322 1.75421e-07 1.41995e-07 -0.918077 1.17221e-06 4.56185e-06 5.90136
48.4961 1.49332e-07 1.26158e-07 -0.732386 1.06376e-06 3.74524e-06 5.46638
49.06 1.3216e-07 1.11967e-07 -0.720102 8.27315e-07 3.73023e-06 6.54065
49.6239 1.07025e-07 1.09929e-07 0.116288 7.094e-07 3.44504e-06 6.86304
50.1878 1.01465e-07 1.19698e-07 0.717713 7.0777e-07 2.91894e-06 6.15334
50.7517 1.20813e-07 1.40774e-07 0.664082 7.13009e-07 3.43286e-06 6.82561
51.3156 2.0351e-07 2.58021e-07 1.03069 7.69755e-07 3.55209e-06 6.64132
51.8795 1.81114e-07 2.02419e-07 0.482978 7.57065e-07 3.08234e-06 6.09748
52.4435 1.83161e-07 1.30732e-07 -1.46453 6.86291e-07 2.98056e-06 6.37789
53.0074 1.5987e-07 1.185e-07 -1.30047 6.64391e-07 2.39511e-06 5.56901
53.5713 1.07712e-07 1.12951e-07 0.206221 7.52413e-07 2.29861e-06 4.8501
54.1352 1.02575e-07 1.06999e-07 0.183382 7.34945e-07 2.29958e-06 4.95394
54.6991 9.18801e-08 9.81514e-08 0.286754 6.91819e-07 2.20351e-06 5.03123
55.263 1.12849e-07 1.10593e-07 -0.0877012 8.63382e-07 2.22362e-06 4.10858
55.8269 1.4907e-07 1.47343e-07 -0.0506103 1.00273e-06 2.46126e-06 3.89974
56.3908 1.52001e-07 1.50295e-07 -0.049012 9.65237e-07 2.04384e-06 3.25813
56.9547 8.09487e-07 6.3288e-07 -1.06889 1.19762e-06 2.08647e-06 2.41095
57.5186 1.37585e-05 1.27693e-05 -0.324057 8.20075e-06 2.49632e-05 4.83447
58.0825 1.31597e-05 1.51409e-05 0.609065 7.8301e-06 2.98972e-05 5.81864
58.6464 9.92159e-07 1.51745e-06 1.84534 1.36051e-06 6.46372e-06 6.7678
59.2103 7.11257e-07 8.36215e-07 0.702914 1.2668e-06 6.38628e-06 7.0254
59.7743 3.55649e-07 4.3225e-07 0.847133 1.11801e-06 5.17649e-06 6.65591
60.3382 1.6325e-07 2.43634e-07 1.73886 8.11466e-07 3.90474e-06 6.82322
60.9021 1.28805e-07 2.04955e-07 2.01727 6.79855e-07 3.45819e-06 7.06432
61.466 1.70303e-07 2.57169e-07 1.78995 9.31758e-07 3.93666e-06 6.25825
62.0299 1.96668e-07 3.08053e-07 1.94892 1.1239e-06 4.40812e-06 5.93527
62.5938 1.53427e-07 2.52453e-07 2.1628 8.46105e-07 3.51432e-06 6.18417
63.1577 1.44339e-07 2.47853e-07 2.34811 7.83863e-07 3.3424e-06 6.29818
63.7216 1.53533e-07 2.68495e-07 2.42733 8.88793e-07 4.02611e-06 6.56085
64.2855 1.39385e-07 2.60028e-07 2.70804 9.12004e-07 3.72241e-06 6.10828
64.8494 1.2003e-07 2.05713e-07 2.33974 8.61616e-07 3.08041e-06 5.53295
65.4133 1.13411e-07 1.94738e-07 2.34796 8.16878e-07 2.98277e-06 5.62462
65.9772 1.20476e-07 1.96415e-07 2.12276 9.0341e-07 3.13259e-06 5.40018
66.5412 1.05165e-07 1.8381e-07 2.42496 8.08149e-07 2.83426e-06 5.44948
67.1051 9.29748e-08 1.80223e-07 2.87445 7.18686e-07 2.57325e-06 5.53943
67.669 9.5854e-08 1.94755e-07 3.07879 7.73028e-07 2.60702e-06 5.27948
68.2329 9.47111e-08 1.70984e-07 2.56554 7.61201e-07 2.33396e-06 4.86594
68.7968 8.72314e-08 1.73027e-07 2.9744 6.61025e-07 2.62377e-06 5.98707
69.3607 7.61701e-08 1.64941e-07 3.35544 5.98997e-07 2.38632e-06 6.00304
69.9246 7.63553e-08 1.76303e-07 3.6342 5.92275e-07 2.24034e-06 5.77792
70.4885 6.47503e-08 1.81206e-07 4.46931 4.84418e-07 2.10426e-06 6.3788
71.0524 6.15977e-08 1.62989e-07 4.22594 4.45996e-07 1.92567e-06 6.35252
71.6163 6.20712e-08 1.56468e-07 4.01535 4.5267e-07 1.64232e-06 5.59677
72.1802 7.0668e-08 1.77186e-07 3.99207 5.23875e-07 1.85857e-06 5.4995
72.7441 7.5283e-08 2.22723e-07 4.71067 5.44124e-07 2.41304e-06 6.46867
73.3081 7.05144e-08 2.00922e-07 4.54749 4.93371e-07 2.05544e-06 6.19731
73.872 6.594e-08 1.86961e-07 4.52603 4.34914e-07 1.62647e-06 5.72844
