# fs_open=2309.82 fs_closed=2309.86 nfft=4096 open_s=499.999 closed_s=499.999 labels=y,x
# start=2026-07-14 10:48:04
# pixel_scale=31.5
# stat 0 0.0867074 0.0139167 3.63794e-07 0.00801978
# stat 1 -0.262877 0.0187217 -1.19091e-06 0.0126935
# config 100, 500, 100, 500, 4096: camera ASI290MM 64x64, ROI start (920,488), ~2310 Hz loop
# config pid: integrator-only (p=py=d=0), i=680 iy=500, units=minmax (fine bode 2026-07-14 @ bias 2.52/1.62: Kx=0.427 Ky=0.300, tau_loop=1.81 ms; fc_x=46 Hz PM 60, fc_y=24 Hz PM 75)
# config lines x=[9.59,12.41,21.43,25.38,35.53,58.08,84.02] gain=[40,40,60,40,30,20,15]
# config linesy=[5.64,21.43,29.32,58.08] gainy=[50,20,20,15]
# config phases=default(-360*f*line_delay), line_delay=0.0018 (=tau_loop)
# config kalman: order=80 horizon=5 mu=0.03 gain=1.0 gainy=0 ramp=10
# config piplate: fine ch0(+2)/ch1(-2), coarse bias 2.55/1.65 (bode @ 2.52/1.62), baud 460800
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 8.35845e-08 3.08434e-09 -14.3296 1.44582e-07 2.57104e-08 -7.50005
0.563929 3.23458e-07 1.70102e-09 -22.7911 6.53693e-07 5.80582e-08 -10.5151
1.12786 1.11283e-07 3.6076e-10 -24.8921 3.17602e-07 4.6732e-08 -8.32268
1.69179 6.50124e-08 8.86564e-10 -18.6529 3.18449e-07 4.40359e-08 -8.59234
2.25572 4.62035e-08 1.12377e-09 -16.14 2.36955e-07 3.93275e-08 -7.79969
2.81965 3.38392e-08 1.40247e-09 -13.8253 1.52409e-07 3.16373e-08 -6.82812
3.38358 3.65003e-08 1.93811e-09 -12.7492 1.45347e-07 3.95482e-08 -5.6528
3.94751 4.8314e-08 3.69477e-09 -11.1649 1.59513e-07 3.66955e-08 -6.38183
4.51144 1.31384e-07 2.38806e-08 -7.40497 2.02737e-07 3.3882e-08 -7.76964
5.07537 1.95732e-06 5.10798e-07 -5.83413 3.87539e-07 3.47418e-08 -10.4746
5.63929 4.14144e-06 5.96308e-07 -8.4168 7.79827e-07 4.1707e-08 -12.7179
6.20322 1.36323e-06 3.9657e-08 -15.3625 4.70319e-07 6.47619e-08 -8.61073
6.76715 6.33355e-08 4.06407e-09 -11.9269 1.86797e-07 6.84048e-08 -4.36284
7.33108 6.0909e-08 4.48589e-09 -11.3283 2.7329e-07 5.54238e-08 -6.92926
7.89501 1.20527e-07 8.53038e-09 -11.5012 6.07638e-07 9.67079e-08 -7.98183
8.45894 3.71749e-07 2.54182e-08 -11.6511 2.45936e-06 8.56348e-07 -4.58172
9.02287 3.98035e-06 3.34557e-07 -10.7545 3.01227e-05 1.52064e-05 -2.96867
9.5868 9.08841e-06 9.33125e-07 -9.88548 5.75372e-05 1.64218e-05 -5.44526
10.1507 4.41781e-06 6.25185e-07 -8.49199 1.57113e-05 1.34134e-06 -10.6867
10.7147 6.74829e-06 1.13717e-06 -7.73367 8.99542e-06 7.25041e-07 -10.9366
11.2786 1.38941e-05 2.31163e-06 -7.7891 1.11257e-05 2.17943e-06 -7.07985
11.8425 5.12936e-06 1.01224e-06 -7.04778 2.59795e-05 1.70139e-05 -1.83827
12.4064 3.4516e-06 7.13426e-07 -6.84672 4.13402e-05 1.45536e-05 -4.53402
12.9704 2.01361e-06 5.5156e-07 -5.62381 1.26756e-05 8.97817e-07 -11.4978
13.5343 6.15377e-07 1.77336e-07 -5.40344 2.56953e-06 2.50578e-07 -10.1091
14.0982 2.13654e-07 7.54881e-08 -4.51833 8.91694e-07 1.64262e-07 -7.34679
14.6622 1.98335e-07 7.33047e-08 -4.32268 8.70459e-07 2.17333e-07 -6.02622
15.2261 2.34688e-07 8.05651e-08 -4.64344 1.16836e-06 2.50126e-07 -6.69418
15.79 1.29722e-07 6.0522e-08 -3.31099 5.86624e-07 1.63411e-07 -5.55079
16.354 8.51487e-08 4.72277e-08 -2.55981 3.78359e-07 1.70191e-07 -3.46967
16.9179 8.25682e-08 4.82521e-08 -2.33297 4.76337e-07 1.96419e-07 -3.8473
17.4818 8.46238e-08 5.53365e-08 -1.84481 8.90676e-07 2.83208e-07 -4.97614
18.0457 1.1897e-07 7.35959e-08 -2.08584 6.20438e-07 2.66526e-07 -3.6696
18.6097 2.87956e-07 1.69159e-07 -2.3103 1.59625e-06 6.20467e-07 -4.10382
19.1736 2.47687e-06 1.37995e-06 -2.54039 1.5614e-05 6.69622e-06 -3.67685
19.7375 2.48407e-06 1.4344e-06 -2.38492 1.664e-05 8.64799e-06 -2.84238
20.3015 1.13464e-06 1.06253e-06 -0.285153 9.87981e-06 1.62381e-05 2.15787
20.8654 1.06167e-05 6.68746e-06 -2.00727 5.83459e-05 2.22534e-05 -4.18613
21.4293 1.73645e-05 6.20165e-06 -4.47155 8.27529e-05 3.82087e-06 -13.3562
21.9932 6.4718e-06 1.20688e-06 -7.29361 2.49261e-05 7.85966e-07 -15.0125
22.5572 4.60499e-06 1.61077e-06 -4.56196 1.37594e-05 1.2808e-06 -10.3112
23.1211 4.70715e-06 1.95301e-06 -3.82053 1.19525e-05 1.74726e-06 -8.35102
23.685 3.60699e-06 1.59039e-06 -3.5564 8.04539e-06 1.74534e-06 -6.63666
24.249 3.67535e-06 1.6613e-06 -3.44849 7.19088e-06 4.47903e-06 -2.05598
24.8129 4.40548e-06 2.01973e-06 -3.387 7.88038e-06 1.01271e-05 1.08937
25.3768 6.77357e-06 3.53205e-06 -2.82791 1.0969e-05 3.01063e-06 -5.6151
25.9408 7.27684e-06 4.23063e-06 -2.35537 1.11637e-05 4.26403e-07 -14.1799
26.5047 3.58342e-06 2.03699e-06 -2.45309 5.4589e-06 3.79469e-07 -11.5793
27.0686 1.94786e-06 1.24444e-06 -1.94584 2.44376e-06 2.47905e-07 -9.93774
27.6325 1.41813e-06 1.3252e-06 -0.29435 8.6619e-07 1.70626e-07 -7.05568
28.1965 2.1381e-06 2.50989e-06 0.69626 3.46145e-07 1.38845e-07 -3.96729
28.7604 7.0031e-06 6.20067e-06 -0.528522 7.02322e-07 2.52703e-07 -4.43925
29.3243 1.95125e-05 6.34035e-06 -4.88199 1.65708e-06 5.66973e-07 -4.65783
29.8883 2.208e-05 4.24117e-06 -7.16513 1.75665e-06 6.57986e-07 -4.26469
30.4522 3.22276e-06 7.10992e-07 -6.56363 3.40007e-07 2.42264e-07 -1.47199
31.0161 8.44969e-08 5.83144e-08 -1.61064 7.80699e-08 2.08609e-07 4.2685
31.5801 4.90695e-08 4.86953e-08 -0.0332438 5.8918e-08 2.49743e-07 6.27245
32.144 3.93803e-08 4.69632e-08 0.764786 6.20541e-08 3.00232e-07 6.84686
32.7079 3.11314e-08 4.22985e-08 1.33127 6.84516e-08 3.13288e-07 6.60561
33.2718 2.51025e-08 4.14711e-08 2.1803 7.42944e-08 3.76537e-07 7.04851
33.8358 2.06899e-08 4.30292e-08 3.18005 8.02889e-08 5.70377e-07 8.51507
34.3997 2.02654e-08 4.75789e-08 3.70659 1.00841e-07 8.6028e-07 9.31003
34.9636 2.95938e-08 6.24425e-08 3.2428 2.69438e-07 6.11675e-07 3.56062
35.5276 7.5022e-08 1.15035e-07 1.85643 9.93888e-07 1.69336e-07 -7.68589
36.0915 4.67417e-08 9.6054e-08 3.12811 4.77322e-07 2.41545e-07 -2.95813
36.6554 3.23197e-08 8.07559e-08 3.97707 2.1611e-07 3.71168e-07 2.34895
37.2193 1.95468e-08 5.13813e-08 4.19729 1.15809e-07 3.48747e-07 4.7877
37.7833 2.04729e-08 5.40818e-08 4.21872 1.15516e-07 3.8144e-07 5.18784
38.3472 5.5755e-08 1.01975e-07 2.62212 4.22464e-07 8.41076e-07 2.99045
38.9111 7.98788e-08 1.27594e-07 2.03398 5.0879e-07 9.97124e-07 2.92211
39.4751 8.57449e-08 1.23149e-07 1.57224 3.22694e-07 7.19347e-07 3.48148
40.039 1.08954e-07 1.46222e-07 1.27768 3.28567e-07 7.34436e-07 3.49331
40.6029 1.80961e-07 2.69267e-07 1.72598 5.5453e-07 1.20111e-06 3.35657
41.1669 1.52032e-07 2.38138e-07 1.94894 4.47299e-07 9.96086e-07 3.47699
41.7308 5.83798e-08 1.30362e-07 3.48888 1.80515e-07 6.15193e-07 5.32498
42.2947 4.28299e-08 1.33827e-07 4.94796 2.05073e-07 6.80007e-07 5.20605
42.8586 3.69217e-08 1.3671e-07 5.68519 2.10016e-07 6.98514e-07 5.21923
43.4226 2.88498e-08 1.00984e-07 5.44112 1.4636e-07 5.12658e-07 5.44405
43.9865 3.34618e-08 9.50618e-08 4.53457 1.50287e-07 4.56355e-07 4.8238
44.5504 4.04829e-08 1.19477e-07 4.70012 1.54017e-07 5.15923e-07 5.25017
45.1144 3.91075e-08 1.19178e-07 4.83935 1.34779e-07 4.48172e-07 5.21824
45.6783 4.4492e-08 1.08049e-07 3.85341 1.41561e-07 3.78157e-07 4.26728
46.2422 6.6925e-08 1.16525e-07 2.4083 1.70375e-07 3.35776e-07 2.94643
46.8061 8.28885e-08 1.29344e-07 1.9325 1.92767e-07 3.64041e-07 2.76118
47.3701 7.20988e-08 1.23592e-07 2.34064 1.66654e-07 3.32421e-07 2.99874
47.934 6.07739e-08 1.04611e-07 2.3586 1.33711e-07 2.46784e-07 2.6615
48.4979 5.0689e-08 8.52375e-08 2.25717 1.1149e-07 2.03818e-07 2.62008
49.0619 3.7081e-08 7.89621e-08 3.28267 8.49282e-08 1.96699e-07 3.64752
49.6258 3.6346e-08 7.93741e-08 3.39222 7.935e-08 1.75995e-07 3.45953
50.1897 4.84517e-08 9.19185e-08 2.78094 8.48405e-08 1.8078e-07 3.28547
50.7537 5.69335e-08 1.02615e-07 2.55842 7.57358e-08 1.81925e-07 3.80592
51.3176 2.31103e-07 1.77642e-07 -1.1426 1.64679e-07 2.01848e-07 0.883855
51.8815 1.97828e-07 1.54925e-07 -1.06166 1.36412e-07 1.81521e-07 1.24074
52.4454 6.5894e-08 1.23056e-07 2.71256 4.91766e-08 1.55239e-07 4.99243
53.0094 3.87868e-08 1.13303e-07 4.65559 3.532e-08 1.52217e-07 6.34443
53.5733 2.6707e-08 8.79592e-08 5.17655 3.26986e-08 1.54428e-07 6.74197
54.1372 2.02439e-08 6.86397e-08 5.30281 3.01546e-08 1.48342e-07 6.9191
54.7012 1.53673e-08 7.7342e-08 7.01819 2.81878e-08 1.43736e-07 7.07503
55.2651 1.63769e-08 9.88183e-08 7.80607 3.85738e-08 1.77272e-07 6.62348
55.829 1.99795e-08 9.39442e-08 6.72285 5.03977e-08 2.45409e-07 6.87479
56.3929 2.83122e-08 9.44874e-08 5.234 5.5586e-08 2.65613e-07 6.79283
56.9569 6.59275e-07 9.95543e-07 1.78994 6.56115e-07 1.71077e-06 4.16212
57.5208 1.13147e-05 1.29678e-05 0.59223 1.07921e-05 1.71253e-05 2.00532
58.0847 9.60262e-06 9.82129e-06 0.0977886 9.3387e-06 1.18665e-05 1.04035
58.6487 4.74846e-07 3.70799e-07 -1.07414 6.76269e-07 3.97643e-07 -2.30626
59.2126 1.74391e-07 1.67507e-07 -0.174907 3.1585e-07 1.84998e-07 -2.32312
59.7765 8.92324e-08 1.18594e-07 1.23539 1.75031e-07 1.73847e-07 -0.0294715
