# fs_open=2309.87 fs_closed=2309.82 nfft=4096 open_s=499.999 closed_s=500 labels=y,x
# start=2026-07-14 11:24:14
# pixel_scale=31.5
# stat 0 0.125551 0.0146432 3.76978e-06 0.00702436
# stat 1 -0.206702 0.02101 8.83088e-06 0.00896336
# config 100, 500, 100, 500, 4096: camera ASI290MM 64x64, ROI start (920,488), ~2310 Hz loop
# config pid: integrator-only (p=py=d=0), i=680 iy=500, units=minmax (fine bode 2026-07-14 @ bias 2.52/1.62: Kx=0.427 Ky=0.300, tau_loop=1.81 ms; fc_x=46 Hz PM 60, fc_y=24 Hz PM 75)
# config lines x=[9.8,11.6,21.1,24.9,57.5,83.7] gain=[40,60,60,40,20,15] phase=[77.8,75.6,63.6,58.7,13.8,-24.3]
# config linesy=[5.64,21.1,29.6,57.5] gainy=[50,30,20,15] phasey=[76.5,42.6,26.8,-13.7]
# config phases = plant + SENSITIVITY: phi=-360*f*tau + angle(1/(1+L)), from attenuation8 notch-offset analysis
# config kalman: order=80 horizon=5 mu=0.03 gain=1.0 gainy=1.0 (y predictor ON, first try at fc_y 24 Hz) ramp=10
# config piplate: fine ch0(+2)/ch1(-2), coarse bias 2.55/1.65 (bode @ 2.52/1.62), baud 460800
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.36181e-07 4.03527e-09 -15.2824 3.39485e-07 3.01859e-08 -10.5102
0.56392 6.98065e-07 9.53045e-09 -18.6478 1.65715e-06 1.4662e-07 -10.5317
1.12784 2.85748e-07 9.06427e-09 -14.9865 1.15734e-06 1.3857e-07 -9.21791
1.69176 2.0788e-07 9.22784e-09 -13.5271 1.17927e-06 1.02908e-07 -10.5917
2.25568 1.46613e-07 9.38804e-09 -11.936 7.91474e-07 7.85981e-08 -10.0302
2.8196 9.50224e-08 9.91013e-09 -9.81747 5.14477e-07 5.91383e-08 -9.39497
3.38352 1.02407e-07 9.75456e-09 -10.2112 5.37222e-07 5.09153e-08 -10.2331
3.94744 1.11912e-07 1.19694e-08 -9.70807 5.39055e-07 4.93575e-08 -10.3828
4.51136 1.79035e-07 2.06744e-08 -9.37506 6.32457e-07 4.59385e-08 -11.3885
5.07528 1.88053e-06 8.29141e-08 -13.5565 7.38771e-07 5.21004e-08 -11.5167
5.6392 3.84141e-06 1.25431e-07 -14.8608 9.88957e-07 6.62306e-08 -11.7412
6.20312 1.11083e-06 5.7061e-08 -12.8931 7.35788e-07 5.76465e-08 -11.0598
6.76704 9.77757e-08 2.33433e-08 -6.2207 4.55126e-07 4.46151e-08 -10.0865
7.33096 7.7689e-08 2.36546e-08 -5.16444 4.0048e-07 4.34552e-08 -9.64539
7.89488 1.12524e-07 3.42303e-08 -5.16835 5.31543e-07 6.51808e-08 -9.11419
8.4588 2.52532e-07 7.59754e-08 -5.21643 1.52348e-06 1.72876e-07 -9.45104
9.02272 2.75797e-06 6.75751e-07 -6.10803 1.96707e-05 1.3224e-06 -11.7246
9.58664 7.12727e-06 1.69852e-06 -6.22852 3.77026e-05 2.00148e-06 -12.7502
10.1506 4.7635e-06 1.20864e-06 -5.95628 1.35012e-05 8.45805e-07 -12.031
10.7145 9.29552e-06 3.08298e-06 -4.79303 9.17386e-06 8.97135e-07 -10.0969
11.2784 1.69871e-05 6.37518e-06 -4.25625 1.24051e-05 6.77816e-07 -12.6249
11.8423 6.75323e-06 2.5662e-06 -4.2022 3.18029e-05 2.00568e-06 -12.0021
12.4062 3.63891e-06 1.44487e-06 -4.01141 4.77719e-05 4.46899e-06 -10.2896
12.9702 2.37614e-06 9.25819e-07 -4.09345 1.42436e-05 1.91133e-06 -8.72283
13.5341 6.99171e-07 2.79e-07 -3.98979 2.54959e-06 4.90967e-07 -7.15419
14.098 2.53773e-07 1.14674e-07 -3.44982 1.23095e-06 2.48447e-07 -6.95008
14.6619 2.7199e-07 1.33358e-07 -3.09534 1.71761e-06 1.91715e-07 -9.52269
15.2258 3.70634e-07 2.01415e-07 -2.64855 2.52216e-06 2.26746e-07 -10.4623
15.7898 2.94738e-07 1.61439e-07 -2.61428 1.8274e-06 2.10876e-07 -9.37806
16.3537 1.74041e-07 9.29886e-08 -2.72222 1.27061e-06 1.87413e-07 -8.31212
16.9176 1.45243e-07 6.07711e-08 -3.78398 1.29707e-06 2.16715e-07 -7.77076
17.4815 1.39323e-07 6.03296e-08 -3.63491 1.5191e-06 2.8817e-07 -7.21937
18.0454 1.73898e-07 8.66636e-08 -3.02458 1.17953e-06 2.40042e-07 -6.91421
18.6094 3.81229e-07 1.73873e-07 -3.40954 2.6353e-06 5.47268e-07 -6.82629
