# fs_open=3782.84 fs_closed=3779.99 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-17 09:15:05
# pixel_scale=15.5
# stat 0 -0.00399622 0.0260474 -2.87775e-05 0.00469291
# stat 1 0.461182 0.0447389 -1.12894e-05 0.010851
# config ATTENUATION11 FSP RETEST -- new laser alignment, camera rate, and current Bode plant gains
# config Same continuously adapting full-band FSP as the successful attenuation11 run: broad_order=512, broad_mu=.03, start_delay=2 s, ramp=10 s; no frozen-weights test mode or safety-trip tuning
# config Camera/CoM match steering_tuned.json: 32x32 ROI, exposure 50, gain 100, 20x20 tracked window, threshold 22; coarse offsets 1.95/2.02 V
# config Current Bode plots fsm_bodex_716/fsm_bodey_716 give low-frequency normalized gains Kx=.868 and Ky=.630
# config Loop delay from the bode phase fits (5-300 Hz slope + 1 hidden frame): x 1.484 ms = 5.62 fr, y 1.681 ms = 6.37 fr at 3788 Hz. PER-AXIS delays: y global 6+0.0 (validated), x override 5+0.62 (bode fit; 5x latency runs 21:22-21:26 give departure 1.06 ms / 50% 1.32 ms = 5.00 fr every run). Departure-latency 4.02 fr was 1.6-2.3 fr short and caused the 310 Hz spiral of 07-16 20:55
# config All remaining observer and modal parameters match attenuation11; output is reported at 15.5 px per normalized unit
# config refs: Kulcsar 2006 / Petit 2008 / Meimon 2010 / Correia 2010
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.04487e-07 1.45547e-09 -18.5606 1.73461e-07 6.02187e-09 -14.5947
0.922848 4.33002e-07 1.22538e-09 -25.4822 7.39323e-07 3.3484e-09 -23.44
1.8457 8.60276e-08 9.71328e-10 -19.4727 1.86306e-07 1.42225e-09 -21.1725
2.76855 3.9934e-08 2.88006e-09 -11.4194 8.54191e-08 5.47495e-09 -11.9317
3.69139 5.54248e-08 1.05097e-08 -7.22113 8.8599e-08 1.66054e-08 -7.27179
4.61424 1.26748e-06 2.53858e-07 -6.9835 2.43181e-07 1.91334e-07 -1.04137
5.53709 3.68911e-06 6.90522e-07 -7.27744 6.32598e-07 5.29824e-07 -0.769961
6.45994 9.71093e-07 1.84268e-07 -7.2181 3.81104e-07 1.90157e-07 -3.01932
7.38279 1.44536e-07 1.91621e-08 -8.77535 4.96249e-07 1.39391e-07 -5.51465
8.30564 1.75109e-06 7.64627e-08 -13.5986 1.23321e-05 1.17696e-06 -10.2028
9.22848 1.42749e-05 3.14386e-07 -16.5711 7.82175e-05 5.30033e-06 -11.69
10.1513 1.87505e-05 2.24208e-07 -19.2236 5.54351e-05 2.39018e-06 -13.6536
11.0742 2.62647e-05 2.13321e-07 -20.9034 3.69471e-05 8.06109e-07 -16.6119
11.997 1.80742e-05 2.63131e-07 -18.3689 9.76505e-05 4.34771e-06 -13.5141
12.9199 7.49348e-06 1.95082e-07 -15.8447 5.09841e-05 3.13516e-06 -12.1117
13.8427 1.54242e-06 4.70333e-08 -15.158 5.26768e-06 3.96853e-07 -11.2299
14.7656 5.60083e-07 2.03388e-08 -14.3993 2.44995e-06 1.41517e-07 -12.3835
15.6884 3.95141e-07 1.84615e-08 -13.3049 2.02572e-06 1.06698e-07 -12.7842
16.6113 2.55881e-07 1.73458e-08 -11.6884 1.87373e-06 1.03608e-07 -12.5731
17.5341 2.77618e-07 2.27169e-08 -10.871 3.25124e-06 1.97561e-07 -12.1635
18.457 6.27544e-07 4.3575e-08 -11.5841 1.5085e-05 8.72193e-07 -12.3793
19.3798 1.66817e-06 8.94908e-08 -12.7046 5.7238e-05 3.0556e-06 -12.7259
20.3027 1.42027e-05 1.57064e-07 -19.5629 7.46324e-05 1.23144e-06 -17.8251
21.2255 4.7669e-05 2.69983e-07 -22.469 0.000194946 7.80257e-07 -23.9768
22.1484 2.4238e-05 1.15488e-07 -23.2196 9.48107e-05 1.27613e-06 -18.7096
23.0712 1.166e-05 1.45824e-07 -19.0287 5.12394e-05 3.39149e-06 -11.7921
23.9941 5.41616e-06 1.54495e-07 -15.4478 1.89722e-05 2.06558e-06 -9.63075
24.9169 5.07824e-06 2.33051e-07 -13.3826 2.29901e-06 5.11787e-07 -6.52451
25.8398 6.64336e-06 2.90119e-07 -13.5981 1.43373e-06 4.82913e-07 -4.72599
26.7626 8.16586e-06 2.1485e-07 -15.7987 1.4357e-06 4.15245e-07 -5.38758
27.6855 1.57857e-05 1.59459e-07 -19.9561 2.09909e-06 3.51688e-07 -7.75873
28.6083 2.63371e-05 1.17705e-07 -23.4977 1.08426e-05 3.09967e-07 -15.4382
29.5311 5.17449e-05 2.06922e-07 -23.9806 4.83785e-05 7.11182e-07 -18.3267
30.454 2.11e-05 1.06555e-07 -22.9671 2.33656e-05 4.47617e-07 -17.1767
31.3768 1.09319e-06 2.52017e-08 -16.3727 1.03091e-06 1.44782e-07 -8.52505
32.2997 3.17432e-07 1.95662e-08 -12.1014 2.89795e-07 1.40184e-07 -3.15391
33.2225 1.10861e-07 1.67135e-08 -8.21709 2.31846e-07 1.6758e-07 -1.40976
34.1454 8.01368e-08 2.58352e-08 -4.9162 2.82146e-07 2.64384e-07 -0.282377
35.0682 1.95491e-07 9.5651e-08 -3.10438 1.71073e-06 1.87392e-06 0.395684
35.9911 1.88166e-07 9.37398e-08 -3.02618 1.88965e-06 1.86194e-06 -0.0641448
36.9139 5.53686e-08 3.9112e-08 -1.50953 3.97511e-07 2.62068e-07 -1.80934
37.8368 1.29644e-07 1.01444e-07 -1.06528 8.89657e-07 3.87484e-07 -3.60969
38.7596 3.80572e-07 2.38144e-07 -2.03597 2.3425e-06 9.15123e-07 -4.082
39.6825 4.50178e-07 1.81411e-07 -3.94721 1.85259e-06 8.51328e-07 -3.37682
40.6053 6.27646e-07 1.27586e-07 -6.91911 2.01248e-06 1.19304e-06 -2.27077
41.5282 3.72143e-07 5.578e-08 -8.24231 1.11129e-06 7.49639e-07 -1.70976
42.451 8.17269e-08 2.14621e-08 -5.80693 2.37363e-07 1.8147e-07 -1.16607
43.3739 4.46211e-08 3.60962e-08 -0.92079 1.19945e-07 1.22721e-07 0.0993658
44.2967 6.04182e-08 7.96066e-08 1.19781 1.48324e-07 1.7735e-07 0.776203
45.2196 8.39229e-08 1.60455e-07 2.81472 1.69085e-07 2.66822e-07 1.98116
46.1424 1.39984e-07 3.03587e-07 3.36204 2.34544e-07 4.10767e-07 2.43372
47.0653 1.72964e-07 3.59155e-07 3.17326 2.63071e-07 4.57306e-07 2.40135
47.9881 1.32167e-07 2.12383e-07 2.05997 2.05942e-07 3.27794e-07 2.01856
48.911 1.07236e-07 1.01361e-07 -0.244712 1.77819e-07 2.91864e-07 2.15201
49.8338 1.30344e-07 5.582e-08 -3.68302 1.84515e-07 3.34758e-07 2.58699
50.7567 1.7086e-07 6.11413e-08 -4.46307 1.88084e-07 4.938e-07 4.19199
