# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=5 fs=3788 start_delay=600 ramp=10
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans
0.000 0 0 0 0 0 0 0 0 0 0 0 0 0
5.000 0 0 0 0 0 0 0 0 0 0 0 0 0
10.000 0 0 0 0 0 0 0 0 0 0 0 0 0
15.001 0 0 0 0 0 0 0 0 0 0 0 0 0
20.001 0 0 0 0 0 0 0 0 0 0 0 0 0
25.001 0 0 0 0 0 0 0 0 0 0 0 0 0
30.001 0 0 0 0 0 0 0 0 0 0 0 0 0
35.001 0 0 0 0 0 0 0 0 0 0 0 0 0
40.002 0 0 0 0 0 0 0 0 0 0 0 0 0
45.002 0 0 0 0 0 0 0 0 0 0 0 0 0
50.002 0 0 0 0 0 0 0 0 0 0 0 0 0
55.002 0 0 0 0 0 0 0 0 0 0 0 0 0
60.003 0 0 0 0 0 0 0 0 0 0 0 0 0
65.003 0 0 0 0 0 0 0 0 0 0 0 0 0
70.003 0 0 0 0 0 0 0 0 0 0 0 0 0
75.003 0 0 0 0 0 0 0 0 0 0 0 0 0
80.004 0 0 0 0 0 0 0 0 0 0 0 0 0
85.004 0 0 0 0 0 0 0 0 0 0 0 0 0
90.004 0 0 0 0 0 0 0 0 0 0 0 0 0
95.004 0 0 0 0 0 0 0 0 0 0 0 0 0
100.005 0 0 0 0 0 0 0 0 0 0 0 0 0
105.005 0 0 0 0 0 0 0 0 0 0 0 0 0
110.005 0 0 0 0 0 0 0 0 0 0 0 0 0
115.005 0 0 0 0 0 0 0 0 0 0 0 0 0
120.006 0 0 0 0 0 0 0 0 0 0 0 0 0
125.006 0 0 0 0 0 0 0 0 0 0 0 0 0
130.006 0 0 0 0 0 0 0 0 0 0 0 0 0
135.006 0 0 0 0 0 0 0 0 0 0 0 0 0
140.006 0 0 0 0 0 0 0 0 0 0 0 0 0
145.007 0 0 0 0 0 0 0 0 0 0 0 0 0
150.007 0 0 0 0 0 0 0 0 0 0 0 0 0
