# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=9 fs=3788 start_delay=600 ramp=10
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans mu
0.000 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
5.000 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
10.000 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
15.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
20.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
25.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
30.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
35.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
40.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
45.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
50.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
55.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
60.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
65.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
70.003 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
75.003 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
80.003 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
85.003 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
90.003 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
95.003 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
100.003 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
105.004 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
110.004 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
115.004 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
120.004 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
125.004 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
130.004 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
135.005 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
140.005 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
145.005 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
150.005 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
155.005 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
160.006 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
165.006 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
170.006 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
175.006 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
180.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
185.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
190.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
195.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
200.008 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
205.008 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
210.008 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
215.008 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
