# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=5 fs=3788 start_delay=10 ramp=5
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans mu
0.000 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5
5.000 0 0.36732377 0.37364326 0.36732377 0.28199071 0.2845396 0.28199071 0 0 0 0 0 0 0.5
10.000 0 0.32896968 0.33500489 0.33711603 0.33852761 0.3444458 0.28748076 0 0 0 0 0 0 0.5
15.000 18942 0.46786986 0.48306853 0.26028144 0.43763254 0.44843742 0.27212554 0 0 0 0 0 0 0.46242
20.000 37884 0.45174541 0.46399312 0.21400066 0.42584815 0.4464402 0.38448415 0 0 0 0 0 0 0.42785
25.000 56826 0.47266569 0.48496754 0.18430057 0.50198371 0.52660724 0.45809152 0 0 0 0 0 0 0.39604
30.000 75768 0.45553739 0.4630324 0.15043725 0.44356671 0.46293586 0.38293061 0 0 0 0 0 0 0.36677
35.000 94710 0.46853218 0.47934521 0.10946855 0.4058346 0.41496951 0.39355072 0 0 0 0 0 0 0.33984
40.000 113652 0.48563992 0.49426931 0.18018246 0.44997687 0.45058241 0.31301592 0 0 0 0 0 0 0.31507
45.000 132594 0.47350754 0.47950193 0.15605826 0.43284524 0.43097994 0.24975805 0 0 0 0 0 0 0.29228
50.000 151536 0.48207698 0.49023124 0.092173962 0.50449903 0.50078072 0.41485939 0 0 0 0 0 0 0.27131
55.000 170478 0.47922187 0.48785681 0.049255237 0.44525642 0.41420304 0.35810431 0 0 0 0 0 0 0.25201
60.000 189420 0.49184398 0.50320595 0.053368605 0.51174708 0.48385362 0.26401867 0 0 0 0 0 0 0.23426
65.000 208362 0.5129642 0.5280876 0.085756711 0.50767069 0.46297152 0.2165243 0 0 0 0 0 0 0.21793
70.000 227304 0.51481484 0.53061009 0.070186271 0.54400326 0.50017673 0.20396572 0 0 0 0 0 0 0.2029
75.000 246246 0.53582342 0.55409675 0.093240112 0.55245213 0.50388366 0.19224263 0 0 0 0 0 0 0.18908
80.000 265188 0.49326352 0.49725824 0.18459759 0.56213313 0.50884422 0.18338866 0 0 0 0 0 0 0.17636
85.000 284130 0.52794389 0.53340991 0.10217156 0.60743613 0.5549646 0.17711404 0 0 0 0 0 0 0.16466
90.000 303072 0.54628067 0.55179841 0.059898948 0.60702265 0.54948865 0.10759757 0 0 0 0 0 0 0.15389
95.001 322014 0.54543011 0.54862715 0.050769121 0.6357733 0.58075651 0.099594091 0 0 0 0 0 0 0.14398
100.001 340955 0.55823188 0.56204845 0.072836623 0.6515609 0.59186627 0.15032565 0 0 0 0 0 0 0.13487
105.001 359897 0.56778009 0.5702109 0.077246983 0.66462075 0.60874767 0.1272166 0 0 0 0 0 0 0.12649
110.001 378839 0.59016624 0.59360762 0.061240491 0.68133585 0.62098587 0.13013711 0 0 0 0 0 0 0.11877
115.001 397781 0.60043911 0.60427968 0.064550711 0.6807661 0.62019734 0.069844348 0 0 0 0 0 0 0.11167
120.001 416723 0.60218586 0.60472958 0.039256402 0.69625072 0.64020947 0.083639383 0 0 0 0 0 0 0.10514
125.001 435665 0.61086355 0.61381437 0.033746088 0.70829304 0.64773028 0.15718676 0 0 0 0 0 0 0.099135
126.656 441936 0.61501526 0.61878418 0.033455744 0.71647571 0.6572983 0.097039988 0 0 0 0 0 0 0.097254
