# fs_open=2309.83 fs_closed=2309.85 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-13 12:29:54
# pixel_scale=31.5
# stat 0 -0.138828 0.012012 8.43521e-08 0.00718281
# stat 1 0.213451 0.0235569 -1.14474e-07 0.0159428
# config camera ASI290MM 64x64, ROI start (920,488), ~2310 Hz loop
# config pid: integrator-only (p=py=d=0), i=600 iy=1300, units=minmax
# config lines x=[
# config 				22.08,57.3] gain=[60,20] phase=[56,3]
# config linesy=[30.8] gainy=[60] phasey=[60], line_delay=0.002
# config kalman: order=60 horizon=5 mu=0.03 gain=1.0
# config 				 gainy=0 ramp=10
# config piplate: fine ch0(+2)/ch1(-2), coarse parked, baud 460800, start_delay: 100.00, open_time: 500.0, settle_time: 100.0, closed_time: 500.0
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.84909e-07 7.05344e-10 -24.1856 1.56096e-06 4.00689e-09 -25.9058
0.563929 1.07896e-06 4.45692e-10 -33.8397 8.04463e-06 3.78894e-09 -33.2699
1.12786 3.78921e-07 1.48532e-10 -34.0673 4.77295e-06 3.88612e-09 -30.8927
1.69179 2.35455e-07 2.37026e-10 -29.9711 4.18718e-06 8.43538e-09 -26.9582
2.25571 1.65812e-07 2.87198e-10 -27.6144 3.35897e-06 1.02379e-08 -25.1599
2.81964 1.27458e-07 3.06516e-10 -26.1891 2.67324e-06 1.19397e-08 -23.5005
3.38357 1.30441e-07 4.2497e-10 -24.8706 2.55621e-06 1.7246e-08 -21.7091
3.9475 1.39405e-07 6.10414e-10 -23.5866 2.79705e-06 2.41884e-08 -20.6309
4.51143 1.64674e-07 1.10355e-09 -21.7383 2.58745e-06 3.20621e-08 -19.0688
5.07536 9.12653e-07 7.31178e-09 -20.9628 2.28525e-06 3.4646e-08 -18.1928
5.63929 2.01359e-06 1.33902e-08 -21.7718 2.60522e-06 4.64423e-08 -17.4893
6.20321 7.69619e-07 4.41581e-09 -22.4127 2.81418e-06 5.98627e-08 -16.722
6.76714 1.34659e-07 1.38922e-09 -19.8647 2.22993e-06 5.38281e-08 -16.1728
7.33107 1.0242e-07 1.46133e-09 -18.4564 1.86893e-06 5.72784e-08 -15.136
7.895 1.25658e-07 1.99154e-09 -18 1.87619e-06 7.32924e-08 -14.0822
8.45893 2.08243e-07 4.03359e-09 -17.1288 2.25488e-06 1.23804e-07 -12.6039
9.02286 1.39264e-06 4.46964e-08 -14.9357 1.04954e-05 1.0745e-06 -9.89794
9.58679 3.91331e-06 1.31589e-07 -14.7333 1.96092e-05 2.23779e-06 -9.42641
10.1507 2.56252e-06 9.22146e-08 -14.4387 8.08177e-06 9.5657e-07 -9.2679
10.7146 4.11268e-06 1.73641e-07 -13.7447 5.27584e-06 6.23377e-07 -9.27541
11.2786 8.28075e-06 3.30792e-07 -13.9851 5.90195e-06 7.22673e-07 -9.12053
11.8425 3.6325e-06 1.48609e-07 -13.8816 1.50791e-05 1.73526e-06 -9.39012
12.4064 3.75596e-06 1.98604e-07 -12.7673 3.18967e-05 3.81959e-06 -9.21729
12.9704 4.1294e-06 2.23705e-07 -12.6621 1.5559e-05 1.9188e-06 -9.08953
13.5343 1.01126e-06 5.30995e-08 -12.7977 3.85888e-06 5.50179e-07 -8.45957
14.0982 2.71201e-07 1.54464e-08 -12.4446 2.25908e-06 3.75046e-07 -7.79847
14.6621 2.71446e-07 1.79804e-08 -11.7888 2.66529e-06 7.24087e-07 -5.65953
15.2261 3.37637e-07 2.37468e-08 -11.5285 3.34277e-06 1.11231e-06 -4.77882
15.79 2.61378e-07 1.71732e-08 -11.8242 2.55994e-06 7.23603e-07 -5.48729
16.3539 1.87815e-07 1.24157e-08 -11.7976 2.00071e-06 4.47329e-07 -6.50557
16.9179 1.78328e-07 1.3371e-08 -11.2505 2.06313e-06 4.9441e-07 -6.2044
17.4818 1.68926e-07 1.35461e-08 -10.9588 2.40691e-06 5.73121e-07 -6.23214
18.0457 1.92879e-07 1.55097e-08 -10.9468 2.06628e-06 5.2731e-07 -5.93122
18.6096 2.99897e-07 2.33718e-08 -11.0828 2.72261e-06 8.16375e-07 -5.23096
