# fs_open=2309.88 fs_closed=2309.78 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-13 16:41:19
# pixel_scale=31.5
# stat 0 0.0148403 0.0234286 7.00007e-07 0.0123438
# stat 1 -0.0283902 0.029846 -3.20416e-05 0.0099303
# config 100, 500, 100, 500, 4096: camera ASI290MM 64x64, ROI start (920,488), ~2310 Hz loop
# config pid: integrator-only (p=py=d=0), i=600 iy=1300, units=minmax
# config lines x=[22.08,57.3] gain=[60,20] phase=[56,3]
# config linesy=[30.8] gainy=[60] phasey=[60], line_delay=0.002
# config kalman: order=60 horizon=5 mu=0.03 gain=1.0 gainy=0 ramp=10
# config piplate: fine ch0(+2)/ch1(-2), coarse parked, baud 460800, start_delay: 100.0, open_time: 500.0, settle_time: 100.0, closed_time: 500.0
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.21821e-05 2.72568e-09 -36.5025 8.67786e-07 4.75074e-08 -12.6165
0.563912 5.81631e-05 2.78225e-09 -43.2025 8.76346e-06 1.77184e-07 -16.9425
1.12782 2.60687e-05 2.70955e-09 -39.8322 5.25095e-06 1.49302e-07 -15.4617
1.69174 1.28828e-05 3.36019e-09 -35.8364 2.5801e-06 1.06503e-07 -13.8428
2.25565 9.1471e-06 3.67974e-09 -33.9547 1.01768e-06 7.76696e-08 -11.1736
2.81956 7.3338e-06 5.68931e-09 -31.1027 7.19066e-07 5.79199e-08 -10.9394
3.38347 7.83942e-06 1.23426e-08 -28.0288 7.29583e-07 5.23829e-08 -11.4389
3.94739 7.14201e-06 1.80253e-08 -25.9794 8.63023e-07 5.61243e-08 -11.8687
4.5113 1.82672e-05 4.58797e-08 -26.0005 1.75138e-06 6.40979e-08 -14.3654
5.07521 0.000169631 3.65042e-07 -26.6716 1.86789e-05 2.50468e-07 -18.726
5.63912 0.00020452 4.84843e-07 -26.2513 2.71821e-05 4.31215e-07 -17.9959
6.20303 2.38994e-05 1.33015e-07 -22.5449 5.58012e-06 1.63465e-07 -15.3322
6.76695 1.67759e-06 3.69946e-08 -16.5655 4.28283e-07 7.80397e-08 -7.39415
7.33086 7.77673e-07 1.34666e-08 -17.6154 3.72897e-07 9.21962e-08 -6.06876
7.89477 6.62064e-07 1.38311e-08 -16.8004 6.81429e-07 1.52889e-07 -6.49046
8.45868 9.29248e-07 2.70725e-08 -15.356 3.2068e-06 5.66908e-07 -7.5256
9.02259 3.85194e-06 1.66732e-07 -13.6366 3.23854e-05 4.7823e-06 -8.30713
9.58651 7.50291e-06 3.56146e-07 -13.236 5.23512e-05 7.55303e-06 -8.40805
10.1504 4.49443e-06 1.88611e-07 -13.7711 1.63911e-05 2.50459e-06 -8.15872
10.7143 5.58448e-06 2.79921e-07 -12.9995 9.18218e-06 1.37563e-06 -8.24443
11.2782 9.49184e-06 5.21439e-07 -12.6015 9.76675e-06 1.45089e-06 -8.28115
11.8422 4.06586e-06 2.96156e-07 -11.3763 2.51208e-05 4.26981e-06 -7.69625
12.4061 2.85169e-06 2.89101e-07 -9.94052 3.99143e-05 6.9678e-06 -7.58034
12.97 1.99686e-06 1.92007e-07 -10.1703 1.19736e-05 2.30261e-06 -7.16004
13.5339 8.84351e-07 8.17551e-08 -10.3411 2.44901e-06 4.84606e-07 -7.03602
14.0978 5.59226e-07 5.68251e-08 -9.93047 8.4877e-07 2.04423e-07 -6.1826
14.6617 4.99009e-07 7.07395e-08 -8.48446 6.9078e-07 1.8701e-07 -5.67475
15.2256 4.851e-07 7.38951e-08 -8.17216 8.52036e-07 2.19553e-07 -5.88919
15.7895 5.44472e-07 5.33016e-08 -10.0923 4.81927e-07 1.35383e-07 -5.51418
16.3535 5.6111e-07 5.86264e-08 -9.80955 3.39402e-07 1.1165e-07 -4.82858
16.9174 5.01623e-07 7.03445e-08 -8.53147 4.48284e-07 1.44389e-07 -4.92019
17.4813 4.3006e-07 7.43e-08 -7.6254 8.59903e-07 2.17557e-07 -5.96876
18.0452 4.3315e-07 7.37844e-08 -7.68674 7.15587e-07 1.79738e-07 -6.00023
18.6091 5.17693e-07 1.07845e-07 -6.81274 1.54286e-06 3.99971e-07 -5.86298
19.173 1.22772e-06 3.25175e-07 -5.76981 1.40211e-05 3.21496e-06 -6.39607
19.7369 1.22352e-06 3.30496e-07 -5.68443 1.54792e-05 3.54701e-06 -6.39887
20.3008 9.14677e-07 2.50247e-07 -5.629 1.00509e-05 2.09584e-06 -6.80846
20.8648 5.47184e-06 1.5458e-06 -5.48979 5.9961e-05 9.42858e-06 -8.03423
21.4287 7.96804e-06 2.43246e-06 -5.15306 7.81315e-05 1.03344e-05 -8.78542
21.9926 3.0552e-06 9.3698e-07 -5.13309 2.35393e-05 1.35925e-06 -12.3849
22.5565 2.45835e-06 7.84868e-07 -4.95847 1.41723e-05 1.05969e-06 -11.2626
23.1204 2.66093e-06 9.30993e-07 -4.56087 1.35942e-05 2.22825e-06 -7.8539
23.6843 2.12281e-06 7.42197e-07 -4.56392 9.14787e-06 2.12207e-06 -6.34561
24.2482 1.89113e-06 7.70329e-07 -3.90045 7.16996e-06 2.50111e-06 -4.57383
24.8121 2.18191e-06 9.18985e-07 -3.75528 8.03583e-06 2.88643e-06 -4.4467
25.376 2.90231e-06 1.24407e-06 -3.67898 1.06131e-05 4.09229e-06 -4.13874
25.94 2.93137e-06 1.29117e-06 -3.56086 1.04744e-05 4.3184e-06 -3.84805
26.5039 1.45374e-06 6.81254e-07 -3.29178 4.08491e-06 1.77568e-06 -3.61819
27.0678 9.18616e-07 4.64568e-07 -2.96085 1.54851e-06 7.47686e-07 -3.16194
27.6317 1.03325e-06 5.27956e-07 -2.91608 5.69879e-07 3.31891e-07 -2.34787
28.1956 1.78677e-06 8.73293e-07 -3.10908 3.7195e-07 2.24459e-07 -2.19347
28.7595 6.22997e-06 3.29141e-06 -2.77104 1.44957e-06 4.77119e-07 -4.82611
29.3234 1.3607e-05 6.6386e-06 -3.11687 2.72779e-06 1.07515e-06 -4.04341
29.8873 1.07361e-05 5.03123e-06 -3.29174 1.84985e-06 1.04141e-06 -2.49516
30.4513 1.40106e-06 5.3506e-07 -4.18055 2.71891e-07 2.17326e-07 -0.972836
31.0152 2.51946e-07 3.06376e-08 -9.15054 5.79666e-08 1.06142e-07 2.62709
31.5791 2.44243e-07 8.19089e-08 -4.74492 5.54785e-08 1.03959e-07 2.72737
32.143 2.4182e-07 1.46652e-07 -2.17205 6.11904e-08 1.46815e-07 3.80088
32.7069 2.5825e-07 1.82344e-07 -1.5115 1.65027e-07 1.94759e-07 0.719436
33.2708 2.2609e-07 2.02366e-07 -0.48144 1.6812e-07 1.75678e-07 0.19098
33.8347 1.92041e-07 2.38509e-07 0.941107 8.13415e-08 1.86702e-07 3.60837
34.3986 2.00142e-07 2.69149e-07 1.28653 8.06941e-08 2.10111e-07 4.15607
34.9626 2.35906e-07 3.28513e-07 1.43814 6.10867e-07 7.01901e-07 0.603296
35.5265 3.10693e-07 4.27298e-07 1.38399 2.61436e-06 2.77909e-06 0.265365
36.0904 3.04111e-07 4.72172e-07 1.91068 9.37253e-07 1.14904e-06 0.884793
36.6543 3.06466e-07 6.05385e-07 2.9565 1.25151e-07 3.66792e-07 4.66987
37.2182 2.13067e-07 4.04882e-07 2.78813 1.13991e-07 2.85316e-07 3.98457
37.7821 1.89673e-07 3.83592e-07 3.05864 1.07705e-07 2.79396e-07 4.13984
38.346 2.31512e-07 5.47131e-07 3.73519 5.72983e-07 8.7488e-07 1.83807
38.9099 2.56824e-07 5.71921e-07 3.47701 8.02056e-07 1.09937e-06 1.36939
