# bode_plot v2 2026-07-22 09:41:40
# element=1 inject=replace output=raw amplitude=0.2 amplitude2=0.1
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.24
# fit K(<=30Hz)=0.9641 +/- 0.0068  tau_meas_ms=1.1224  loop_frames=5.252 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=1.86  mag_flat_rms=0.049
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant, coarse bias 2.0/2.0 (beam realigned, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Re-bode at the new bias to refresh Kx/tau for the loop retune. K uses <=30 Hz; tau (delay) uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.967403 -0.0277112 0.0030958 0.00245303 0.999982 0.850007 -0.0267087
4.89 0.958967 -0.0253479 0.00415856 0.00197632 0.999988 0.856321 -0.0153602
6.39 0.96453 -0.0286889 0.00620424 0.00402437 0.999952 0.823965 -0.0408535
6.39 0.960843 -0.0342596 0.0028659 0.00272089 0.999978 0.852842 -0.0302573
6.59968 0.968872 -0.0292047 0.00536965 0.00362897 0.99996 0.844833 -0.0507344
7.07393 0.947148 -0.0357128 0.00945993 0.00240507 0.999983 0.84508 -0.0109369
7.58226 0.963793 -0.04341 0.00561419 0.00524723 0.999918 0.821639 -0.03165
8.12713 0.957728 -0.0460122 0.00619905 0.00600008 0.999893 0.834891 -0.0204192
8.71115 0.984095 -0.0235227 0.0114247 0.0197472 0.998836 0.850422 -0.0506318
8.84 0.984305 -0.0413442 0.0148932 0.00869805 0.999775 0.772871 -0.0767312
10.34 0.962685 -0.0580599 0.0109026 0.0121727 0.999565 0.81541 -0.0522032
10.55 0.937777 -0.0453511 0.0130034 0.012873 0.999511 0.815325 -0.0674906
11.66 0.973788 -0.0297134 0.0160385 0.019548 0.998872 0.811304 -0.0307043
11.66 0.958862 -0.048984 0.0170898 0.0192494 0.998893 0.829974 -0.0448892
13.21 0.947903 -0.0680429 0.0207475 0.015526 0.999309 0.849453 0.00831186
14.1593 0.960242 -0.0537705 0.0105089 0.0096168 0.999725 0.834776 -0.038435
15.1768 0.967301 -0.0598665 0.00682741 0.00724431 0.999839 0.859686 -0.0809443
16.2674 0.968354 -0.0734957 0.00828674 0.00602861 0.999891 0.835932 -0.0829561
17.4364 0.958124 -0.0734392 0.00823274 0.00904637 0.999756 0.840824 -0.0819967
18.6894 0.960366 -0.0871358 0.013998 0.0142925 0.99938 0.828954 -0.0918432
20.0324 0.959196 -0.123856 0.0252194 0.026506 0.997848 0.779585 -0.083116
22.18 0.972594 -0.0818757 0.0395185 0.043469 0.993998 0.834473 -0.0525312
23.0149 0.968685 -0.0853357 0.0252232 0.0324192 0.997006 0.804228 -0.121212
24.15 0.97645 -0.108163 0.0162407 0.0114566 0.999604 0.871583 -0.0893112
26.4415 0.978792 -0.123208 0.00954311 0.0065565 0.999871 0.843175 -0.122618
28.3416 0.972213 -0.134943 0.00533566 0.00665057 0.999865 0.853989 -0.136924
30.3782 0.972653 -0.144465 0.00154388 0.00692439 0.999857 0.894914 -0.138456
32.5612 0.982398 -0.1613 0.00599149 0.0064835 0.999867 0.893898 -0.157826
34.78 0.98993 -0.174013 0.0066457 0.00632884 0.999876 0.909631 -0.177285
37.409 0.982204 -0.192921 0.00489297 0.00788989 0.999814 0.90352 -0.184918
40.0973 0.991194 -0.197784 0.00416612 0.00677297 0.999861 0.915675 -0.211236
42.9787 1.01066 -0.229777 0.00754549 0.00396917 0.999949 0.910554 -0.221969
46.0671 1.0063 -0.250277 0.00620018 0.00436986 0.999944 0.941111 -0.237552
49.3775 1.01698 -0.267976 0.00449675 0.0047395 0.999936 0.918013 -0.260365
52.9258 1.01838 -0.304068 0.0130211 0.012663 0.99952 0.918617 -0.283696
56.729 1.0152 -0.31912 0.01855 0.0212364 0.998649 0.934826 -0.313507
60.8056 1.02366 -0.340184 0.0126445 0.0207276 0.998728 0.957017 -0.361221
65.1751 1.02821 -0.383659 0.00578342 0.00625828 0.999883 0.944439 -0.382489
69.8586 1.03032 -0.413469 0.00521122 0.00953543 0.999717 0.947056 -0.420193
74.8787 1.03407 -0.44513 0.0073237 0.00720789 0.999839 0.949212 -0.44965
80.2595 1.05049 -0.481569 0.0110914 0.0130821 0.9995 0.962969 -0.499038
86.0269 1.0515 -0.548587 0.00964793 0.0116116 0.99961 1.00785 -0.54921
92.2088 1.03583 -0.581025 0.00627431 0.00937943 0.999725 0.962176 -0.579561
98.835 1.03258 -0.620123 0.00824725 0.0095354 0.999753 0.944788 -0.632278
