# bode_plot v2 2026-07-22 10:37:37
# element=1 inject=replace output=raw amplitude=0.2 amplitude2=0.1
# n_freqs=40 cycles=100 (10 segments x 10 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.25
# fit K(<=30Hz)=0.9137 +/- 0.0049  tau_meas_ms=0.7075  loop_frames=3.680 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=0.36  mag_flat_rms=0.025
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt DEEP GAIN 5-30 Hz, coarse bias 2.0/2.0, 32x32 exp125 gain100 bw100, beam-centred ROI, tracked 20x20 thr22. K only (tau unreliable over this short band -- use conf_bode_x.json for delay).
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 0.907903 -0.0274161 0.00319662 0.000959077 0.999996 0.783437 -0.0268244
5.09 0.912062 -0.026788 0.00231414 0.00168855 0.999987 0.795879 -0.0306218
5.09 0.901154 -0.0269696 0.00458067 0.00289277 0.999962 0.795534 -0.0292815
5.09 0.912187 -0.0259105 0.0040306 0.00204422 0.999981 0.787339 -0.0267809
6.59 0.900367 -0.0310437 0.00298729 0.00155595 0.999989 0.80167 -0.021023
6.59 0.887058 -0.0317047 0.00544968 0.00194553 0.999983 0.812522 -0.0230309
6.59 0.892418 -0.0298296 0.00565572 0.00342589 0.999947 0.845425 -0.0329895
6.89665 0.88491 -0.0329636 0.00313071 0.00263834 0.999968 0.868644 -0.0315469
7.22089 0.897884 -0.0359196 0.00402316 0.00350659 0.999944 0.837873 -0.0231996
7.56038 0.887316 -0.0348952 0.00359836 0.00307394 0.999957 0.866559 -0.0292165
7.91582 0.884669 -0.0379806 0.00389745 0.00360072 0.999942 0.824068 -0.0404876
8.28798 0.894937 -0.0372311 0.00576295 0.0050334 0.999886 0.850235 -0.0245069
8.32 0.891206 -0.0321063 0.0057104 0.00448757 0.99991 0.817451 -0.0371838
9.82 0.900831 -0.0406278 0.00843557 0.00485515 0.999893 0.793816 -0.0455983
9.82 0.920139 -0.0478947 0.00543836 0.0103323 0.99952 0.794654 -0.0668324
9.95999 0.900744 -0.0460734 0.00699923 0.00580819 0.999848 0.762281 -0.0536089
10.4283 0.888981 -0.0505559 0.00954884 0.00741527 0.999748 0.756071 -0.0468748
10.9185 0.905318 -0.0573887 0.00955912 0.00644812 0.999816 0.825748 -0.0575136
11.31 0.926988 -0.0471915 0.011757 0.00746256 0.999745 0.787823 -0.05415
11.31 0.920392 -0.0548671 0.00471942 0.0106862 0.999492 0.826971 -0.0302581
12.42 0.903287 -0.0475859 0.0158188 0.0122683 0.999324 0.838498 -0.0506443
12.42 0.909733 -0.0660204 0.0124371 0.0145598 0.999074 0.777733 -0.0558456
13.92 0.932985 -0.0734532 0.00844703 0.00589248 0.999845 0.786935 -0.056837
14.25 0.932937 -0.0546257 0.00548881 0.00860165 0.999664 0.788249 -0.0534643
15.75 0.935304 -0.0679433 0.00423158 0.00401907 0.999929 0.751131 -0.0603412
15.7683 0.935613 -0.071717 0.00741659 0.0079026 0.999723 0.764307 -0.0553437
16.5096 0.914061 -0.070733 0.00471778 0.00576411 0.999848 0.744969 -0.0731402
16.74 0.924214 -0.0752174 0.00375573 0.00613124 0.999829 0.774618 -0.0758411
18.24 0.927685 -0.0824121 0.00604297 0.00549173 0.999861 0.756665 -0.0801018
18.67 0.926699 -0.0831803 0.00690782 0.0111031 0.99945 0.795707 -0.0721162
20.17 0.920085 -0.0866702 0.0164671 0.0222064 0.997796 0.790521 -0.0966502
20.51 0.928376 -0.0817946 0.0155918 0.0134251 0.999209 0.814251 -0.0922777
22.01 0.921569 -0.0780994 0.0201756 0.0206399 0.998107 0.77306 -0.121993
22.7722 0.963415 -0.107688 0.00998417 0.0173 0.998649 0.819193 -0.130162
23.8429 0.934161 -0.102208 0.00783895 0.006191 0.999826 0.821182 -0.098388
24.9638 0.942733 -0.11398 0.00687077 0.01004 0.999546 0.825535 -0.11784
26.1375 0.946816 -0.117761 0.00597019 0.00826312 0.999689 0.820378 -0.129437
27.3663 0.95672 -0.121699 0.00260076 0.00449197 0.999909 0.801122 -0.13316
28.6529 0.959229 -0.135415 0.00622057 0.00409094 0.999924 0.827756 -0.137137
30.38 0.965416 -0.147811 0.00355464 0.00393193 0.999931 0.797651 -0.143805
