# bode_plot v2 2026-07-17 14:55:39
# element=0 inject=replace output=raw amplitude=0.15 amplitude2=0.075
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3756.92
# fit K(<=30Hz)=0.6208 +/- 0.0042  tau_meas_ms=1.1354  loop_frames=5.266 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=3.54  mag_flat_rms=0.080
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config y/tip open-loop plant, coarse bias 1.98/1.97 (matches attenuation_fsp.json / steering_fsp.json operating point 2026-07-17), 32x32 exp50 gain100, tracked 20x20 thr22
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.618279 -0.0274711 0.00235847 0.00327543 0.999968 0.618167 -0.0338586
4.89 0.620789 -0.0257314 0.00232157 0.00293317 0.999974 0.621294 -0.0292703
6.39 0.61932 -0.0326995 0.00202121 0.00185433 0.999989 0.406715 0.0386011
6.39 0.667429 -0.330397 0.0838832 0.142725 0.938174 0.622627 -0.0330822
6.59968 0.619986 -0.0336586 0.00291722 0.00280075 0.999977 0.620872 -0.0335929
7.07393 0.619027 -0.0361817 0.00320734 0.00152159 0.999993 0.805657 -0.0906374
7.58226 0.619906 -0.039885 0.00316315 0.0062103 0.999884 0.62029 -0.048966
8.12713 0.619354 -0.0397868 0.00328011 0.00581641 0.999897 0.619917 -0.0593676
8.71115 0.618454 -0.0485509 0.00406069 0.0113774 0.999611 0.617071 -0.0429396
8.84 0.621527 -0.0402005 0.00267131 0.0152935 0.999296 0.623623 -0.0765947
10.34 0.500688 -0.238133 0.0433006 0.225036 0.838785 0.615424 -0.0565932
10.55 0.600816 -0.0199937 0.0179545 0.0236743 0.998316 0.661844 -0.0368493
11.66 0.636892 -0.0578734 0.0105742 0.0155495 0.999284 0.59028 -0.00977287
11.66 0.61429 -0.0411933 0.013089 0.0165042 0.99919 0.649503 -0.0892907
13.21 0.624083 -0.0748344 0.0118077 0.0119665 0.999573 0.634288 -0.0869415
14.1593 0.622506 -0.0663292 0.00830919 0.00724877 0.999852 0.627231 -0.0875178
15.1768 0.625126 -0.0755636 0.00314451 0.00874273 0.99977 0.619152 -0.0973891
16.2674 0.62413 -0.0758574 0.00474863 0.00687886 0.999858 0.62265 -0.0940847
17.4364 0.627575 -0.0887047 0.00681635 0.00899861 0.999753 0.636935 -0.102867
