# fs_open=2309.76 fs_closed=2309.83 nfft=4096 open_s=199.999 closed_s=200 labels=y,x
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.08408e-06 6.62222e-10 -32.1406 1.99804e-05 2.55579e-07 -18.9308
0.563924 4.44337e-06 5.85797e-10 -38.7996 7.88347e-05 1.37556e-06 -17.5824
1.12785 1.68267e-06 2.92419e-10 -37.5999 2.89635e-05 1.03826e-06 -14.4554
1.69177 4.73055e-07 3.29641e-10 -31.5687 6.80976e-06 7.36132e-07 -9.66176
2.25569 3.05359e-07 3.69086e-10 -29.1768 4.21219e-06 5.79307e-07 -8.61599
2.81962 1.90827e-07 3.83863e-10 -26.9646 2.57855e-06 5.44292e-07 -6.75544
3.38354 1.49323e-07 4.29362e-10 -25.413 2.00994e-06 4.68521e-07 -6.32454
3.94746 1.54608e-07 5.60604e-10 -24.4058 1.92631e-06 4.18873e-07 -6.62645
4.51139 1.93034e-07 8.50485e-10 -23.5597 2.10192e-06 3.40819e-07 -7.90093
5.07531 6.49659e-07 4.23772e-09 -21.8555 1.86523e-06 3.03467e-07 -7.8862
5.63924 1.09547e-06 7.73861e-09 -21.5094 1.72982e-06 2.93399e-07 -7.70544
6.20316 4.11756e-07 3.08178e-09 -21.2584 1.75006e-06 2.62247e-07 -8.24343
6.76708 1.44395e-07 1.33777e-09 -20.3317 1.6844e-06 2.23295e-07 -8.77565
7.33101 1.30848e-07 1.40114e-09 -19.7028 1.50588e-06 2.22112e-07 -8.31217
7.89493 1.35999e-07 1.992e-09 -18.3425 1.50623e-06 2.3248e-07 -8.11504
8.45885 1.9487e-07 3.38218e-09 -17.6055 2.20098e-06 2.73829e-07 -9.05137
9.02278 1.55347e-06 3.14752e-08 -16.9334 1.39745e-05 9.97902e-07 -11.4625
9.5867 5.27002e-06 1.01767e-07 -17.142 3.05511e-05 1.94026e-06 -11.9717
10.1506 3.44524e-06 6.43635e-08 -17.2858 1.33834e-05 8.58183e-07 -11.9299
10.7145 6.5958e-06 1.13765e-07 -17.6326 8.49659e-06 6.07335e-07 -11.4582
11.2785 1.51443e-05 2.51246e-07 -17.8015 9.45687e-06 7.35307e-07 -11.0928
11.8424 5.97864e-06 1.0645e-07 -17.4946 1.90509e-05 1.38723e-06 -11.3777
12.4063 5.14818e-06 1.43857e-07 -15.5372 3.5489e-05 2.59547e-06 -11.3588
12.9702 5.78055e-06 1.77255e-07 -15.1337 1.63391e-05 1.23755e-06 -11.2067
13.5342 1.26557e-06 4.39548e-08 -14.5928 3.83055e-06 4.22015e-07 -9.57933
14.0981 2.91017e-07 1.33359e-08 -13.389 2.48326e-06 3.90207e-07 -8.03726
14.662 3.35671e-07 1.42105e-08 -13.733 3.00077e-06 4.83931e-07 -7.9245
15.2259 3.18456e-07 1.88183e-08 -12.2847 3.58792e-06 5.22238e-07 -8.36975
15.7899 2.04848e-07 1.23669e-08 -12.1917 2.67059e-06 3.3722e-07 -8.98694
16.3538 1.64933e-07 9.46562e-09 -12.4116 2.05134e-06 2.8564e-07 -8.56219
16.9177 1.7552e-07 1.03063e-08 -12.3122 1.98802e-06 3.00951e-07 -8.19924
17.4816 1.57455e-07 1.24864e-08 -11.0072 2.17486e-06 3.63171e-07 -7.7732
18.0456 2.12539e-07 1.47569e-08 -11.5844 2.15393e-06 3.24817e-07 -8.21593
18.6095 3.84915e-07 2.53216e-08 -11.8187 3.41765e-06 4.32683e-07 -8.97557
19.1734 1.90749e-06 1.38724e-07 -11.3831 1.3359e-05 1.4438e-06 -9.66265
19.7373 1.99898e-06 1.58534e-07 -11.0069 1.32899e-05 1.48573e-06 -9.51579
20.3012 9.19758e-07 8.59775e-08 -10.2929 9.54162e-06 1.41035e-06 -8.30294
20.8652 8.75992e-06 1.03964e-06 -9.25616 6.10866e-05 9.61892e-06 -8.0282
21.4291 1.44438e-05 1.79938e-06 -9.04557 8.82788e-05 1.29788e-05 -8.32621
21.993 5.29216e-06 6.60796e-07 -9.03565 2.89062e-05 2.37248e-06 -10.8579
22.5569 3.98853e-06 5.52174e-07 -8.58737 1.67588e-05 1.37793e-06 -10.8502
23.1209 4.19745e-06 5.20537e-07 -9.06534 1.51723e-05 1.89825e-06 -9.02698
23.6848 2.82758e-06 3.61181e-07 -8.9369 9.28994e-06 1.6168e-06 -7.59356
24.2487 2.64125e-06 3.70887e-07 -8.52567 8.00591e-06 1.5736e-06 -7.06516
24.8126 3.27759e-06 4.29973e-07 -8.82113 8.8094e-06 1.78253e-06 -6.93909
25.3766 4.335e-06 5.11309e-07 -9.28305 1.04474e-05 1.96713e-06 -7.25177
25.9405 4.86363e-06 5.02398e-07 -9.85913 1.08879e-05 1.91471e-06 -7.54843
26.5044 1.66043e-06 1.80648e-07 -9.63388 4.01398e-06 1.02733e-06 -5.91867
27.0683 1.15166e-06 1.61139e-07 -8.54126 2.20601e-06 8.71556e-07 -4.03312
27.6323 1.69764e-06 2.93267e-07 -7.62583 1.72631e-06 9.00338e-07 -2.82712
28.1962 3.32825e-06 5.12964e-07 -8.1213 1.43348e-06 9.52349e-07 -1.77595
28.7601 6.52859e-06 1.10637e-06 -7.7092 1.63319e-06 1.00868e-06 -2.09284
29.324 2.27937e-05 3.79251e-06 -7.78887 3.85909e-06 2.14168e-06 -2.55732
29.8879 3.25138e-05 4.81047e-06 -8.2988 5.66319e-06 2.79829e-06 -3.06168
30.4519 5.33786e-06 7.45076e-07 -8.55166 2.08325e-06 1.06177e-06 -2.9271
31.0158 1.83935e-07 7.9597e-09 -13.6377 1.11885e-06 7.39941e-07 -1.79573
31.5797 1.48255e-07 1.36297e-08 -10.3652 1.12374e-06 6.79196e-07 -2.18672
32.1436 1.31579e-07 1.84912e-08 -8.5222 1.14082e-06 6.08129e-07 -2.73223
32.7076 9.30143e-08 1.78805e-08 -7.16171 9.87588e-07 7.46969e-07 -1.21273
33.2715 8.30781e-08 1.64131e-08 -7.04297 9.89953e-07 7.91457e-07 -0.97187
33.8354 8.37061e-08 1.99583e-08 -6.22633 9.92496e-07 7.94942e-07 -0.963933
34.3993 9.69612e-08 2.48149e-08 -5.91885 1.09942e-06 9.9507e-07 -0.433089
34.9633 1.16106e-07 2.89395e-08 -6.03365 1.2878e-06 1.19378e-06 -0.329261
35.5272 1.57901e-07 4.11108e-08 -5.84429 1.56918e-06 1.4307e-06 -0.401244
36.0911 1.48093e-07 3.70216e-08 -6.02078 1.67743e-06 1.28684e-06 -1.15122
36.655 1.36738e-07 3.82474e-08 -5.53286 1.54471e-06 1.17359e-06 -1.19331
37.219 1.1029e-07 3.39455e-08 -5.11754 1.23259e-06 1.0486e-06 -0.702093
37.7829 9.24191e-08 2.94133e-08 -4.97218 1.04181e-06 9.13256e-07 -0.571974
38.3468 1.37391e-07 5.20573e-08 -4.21476 1.47139e-06 1.45283e-06 -0.0551377
38.9107 1.68621e-07 5.93927e-08 -4.53179 1.82985e-06 1.5478e-06 -0.727005
39.4746 1.35376e-07 4.32106e-08 -4.9595 1.31344e-06 1.10585e-06 -0.747161
40.0386 1.88596e-07 6.95202e-08 -4.33421 1.61111e-06 1.55511e-06 -0.153647
40.6025 2.76623e-07 1.15391e-07 -3.79718 2.23345e-06 2.25028e-06 0.0326097
41.1664 3.6105e-07 1.55156e-07 -3.66799 2.24211e-06 1.98689e-06 -0.524842
41.7303 2.68563e-07 1.39131e-07 -2.85622 1.84003e-06 1.73877e-06 -0.245819
42.2943 2.37046e-07 1.25125e-07 -2.77486 2.2513e-06 2.26951e-06 0.0349831
42.8582 2.63e-07 1.23072e-07 -3.29795 2.79466e-06 2.40856e-06 -0.645721
43.4221 2.06497e-07 9.35874e-08 -3.43697 2.13392e-06 1.98295e-06 -0.318675
43.986 1.71745e-07 8.7141e-08 -2.94661 1.75899e-06 1.82204e-06 0.152942
44.55 1.73134e-07 8.29778e-08 -3.19421 1.7503e-06 1.44678e-06 -0.827095
45.1139 1.76022e-07 7.5177e-08 -3.69483 1.82957e-06 1.23074e-06 -1.72181
45.6778 1.56274e-07 7.27012e-08 -3.32346 1.54383e-06 1.32071e-06 -0.677925
46.2417 1.33218e-07 6.40182e-08 -3.18259 1.2231e-06 1.19598e-06 -0.0973531
46.8057 1.48572e-07 6.55823e-08 -3.55152 1.38301e-06 1.11598e-06 -0.931685
47.3696 1.31115e-07 6.13072e-08 -3.30141 1.243e-06 1.02615e-06 -0.832601
47.9335 1.07732e-07 4.72712e-08 -3.5775 1.03144e-06 7.26992e-07 -1.51914
48.4974 9.10186e-08 4.14514e-08 -3.41591 9.11154e-07 7.06487e-07 -1.10487
49.0613 8.37868e-08 5.04729e-08 -2.20118 7.83985e-07 8.08767e-07 0.135159
49.6253 8.01265e-08 5.15484e-08 -1.91561 7.40282e-07 7.29527e-07 -0.063559
50.1892 8.45242e-08 5.82995e-08 -1.61316 6.81283e-07 7.33388e-07 0.320067
50.7531 8.84323e-08 6.86576e-08 -1.09922 7.6603e-07 7.8158e-07 0.0872766
51.317 1.95131e-07 1.43883e-07 -1.32315 8.4388e-07 9.8389e-07 0.666662
51.881 2.40612e-07 1.59158e-07 -1.79489 8.17045e-07 9.64026e-07 0.718431
52.4449 9.14747e-08 6.47923e-08 -1.49777 6.96927e-07 7.17989e-07 0.129305
53.0088 7.37044e-08 5.22245e-08 -1.49619 6.31497e-07 6.44181e-07 0.0863687
53.5727 7.3333e-08 5.08236e-08 -1.59234 6.20535e-07 7.23365e-07 0.665916
54.1367 5.94757e-08 4.64834e-08 -1.07042 5.69407e-07 7.64033e-07 1.27689
54.7006 6.1273e-08 4.20278e-08 -1.63732 6.10944e-07 7.55549e-07 0.922614
55.2645 6.44324e-08 5.01574e-08 -1.0877 6.55033e-07 7.8833e-07 0.804446
55.8284 7.22417e-08 6.86127e-08 -0.22383 7.3849e-07 8.93889e-07 0.829389
56.3924 8.87733e-08 7.36349e-08 -0.811986 8.24189e-07 8.41774e-07 0.0916868
56.9563 4.62628e-07 2.91121e-07 -2.01158 1.2949e-06 6.45543e-07 -3.0231
57.5202 9.95513e-06 8.94164e-06 -0.466296 9.63102e-06 4.7486e-06 -3.07106
58.0841 1.14405e-05 1.21249e-05 0.25233 1.09388e-05 7.18081e-06 -1.82798
58.648 8.94413e-07 1.0731e-06 0.791039 1.8258e-06 1.71911e-06 -0.261509
59.212 1.79029e-07 2.2904e-07 1.06988 8.64333e-07 1.10282e-06 1.05824
59.7759 1.22879e-07 1.3332e-07 0.354187 8.49678e-07 1.10219e-06 1.13002
60.3398 9.67543e-08 8.59603e-08 -0.513726 8.43114e-07 9.94953e-07 0.719162
60.9037 8.8835e-08 7.38478e-08 -0.802466 7.7894e-07 9.69787e-07 0.951727
61.4677 1.16791e-07 1.20305e-07 0.128745 9.42822e-07 1.22688e-06 1.14372
