# fs_open=3772.03 fs_closed=3782.37 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-17 12:34:10
# pixel_scale=15.5
# stat 0 -0.0561241 0.0314878 -5.89373e-05 0.0183961
# stat 1 0.121811 0.044448 0.000134086 0.0302621
# config ATTENUATION11 FSP RETEST -- new laser alignment, camera rate, and current Bode plant gains
# config Same continuously adapting full-band FSP as the successful attenuation11 run: broad_order=512, broad_mu=.03, start_delay=2 s, ramp=10 s; no frozen-weights test mode or safety-trip tuning
# config Camera/CoM match steering_tuned.json: 32x32 ROI, exposure 50, gain 100, 20x20 tracked window, threshold 22; coarse offsets 1.95/2.02 V
# config Current Bode plots fsm_bodex_716/fsm_bodey_716 give low-frequency normalized gains Kx=.868 and Ky=.630
# config Loop delay from the bode phase fits (5-300 Hz slope + 1 hidden frame): x 1.484 ms = 5.62 fr, y 1.681 ms = 6.37 fr at 3788 Hz. PER-AXIS delays: y global 6+0.0 (validated), x override 5+0.62 (bode fit; 5x latency runs 21:22-21:26 give departure 1.06 ms / 50% 1.32 ms = 5.00 fr every run). Departure-latency 4.02 fr was 1.6-2.3 fr short and caused the 310 Hz spiral of 07-16 20:55
# config All remaining observer and modal parameters match attenuation11; output is reported at 15.5 px per normalized unit
# config refs: Kulcsar 2006 / Petit 2008 / Meimon 2010 / Correia 2010
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 5.84737e-07 1.34189e-08 -16.3924 1.50184e-06 1.76161e-07 -9.30714
0.92343 3.21521e-06 6.20017e-08 -17.1481 8.80707e-06 8.76834e-07 -10.0191
1.84686 1.02818e-06 7.50909e-08 -11.3648 3.05331e-06 1.01022e-06 -4.80353
2.77029 4.10404e-07 1.01524e-07 -6.06644 8.35924e-07 1.61187e-06 2.85163
3.69372 6.21326e-07 1.2402e-07 -6.99828 6.49699e-07 1.91507e-06 4.69472
4.61715 4.24483e-05 4.91005e-07 -19.3677 4.4888e-06 1.80424e-06 -3.95836
5.54058 0.000125084 1.06255e-06 -20.7085 1.07679e-05 1.94758e-06 -7.42635
6.46401 2.68773e-05 4.36616e-07 -17.8929 2.70078e-06 1.06145e-06 -4.05589
7.38744 3.72223e-07 1.87072e-07 -2.98793 6.6574e-07 4.96754e-07 -1.27163
8.31087 2.60446e-06 2.17055e-07 -10.7915 1.73292e-05 1.15252e-06 -11.7713
9.2343 1.69257e-05 4.28984e-07 -15.961 9.74271e-05 3.48721e-06 -14.462
10.1577 1.91496e-05 4.05913e-07 -16.7373 6.21296e-05 1.7174e-06 -15.5843
11.0812 2.47335e-05 3.30948e-07 -18.7352 4.27547e-05 1.09643e-06 -15.91
12.0046 1.83674e-05 3.45976e-07 -17.25 0.000107434 3.35421e-06 -15.0555
12.928 1.02212e-05 3.07687e-07 -15.2139 5.50468e-05 1.98249e-06 -14.4352
13.8514 2.28326e-06 1.50809e-07 -11.8013 6.38877e-06 4.02279e-07 -12.0089
14.7749 5.8358e-07 1.46626e-07 -5.99889 2.77141e-06 3.05152e-07 -9.58184
15.6983 4.03391e-07 2.15439e-07 -2.72402 2.07108e-06 1.61236e-07 -11.0874
16.6217 2.91177e-07 2.57478e-07 -0.534168 1.92209e-06 1.44913e-07 -11.2267
17.5452 4.03523e-07 2.73632e-07 -1.68701 3.3569e-06 3.7023e-07 -9.57466
18.4686 7.21957e-07 2.57605e-07 -4.47556 7.93392e-06 6.90859e-07 -10.601
19.392 1.88549e-06 2.925e-07 -8.09299 2.3795e-05 1.41188e-06 -12.2669
20.3155 2.19012e-05 3.59408e-07 -17.8488 0.00010272 1.47402e-06 -18.4315
21.2389 5.86644e-05 5.22919e-07 -20.4994 0.000255546 1.9506e-06 -21.173
