# fs_open=3788.11 fs_closed=3788.13 nfft=4096 open_s=500 closed_s=500 labels=y,x
# start=2026-07-31 13:39:19
# pixel_scale=15.5
# stat 0 -0.112462 0.0302287 -1.07985e-05 0.00254507
# stat 1 0.228029 0.0204013 -7.74267e-07 0.00589492
# config SPLICED FIGURE -- open phase from PAR-3, closed phase from PAR-5.
# config PAR-5's own open phase is VOID: a mount bump at t~200 s pinned the beam against the ROI edge for the rest of the open window (its raw open figures were y 2.51 / x 6.70 px). Only its CLOSED phase is used here.
# config Reference chosen for ENVIRONMENT match, not recency: PAR-5's clean pre-bump window (t=110-200 s) read y 0.456 / x 0.339 px, vs PAR-3 y 0.465 / x 0.312 and PAR-4 y 0.553 / x 0.423. PAR-4 is the same day but 21%/25% larger, which would flatter the rejection ratio.
# config The 'mean -> mean' figures on page 2 mix runs by construction (open mean is PAR-3's, closed is PAR-5's) and are not a within-run drift measurement. The RMS-about-mean pair IS the comparison of interest.
# config Open PSD interpolated onto the closed run's frequency grid (the two runs measured fs 3788.11 vs 3788.22, up to ~12%% of a bin apart).
# freq_Hz psd_open_0 psd_closed_0 atten_dB_0 psd_open_1 psd_closed_1 atten_dB_1
0 1.25557e-07 6.27039e-10 -23.0155 2.07554e-07 1.88175e-10 -30.4257
0.924836 6.28548e-07 5.63045e-10 -30.478 1.38418e-06 1.79119e-10 -38.8805
1.84967 1.10722e-07 4.79277e-10 -23.6365 2.49995e-07 1.12211e-10 -33.479
2.77451 3.74827e-08 7.81519e-10 -16.8089 5.87434e-08 1.02426e-10 -27.5855
3.69934 5.48851e-08 2.02925e-09 -14.3212 4.76318e-08 1.12017e-10 -26.2861
4.62418 8.13691e-07 2.43748e-08 -15.2352 1.42288e-07 2.35931e-10 -27.8038
5.54902 8.97576e-06 2.01635e-07 -16.4851 1.84033e-06 1.39582e-09 -31.2007
6.47385 6.61459e-06 1.35135e-07 -16.8973 2.62573e-06 2.15359e-09 -30.8609
7.39869 3.41191e-07 1.05025e-08 -15.117 1.19651e-06 1.29623e-08 -19.6523
8.32352 1.3661e-06 2.71107e-08 -17.0234 9.13257e-06 7.40562e-08 -20.9103
9.24836 8.28388e-06 6.38528e-08 -21.1305 2.24251e-05 1.27464e-07 -22.4535
10.1732 7.16493e-06 2.65119e-08 -24.3177 1.15102e-05 4.77822e-08 -23.8182
11.098 4.78354e-06 2.94813e-08 -22.102 8.9434e-06 1.15098e-08 -28.9043
12.0229 1.61514e-05 1.30015e-07 -20.9422 2.51922e-05 1.44348e-08 -32.4186
12.9477 8.31402e-06 6.81055e-08 -20.8663 2.01115e-05 1.63915e-08 -30.8882
13.8725 9.07219e-07 8.23507e-09 -20.4204 6.60197e-06 1.17427e-08 -27.4991
14.7974 2.471e-07 3.28587e-09 -18.7622 1.45584e-06 1.13742e-08 -21.0719
15.7222 2.39747e-07 2.80492e-09 -19.3183 7.79006e-07 8.32097e-09 -19.7137
16.647 6.77386e-07 4.01885e-09 -22.2673 5.35309e-07 9.14473e-09 -17.6743
17.5719 1.42507e-06 6.74024e-09 -23.2516 9.19128e-07 1.7348e-08 -17.2413
18.4967 6.39087e-06 1.04029e-08 -27.8841 5.02495e-06 3.21569e-08 -21.9386
19.4216 2.51857e-05 3.4783e-08 -28.5979 1.92905e-05 1.09566e-07 -22.4567
20.3464 4.35677e-05 2.47693e-08 -32.4525 2.87258e-05 4.14529e-08 -28.4072
21.2712 0.000133324 3.50938e-08 -35.7968 8.77622e-05 2.34038e-08 -35.7402
22.1961 5.70225e-05 1.90718e-08 -34.7565 3.57581e-05 3.92238e-08 -29.5982
23.1209 2.37839e-05 2.54698e-08 -29.7026 8.42447e-06 4.75339e-08 -22.4854
24.0457 1.16885e-05 2.65898e-08 -26.4304 2.23529e-06 3.29562e-08 -18.314
24.9706 1.46394e-05 3.98862e-08 -25.647 2.46911e-06 7.00856e-08 -15.4691
25.8954 2.46604e-05 5.29824e-08 -26.6787 4.43023e-06 1.31596e-07 -15.2718
26.8202 3.36884e-05 2.81982e-08 -30.7726 5.34647e-06 1.01031e-07 -17.2361
27.7451 3.05805e-05 1.00014e-08 -34.8538 3.72508e-06 4.00579e-08 -19.6845
28.6699 1.70237e-05 1.74278e-08 -29.8981 1.29063e-06 1.74694e-08 -18.6853
29.5948 4.37461e-05 5.85826e-08 -28.7317 3.11728e-06 5.05423e-08 -17.9012
30.5196 1.41627e-05 1.75866e-08 -29.0596 1.16018e-06 1.65748e-08 -18.4508
31.4444 1.77077e-07 7.02086e-10 -24.0177 7.24223e-08 1.59113e-09 -16.5817
32.3693 7.60497e-08 1.90866e-09 -16.0037 6.55905e-08 2.70741e-09 -13.8429
33.2941 6.04056e-08 4.03633e-09 -11.7509 7.6593e-08 3.89194e-09 -12.9402
34.2189 5.30009e-08 7.53437e-09 -8.47236 8.93922e-08 4.78577e-09 -12.7135
35.1438 1.35915e-07 3.5115e-08 -5.87776 3.67824e-07 2.34335e-08 -11.958
36.0686 1.28046e-07 3.022e-08 -6.27073 3.61595e-07 2.10928e-08 -12.3409
36.9934 6.94371e-08 8.16661e-09 -9.2955 1.14255e-07 4.81602e-09 -13.7519
37.9183 2.36676e-07 1.759e-08 -11.2889 3.20214e-07 1.26539e-08 -14.0322
38.8431 1.37103e-06 5.41237e-08 -14.0366 1.19004e-06 4.4381e-08 -14.2836
39.768 2.26576e-06 4.83327e-08 -16.7097 1.41024e-06 5.80546e-08 -13.8546
40.6928 2.13779e-06 1.93439e-08 -20.4342 1.0814e-06 4.39043e-08 -13.9148
41.6176 1.41444e-06 2.04636e-08 -18.396 5.30297e-07 2.10971e-08 -14.003
42.5425 2.77423e-07 1.2174e-08 -13.5771 1.33579e-07 5.92104e-09 -13.5334
43.4673 8.27476e-08 1.39381e-08 -7.73552 5.52396e-08 2.63257e-09 -13.2187
44.3921 1.04094e-07 2.95452e-08 -5.4694 3.72522e-08 2.31113e-09 -12.0733
45.317 1.22164e-07 5.60358e-08 -3.38478 3.54777e-08 2.62614e-09 -11.3064
46.2418 1.29798e-07 6.96899e-08 -2.70097 4.3985e-08 3.59082e-09 -10.8811
47.1666 1.41057e-07 6.26506e-08 -3.5247 5.49195e-08 5.42371e-09 -10.0543
48.0915 1.42692e-07 5.16031e-08 -4.41725 8.09589e-08 8.05351e-09 -10.0228
49.0163 1.00136e-07 3.77759e-08 -4.23376 1.14502e-07 1.62619e-08 -8.47643
49.9411 6.07142e-08 1.36628e-08 -6.4775 1.37238e-07 1.49155e-08 -9.63836
50.866 1.18786e-07 6.43007e-09 -12.6655 1.24472e-07 1.37652e-08 -9.5629
51.7908 1.50577e-06 1.90822e-08 -18.9713 3.20896e-07 5.55323e-08 -7.61818
52.7157 2.27494e-06 3.54314e-08 -18.0758 3.97814e-07 9.66359e-08 -6.14541
53.6405 5.90128e-07 1.48633e-08 -15.9883 6.97181e-08 2.42826e-08 -4.5805
54.5653 1.9057e-07 4.63288e-09 -16.142 3.13426e-08 5.80577e-09 -7.32275
55.4902 1.39603e-07 1.69489e-09 -19.1575 3.16147e-08 3.555e-09 -9.49049
56.415 4.70145e-06 5.16459e-09 -29.592 2.48362e-07 5.16953e-08 -6.81635
57.3398 8.20649e-05 4.85769e-08 -32.2773 4.04186e-06 5.64449e-07 -8.54956
58.2647 7.37507e-05 5.65889e-08 -31.1503 3.63546e-06 4.63405e-07 -8.94599
59.1895 1.17911e-05 8.19993e-08 -21.5774 5.706e-07 8.64156e-08 -8.19739
60.1143 3.39972e-06 2.73818e-08 -20.9398 1.71251e-07 2.44852e-08 -8.4473
61.0392 7.66541e-07 4.71982e-09 -22.1061 4.79105e-08 9.68472e-09 -6.94344
61.964 1.29103e-06 1.63103e-08 -18.9847 6.203e-08 2.95247e-08 -3.22416
62.8889 8.61208e-07 2.07916e-08 -16.1722 4.65195e-08 2.17111e-08 -3.30953
63.8137 4.00439e-07 2.68721e-08 -11.7323 3.7932e-08 1.05299e-08 -5.56582
