# bode_plot v2 2026-07-17 14:47:57
# element=1 inject=replace output=raw amplitude=0.2 amplitude2=0.1
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3776.64
# fit K(<=30Hz)=0.9024 +/- 0.0025  tau_meas_ms=1.1521  loop_frames=5.351 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=10.32  mag_flat_rms=0.071
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant, coarse bias 1.98/1.97 (matches attenuation_fsp.json / steering_fsp.json operating point 2026-07-17), 32x32 exp50 gain100, tracked 20x20 thr22
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.903872 -0.0258602 0.00178456 0.00236361 0.999983 0.904332 -0.0251851
4.89 0.902328 -0.0287662 0.000674596 0.00275569 0.999977 0.903406 -0.0256255
6.39 0.90106 -0.0319757 0.00284678 0.00370933 0.999959 0.901808 -0.0300133
6.39 0.90125 -0.0328825 0.00275392 0.00294337 0.999974 0.90358 -0.0329543
6.59968 0.901584 -0.0329746 0.0016521 0.00234958 0.999984 0.902132 -0.0322857
7.07393 0.896368 -0.0384125 0.00224279 0.00227431 0.999985 0.900926 -0.0393336
7.58226 0.899474 -0.0344061 0.00148637 0.00477277 0.999932 1.07449 -0.250744
8.12713 0.901814 -0.0382509 0.00223502 0.00489534 0.999928 0.898083 -0.0436492
8.71115 0.905755 -0.0422017 0.0107806 0.0168374 0.999157 0.89637 -0.0432382
8.84 0.904842 -0.0368551 0.0135226 0.0209776 0.998689 0.94003 -0.461251
10.34 0.917621 -0.0388083 0.0167107 0.0123647 0.999567 0.896783 -0.0667223
10.55 0.911919 -0.0342947 0.0131686 0.00701329 0.999853 0.900472 -0.017651
11.66 0.899691 -0.0402341 0.0183271 0.0263636 0.99796 0.893185 -0.062022
11.66 0.897359 -0.0798479 0.0189077 0.0224423 0.998463 0.892616 -0.0384921
13.21 0.906057 -0.0559568 0.00858624 0.013712 0.999442 0.905265 -0.0914504
14.1593 0.898085 -0.0695974 0.00583119 0.00634225 0.999881 0.923 -0.0706418
15.1768 0.915627 -0.0792523 0.00841651 0.00467198 0.999933 0.914469 -0.0724858
16.2674 0.911213 -0.0717884 0.00221355 0.00632097 0.99988 0.913921 -0.0782948
17.4364 0.912334 -0.0977282 0.011277 0.0103 0.999679 0.889544 -0.0715561
18.6894 0.910158 -0.0907867 0.0133511 0.0120555 0.999553 0.908876 -0.101187
20.0324 0.927265 -0.0919108 0.0177109 0.0359566 0.996153 0.911804 -0.184783
22.18 0.950346 -0.157625 0.0495951 0.0639892 0.986662 0.906716 -0.0379012
23.0149 0.906272 -0.0845408 0.0304747 0.0327759 0.996871 0.97647 -0.0834609
24.15 0.914962 -0.1029 0.010005 0.0142575 0.999387 0.916248 -0.0968896
26.4415 0.922289 -0.134853 0.00802651 0.00619617 0.999878 0.931453 -0.109731
28.3416 0.92679 -0.148635 0.00979506 0.0049031 0.999929 0.938685 -0.135605
30.3782 0.93566 -0.1579 0.00634755 0.006713 0.999865 0.939659 -0.138202
32.5612 0.931912 -0.16724 0.00850326 0.00868086 0.999769 0.941651 -0.174443
34.78 0.941126 -0.179196 0.00584052 0.00785211 0.99982 0.953934 -0.188359
37.409 0.943191 -0.193087 0.00255927 0.00570736 0.999902 0.952526 -0.194415
40.0973 0.947408 -0.221352 0.00530351 0.00455942 0.999937 0.958113 -0.237248
42.9787 0.959675 -0.237955 0.00958562 0.00285707 0.999971 0.966123 -0.235895
