# bode_plot v2 2026-07-21 09:37:09
# element=1 inject=replace output=raw amplitude=0.2 amplitude2=0.1
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3787.98
# fit K(<=30Hz)=0.6924 +/- 0.0058  tau_meas_ms=1.2066  loop_frames=5.571 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=1.91  mag_flat_rms=0.073
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant, coarse bias 1.5/2.15 (new alignment 2026-07-21, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, tracked 20x20 thr22. Re-bode at the new bias to refresh Kx/tau for the loop retune.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.692239 -0.0260897 0.00258442 0.00959659 0.999723 0.698999 -0.0252644
4.89 0.691999 -0.0257363 0.00231128 0.00530883 0.999916 0.702663 -0.0265908
6.39 0.686425 -0.0309587 0.0118412 0.0223037 0.998517 0.69483 -0.0332027
6.39 0.692752 -0.0354633 0.00480217 0.00757965 0.999827 0.696809 -0.0283763
6.59968 0.691541 -0.0355875 0.00286306 0.00278481 0.999977 0.70343 -0.0314951
7.07393 0.682135 -0.0400589 0.00434268 0.00784306 0.999818 0.706138 -0.0357737
7.58226 0.690799 -0.045701 0.00764118 0.00887962 0.999765 0.712105 -0.0360135
8.12713 0.678816 -0.028534 0.0159041 0.021245 0.998651 0.694851 -0.0225466
8.71115 0.71134 0.0199239 0.0235206 0.0361993 0.996193 0.677457 -0.0389962
8.84 0.795641 0.0563609 0.0235415 0.0176043 0.999019 0.641608 -0.112414
10.34 0.690865 -0.0453938 0.00442222 0.0161665 0.999218 0.728418 -0.0826264
10.55 0.688209 -0.0591237 0.0035822 0.0187065 0.998958 0.699979 -0.0164809
11.66 0.690719 -0.079596 0.0141488 0.0126682 0.999518 0.711444 -0.0893729
11.66 0.697072 -0.073103 0.0184248 0.0248347 0.998141 0.752342 -0.0713945
13.21 0.692775 -0.0643441 0.0246008 0.0249649 0.998143 0.709069 -0.0447608
14.1593 0.703124 -0.0720332 0.0187362 0.0173698 0.999091 0.745005 -0.0728017
15.1768 0.703562 -0.0776579 0.00822381 0.00825275 0.999791 0.698857 -0.0829244
16.2674 0.699633 -0.0814769 0.00972952 0.0108046 0.999657 0.720578 -0.0849536
17.4364 0.709646 -0.0961321 0.0131396 0.0203853 0.998748 0.722059 -0.124836
18.6894 0.70184 -0.0848208 0.0263992 0.0435671 0.994239 0.721213 -0.0916061
20.0324 0.687507 -0.0877266 0.0373957 0.0389987 0.994934 0.728871 -0.135123
22.18 0.696719 -0.106919 0.039192 0.0541893 0.991558 0.681195 -0.158739
23.0149 0.701771 -0.107444 0.016292 0.0279029 0.997745 0.716963 -0.175171
24.15 0.72528 -0.120136 0.0284687 0.0176532 0.99907 0.717238 -0.126938
26.4415 0.723473 -0.126995 0.011694 0.0220942 0.998557 0.737414 -0.137089
28.3416 0.724628 -0.148711 0.00939535 0.00506954 0.999925 0.735703 -0.162464
30.3782 0.715699 -0.161768 0.0070236 0.00986411 0.999712 0.743767 -0.162592
32.5612 0.719006 -0.175571 0.00824646 0.0118544 0.999596 0.741221 -0.173267
34.78 0.7244 -0.197108 0.0056656 0.010741 0.999652 0.743602 -0.181569
37.409 0.731106 -0.205442 0.00900142 0.0140221 0.999399 0.752172 -0.204552
40.0973 0.737311 -0.225247 0.00839917 0.00719306 0.99985 0.747203 -0.208045
42.9787 0.730638 -0.249321 0.00555232 0.00669827 0.999872 0.749756 -0.257113
46.0671 0.73017 -0.261623 0.00371425 0.00394952 0.999947 0.754332 -0.255786
49.3775 0.733633 -0.291297 0.00684659 0.0110744 0.999645 0.770081 -0.291854
52.9258 0.743278 -0.325496 0.00379797 0.00467886 0.999935 0.766255 -0.325314
56.729 0.743515 -0.355152 0.00325595 0.0100975 0.999695 0.767932 -0.335325
60.8056 0.75373 -0.384749 0.00698652 0.00646669 0.999888 0.785897 -0.377273
65.1751 0.767886 -0.415198 0.00851267 0.00905935 0.999742 0.791423 -0.405799
69.8586 0.76008 -0.451656 0.00590346 0.00639327 0.999902 0.782175 -0.463353
74.8787 0.771891 -0.47515 0.0054614 0.00416109 0.999946 0.789132 -0.466802
80.2595 0.783115 -0.513449 0.00771723 0.00777185 0.999841 0.781356 -0.505535
86.0269 0.79766 -0.58385 0.00934201 0.0103176 0.99967 0.797855 -0.563545
92.2088 0.787786 -0.629772 0.010271 0.00856604 0.999752 0.817197 -0.641386
98.835 0.783367 -0.670351 0.00773748 0.00993625 0.999731 0.806937 -0.636075
105.937 0.768703 -0.704031 0.00860898 0.00870877 0.999782 0.779348 -0.718679
113.55 0.801742 -0.817339 0.0123113 0.00747589 0.999749 0.820895 -0.766461
121.71 0.788205 -0.894349 0.0121408 0.00963408 0.999717 0.789403 -0.876087
130.456 0.78828 -0.947754 0.00911443 0.00349914 0.999924 0.813195 -0.955927
139.83 0.77307 -1.02317 0.00805384 0.00823963 0.999767 0.793225 -1.03714
149.879 0.758667 -1.12807 0.0103647 0.00658432 0.999835 0.794074 -1.12374
160.649 0.765822 -1.20709 0.00407022 0.0071801 0.999833 0.775993 -1.20319
172.193 0.740848 -1.31198 0.0172525 0.0237097 0.998422 0.771479 -1.22927
184.567 0.752953 -1.3327 0.00437231 0.00854013 0.999787 0.784537 -1.32776
197.83 0.753694 -1.47315 0.00828927 0.0113137 0.999585 0.779816 -1.47224
212.046 0.727769 -1.59344 0.0138162 0.0100662 0.999609 0.797213 -1.55169
227.284 0.735335 -1.70189 0.0128859 0.00584439 0.999777 0.775317 -1.73698
243.617 0.725588 -1.78652 0.00966328 0.00754746 0.999864 0.746583 -1.8332
261.123 0.681551 -2.05454 0.0255631 0.0340271 0.996922 0.771057 -1.97513
279.887 0.714232 -2.08608 0.011204 0.0122682 0.999662 0.760462 -2.07376
300 0.69888 -2.23505 0.0183522 0.0133833 0.999841 0.70764 -2.26508
