# bode_plot v2 2026-07-21 16:04:58
# element=1 inject=replace output=raw amplitude=0.2 amplitude2=0.1
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3781.96
# fit K(<=30Hz)=0.8046 +/- 0.0051  tau_meas_ms=1.0523  loop_frames=4.980 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=0.75  mag_flat_rms=0.026
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant, coarse bias 2.0/2.0 (beam realigned, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Re-bode at the new bias to refresh Kx/tau for the loop retune. K uses <=30 Hz; tau (delay) uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.807171 -0.0695628 0.00325028 0.00309877 0.999971 0.799817 -0.0770299
4.89 0.808119 -0.0679894 0.00272273 0.00404018 0.999951 0.808575 -0.0812953
4.89 0.806245 -0.0731877 0.00258956 0.00431905 0.999944 0.814999 -0.0851305
4.89 0.806926 -0.0671433 0.00131293 0.00298984 0.999973 0.810248 -0.0752875
6.39 0.804096 -0.087916 0.00522033 0.00356732 0.999962 0.81279 -0.085143
6.39 0.766196 -0.0632026 0.0366216 0.0214034 0.998953 0.806068 -0.0846059
6.39 0.806071 -0.083505 0.00296816 0.00591936 0.999895 0.793884 -0.105943
6.39 0.801967 -0.0816917 0.00578319 0.00530398 0.999916 0.801147 -0.0868792
6.39 0.808328 -0.0898625 0.00593563 0.00717164 0.999844 0.799116 -0.0804322
6.5716 0.801235 -0.0850036 0.00612844 0.0131944 0.999482 0.810374 -0.0961878
6.77423 0.805308 -0.0876327 0.0057991 0.00433559 0.999944 0.813076 -0.0905578
6.98311 0.812054 -0.0930302 0.00518181 0.00633272 0.999882 0.802532 -0.0954164
7.19843 0.8061 -0.0903739 0.00310206 0.00359377 0.999961 0.80819 -0.103789
7.4204 0.806702 -0.0980109 0.00340963 0.00602082 0.999892 0.806559 -0.0974367
7.6492 0.804111 -0.0926164 0.00583537 0.00925206 0.999744 0.810088 0.00214228
7.88506 0.810865 -0.106827 0.0100759 0.00568395 0.999905 0.816887 -0.122312
8.12819 0.815126 -0.0980159 0.0105915 0.0177691 0.999064 0.822461 -0.100636
8.37882 0.813191 -0.117211 0.0090336 0.00911335 0.999751 0.789324 -0.0967261
8.63718 0.822302 -0.0974961 0.0122566 0.0223239 0.998489 0.798288 -0.157708
8.84 0.908867 -0.131219 0.0421642 0.0554489 0.99032 0.746748 -0.12909
8.84 0.87747 -0.0759966 0.0119137 0.0158401 0.999267 0.731011 -0.119498
8.84 0.848711 -0.136299 0.0187589 0.00957879 0.99971 0.728763 -0.137613
10.34 0.786775 -0.116578 0.00478954 0.00727459 0.999839 0.789609 -0.139478
10.34 0.79844 -0.122105 0.00963647 0.0068077 0.999863 0.813817 -0.131551
10.3635 0.808251 -0.117637 0.00820689 0.0133227 0.999472 0.799384 -0.113937
10.55 0.8028 -0.115308 0.00397575 0.0129009 0.999508 0.748565 -0.195186
10.55 0.795611 -0.108096 0.0137223 0.00739091 0.999836 0.788989 -0.112218
11.66 0.798179 -0.143376 0.0110732 0.0148904 0.99934 0.756411 -0.150033
11.66 0.790046 -0.106815 0.00980679 0.0146255 0.999361 0.80522 -0.166274
11.66 0.801178 -0.135826 0.0059849 0.00924091 0.999744 0.794476 -0.120353
13.16 0.816195 -0.138874 0.0167575 0.0172622 0.999123 0.82419 -0.183636
13.16 0.804759 -0.16128 0.0114566 0.012543 0.999541 0.816533 -0.179578
13.2135 0.812621 -0.162988 0.021105 0.0262434 0.997951 0.797207 -0.190701
13.6209 0.797286 -0.132742 0.00609174 0.00629721 0.999885 0.77518 -0.14668
14.0409 0.800408 -0.129349 0.0125339 0.0129758 0.999496 0.770719 -0.185432
14.4739 0.79036 -0.139056 0.00458229 0.00597974 0.999891 0.810818 -0.168647
14.9202 0.785525 -0.139454 0.00338393 0.00485091 0.99993 0.75916 -0.202963
15.3802 0.802321 -0.140377 0.00469894 0.00657684 0.999869 0.794649 -0.17711
15.8545 0.807132 -0.139084 0.00762955 0.00495968 0.999927 0.792676 -0.168542
16.3434 0.802378 -0.148292 0.005186 0.00761747 0.999829 0.794172 -0.191732
16.8473 0.795421 -0.157433 0.00493743 0.00386142 0.999956 0.790573 -0.177715
17.3668 0.807796 -0.156745 0.00679751 0.00605935 0.999886 0.790398 -0.186557
17.9023 0.814372 -0.161913 0.00583237 0.0152407 0.999306 0.769335 -0.206985
18.4543 0.79692 -0.178314 0.0142672 0.0191091 0.998882 0.77413 -0.197877
19.0233 0.798528 -0.160338 0.0182855 0.0209651 0.998694 0.813025 -0.220644
19.6099 0.848474 -0.151778 0.0206196 0.0233551 0.998406 0.782947 -0.337722
20.2146 0.807146 -0.185312 0.015848 0.0428001 0.994484 0.806651 -0.215346
20.68 0.816389 -0.201037 0.0207392 0.0451309 0.994239 0.839017 -0.19616
22.18 0.8065 -0.204323 0.0225353 0.0257726 0.997974 0.843457 -0.278968
22.18 0.811289 -0.166134 0.0346439 0.0322281 0.996958 0.735314 -0.212924
22.8255 0.789148 -0.181686 0.0159935 0.0187004 0.998962 0.791641 -0.238709
23.5293 0.78578 -0.18935 0.00635769 0.022734 0.998475 0.799508 -0.255557
24.15 0.800236 -0.188559 0.0111385 0.0125458 0.999532 0.766567 -0.221307
26.13 0.802518 -0.205674 0.00543613 0.0129118 0.999496 0.768522 -0.275506
26.13 0.809981 -0.214098 0.00807358 0.0136224 0.999437 0.77986 -0.253155
26.5684 0.801301 -0.228147 0.0063015 0.00887745 0.999758 0.778282 -0.25595
27.3876 0.810849 -0.223035 0.00691977 0.00571926 0.999894 0.792656 -0.265926
28.2321 0.813747 -0.226571 0.00669457 0.00992723 0.99971 0.771565 -0.270656
28.57 0.807708 -0.227701 0.0064244 0.00449518 0.999938 0.784109 -0.277318
30.07 0.821942 -0.23576 0.00444545 0.00725566 0.99984 0.780671 -0.284067
