# bode_plot v2 2026-07-22 09:00:42
# element=1 inject=replace output=raw amplitude=0.2 amplitude2=0.1
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.26
# fit K(<=30Hz)=0.9197 +/- 0.0080  tau_meas_ms=1.1885  loop_frames=5.502 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=1.64  mag_flat_rms=0.046
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant, coarse bias 2.0/2.0 (beam realigned, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Re-bode at the new bias to refresh Kx/tau for the loop retune. K uses <=30 Hz; tau (delay) uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.882942 -0.0330596 0.0118861 0.00823669 0.999802 1.00756 -0.0251737
4.89 0.902361 -0.0314408 0.00569165 0.00810859 0.999803 1.02473 -0.0321109
6.39 0.918372 -0.0275452 0.0102798 0.00508364 0.999923 0.993263 -0.0245101
6.39 0.928895 -0.0318607 0.00406698 0.00482341 0.999931 0.995541 -0.0351939
6.59968 0.916396 -0.0367192 0.00369702 0.00210393 0.999987 1.01054 -0.0429517
7.07393 0.933268 -0.0358148 0.00457873 0.00306493 0.999972 1.00928 0.00365344
7.58226 0.933245 -0.0397513 0.00466228 0.00693349 0.999854 0.991037 -0.0418164
8.12713 0.936149 -0.0330256 0.0075812 0.00642886 0.999875 0.985404 -0.0333887
8.71115 0.931095 -0.0542883 0.00958737 0.0158786 0.999257 0.98521 -0.0367277
8.84 0.940698 -0.0205471 0.0156233 0.0161031 0.99925 0.968727 -0.0703213
10.34 0.9429 -0.0444473 0.00953459 0.0174027 0.999096 0.993267 -0.0567335
10.55 0.944372 -0.0359736 0.0187254 0.015273 0.999297 0.975394 -0.0364107
11.66 0.921622 -0.0578977 0.0198877 0.0173418 0.999128 0.985227 -0.0255497
11.66 0.910112 -0.0762362 0.0177474 0.0191927 0.998899 1.00754 -0.0539464
13.21 0.915081 -0.0582546 0.0233967 0.026421 0.997868 0.948413 -0.069448
14.1593 0.894751 -0.062105 0.014606 0.0109969 0.999642 1.00842 -0.0748705
15.1768 0.891631 -0.0792815 0.00852679 0.00715938 0.99985 1.0148 -0.0954289
16.2674 0.895729 -0.081321 0.00778406 0.0128082 0.99951 1.02454 -0.0878897
17.4364 0.90443 -0.0828609 0.0114525 0.0110367 0.999635 1.02187 -0.0982667
18.6894 0.887305 -0.10145 0.0208999 0.0247924 0.998197 1.01733 -0.0883255
20.0324 0.918693 -0.0956981 0.0194387 0.0214283 0.998594 1.0255 -0.103764
22.18 0.906491 -0.13881 0.0179632 0.0325978 0.99687 1.07407 -0.0853046
23.0149 0.899549 -0.103767 0.0307619 0.0276094 0.997832 1.02794 -0.102314
24.15 0.905417 -0.115207 0.0167432 0.0191615 0.998864 1.0146 -0.149011
26.4415 0.9119 -0.134667 0.0146859 0.00985397 0.999708 1.02214 -0.126438
28.3416 0.894193 -0.135401 0.00877297 0.00447979 0.999948 1.03769 -0.139783
30.3782 0.916703 -0.155257 0.0099594 0.0104974 0.999664 1.03567 -0.145671
32.5612 0.922679 -0.171456 0.007067 0.00450802 0.999936 1.03544 -0.160445
34.78 0.915091 -0.177965 0.00857091 0.00656722 0.999873 1.05082 -0.167183
37.409 0.929333 -0.199166 0.0129881 0.0140372 0.99942 1.0578 -0.199159
40.0973 0.910933 -0.220059 0.0067663 0.0068296 0.999859 1.06285 -0.223668
42.9787 0.934921 -0.235688 0.00359689 0.00615644 0.999886 1.05603 -0.226312
46.0671 0.922086 -0.254845 0.00556462 0.00489401 0.999932 1.06279 -0.251125
49.3775 0.932765 -0.287225 0.00640558 0.00511963 0.999915 1.04221 -0.296537
52.9258 0.947852 -0.311264 0.0191409 0.0119314 0.999594 1.05737 -0.310492
56.729 0.942995 -0.340486 0.028336 0.0252144 0.998138 1.08446 -0.306684
60.8056 0.940791 -0.358035 0.0279832 0.0305014 0.997252 1.0579 -0.356684
65.1751 0.964243 -0.409385 0.00944752 0.00728147 0.999846 1.06872 -0.410902
69.8586 0.966359 -0.454762 0.00602783 0.0102292 0.999701 1.08885 -0.446233
74.8787 0.968305 -0.475588 0.00598522 0.00792853 0.999809 1.09191 -0.465283
80.2595 0.998246 -0.505126 0.00712754 0.00558838 0.999922 1.06267 -0.530703
86.0269 0.980539 -0.567274 0.0132786 0.0143008 0.999369 1.09407 -0.59544
92.2088 0.991542 -0.621522 0.0111622 0.00897689 0.999791 1.07181 -0.637267
98.835 1.00558 -0.655007 0.00851639 0.00530937 0.99991 1.11185 -0.646791
105.937 0.990175 -0.73236 0.00518145 0.0112477 0.999603 1.10993 -0.717851
113.55 1.038 -0.777735 0.00789239 0.0084928 0.999771 1.12312 -0.770314
121.71 1.01859 -0.865536 0.0123893 0.0163202 0.99923 1.11891 -0.843367
130.456 1.02886 -0.935387 0.00853752 0.00860645 0.999772 1.10859 -0.933036
139.83 0.998974 -1.02882 0.0113775 0.0180926 0.999105 1.08058 -1.0026
149.879 0.9757 -1.10319 0.00762765 0.00808012 0.999807 1.07155 -1.10947
160.649 0.999855 -1.18609 0.00413713 0.0071839 0.999856 1.08171 -1.1982
172.193 0.966092 -1.25541 0.00639484 0.00399752 0.999916 1.08239 -1.25242
184.567 0.955389 -1.32484 0.00657485 0.00703271 0.999862 1.09073 -1.31581
197.83 0.9561 -1.46877 0.0200447 0.0267497 0.998034 1.0815 -1.43293
212.046 0.949328 -1.54576 0.00636966 0.00916805 0.999736 1.05567 -1.56405
227.284 0.972375 -1.64991 0.00786656 0.00801754 0.999763 1.0482 -1.66351
243.617 0.974939 -1.80848 0.00780576 0.00899862 0.999782 1.09601 -1.80019
261.123 0.928189 -1.94247 0.00843904 0.00689554 0.999907 1.05669 -1.92701
279.887 0.915804 -2.07555 0.0100204 0.00666594 0.999937 1.06194 -2.06937
300 0.891043 -2.23443 0.0095242 0.00763534 0.999828 0.99654 -2.23662
