# bode_plot v2 2026-07-22 09:49:18
# element=1 inject=replace output=raw amplitude=0.2 amplitude2=0.1
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.24
# fit K(<=30Hz)=0.9231 +/- 0.0064  tau_meas_ms=1.1346  loop_frames=5.298 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=1.62  mag_flat_rms=0.065
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant, coarse bias 2.0/2.0 (beam realigned, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Re-bode at the new bias to refresh Kx/tau for the loop retune. K uses <=30 Hz; tau (delay) uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.908483 -0.0269602 0.00333986 0.00407166 0.99995 0.917914 -0.0297075
4.89 0.922916 -0.0230104 0.00499663 0.00413122 0.999949 0.888432 -0.0331041
6.39 0.930145 -0.029713 0.00537054 0.00360592 0.999961 0.923924 -0.0269243
6.39 0.927462 -0.0280814 0.00525346 0.00392645 0.999954 0.917742 -0.039934
6.59968 0.912568 -0.032177 0.00331991 0.00392121 0.999953 0.924425 -0.0398018
7.07393 0.923211 -0.0344954 0.00571391 0.00347659 0.999964 0.936844 -0.0369054
7.58226 0.920939 -0.0439191 0.00241986 0.00930136 0.99974 0.919614 -0.0401292
8.12713 0.911349 -0.0291862 0.00833315 0.0152608 0.999293 0.909166 -0.0332823
8.71115 0.929434 -0.0391088 0.0143155 0.0104376 0.999673 0.917535 -0.0664845
8.84 0.953194 -0.04203 0.0129969 0.0144098 0.999383 0.927288 -0.0918955
10.34 0.931051 -0.0479827 0.0104051 0.0086031 0.99978 0.915247 -0.0346645
10.55 0.929886 -0.0595026 0.0177583 0.0048254 0.999935 0.892422 -0.0845351
11.66 0.94179 -0.0427054 0.0158688 0.0174313 0.999066 0.883545 -0.026639
11.66 0.938402 -0.0270146 0.0126632 0.0174885 0.999092 0.921459 -0.027236
13.21 0.996481 -0.0367536 0.0140372 0.0127458 0.999513 0.983712 -0.00845989
14.1593 0.935271 -0.0638162 0.00762039 0.0085229 0.999778 0.936223 -0.0751974
15.1768 0.932033 -0.0797569 0.00776741 0.00640553 0.999879 0.971896 -0.0553648
16.2674 0.932654 -0.0745472 0.009867 0.00903735 0.999763 0.973883 -0.0860039
17.4364 0.941443 -0.0855451 0.00840521 0.00847094 0.999787 0.947218 -0.0655428
18.6894 0.936356 -0.0698852 0.0116966 0.0213629 0.998651 0.960738 -0.0741524
20.0324 0.946816 -0.0855085 0.032371 0.0341399 0.996404 0.965663 -0.0833052
22.18 0.990931 -0.151703 0.0330251 0.0407853 0.995204 0.907376 -0.0671288
23.0149 0.949133 -0.121036 0.0310655 0.0161207 0.999202 0.955026 -0.108636
24.15 0.937253 -0.0915821 0.0122765 0.0137013 0.999435 1.00051 -0.0962847
26.4415 0.953165 -0.12139 0.00910445 0.010775 0.999646 0.986766 -0.123405
28.3416 0.950257 -0.130867 0.0113508 0.00813011 0.999794 0.980574 -0.126991
30.3782 0.957183 -0.138787 0.00695477 0.00650221 0.999873 0.981737 -0.160102
32.5612 0.964892 -0.156969 0.00582056 0.00689461 0.999851 0.991911 -0.149496
34.78 0.971019 -0.17171 0.00898287 0.00649767 0.999873 0.997362 -0.18229
37.409 0.968484 -0.190405 0.0059562 0.00530016 0.999915 0.973639 -0.188854
40.0973 0.970868 -0.203848 0.0058297 0.00783474 0.999823 0.993168 -0.180213
42.9787 0.975427 -0.225938 0.00651613 0.00439446 0.999939 1.02447 -0.233325
46.0671 0.979245 -0.237308 0.00440067 0.00333808 0.999962 1.02507 -0.24315
49.3775 0.979366 -0.270275 0.00612062 0.00321994 0.999969 1.01559 -0.266829
52.9258 0.994687 -0.297478 0.0069375 0.0107784 0.999653 1.01064 -0.298268
56.729 0.990721 -0.318087 0.020287 0.0225319 0.998482 1.0106 -0.324251
60.8056 0.99146 -0.342508 0.0190773 0.0176205 0.999036 1.01588 -0.360405
65.1751 0.994529 -0.379634 0.00833298 0.00578147 0.999901 1.02389 -0.385091
69.8586 1.01144 -0.420201 0.0071409 0.00857728 0.999791 1.02724 -0.402056
74.8787 1.00845 -0.44211 0.00633504 0.0101893 0.999695 1.02459 -0.438658
80.2595 1.02972 -0.472975 0.0106288 0.0156718 0.999277 1.04007 -0.522562
86.0269 1.01389 -0.55516 0.00672684 0.00899789 0.999751 1.0483 -0.537641
92.2088 1.01652 -0.589504 0.00845755 0.017194 0.999135 1.05234 -0.577433
98.835 1.03308 -0.610246 0.00435391 0.00841278 0.999794 1.02101 -0.614589
105.937 1.02062 -0.685146 0.00434868 0.00561206 0.999909 1.02659 -0.672325
113.55 1.04351 -0.731017 0.00889231 0.0103167 0.999663 1.07387 -0.74518
121.71 1.04508 -0.803593 0.00559527 0.0109262 0.999644 1.06006 -0.826827
130.456 1.05578 -0.890328 0.00471645 0.00562504 0.999886 1.06127 -0.891027
139.83 1.02299 -0.968629 0.00915067 0.00599509 0.999863 1.05588 -0.953135
