# bode_plot v2 2026-07-22 10:21:47
# element=1 inject=replace output=raw amplitude=0.2 amplitude2=0.1
# n_freqs=20 cycles=100 (10 segments x 10 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.23
# fit K(<=30Hz)=0.9017 +/- 0.0044  tau_meas_ms=0.7390  loop_frames=3.799 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=0.43  mag_flat_rms=0.022
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt DEEP GAIN 5-30 Hz, coarse bias 2.0/2.0, 32x32 exp125 gain100 bw100, beam-centred ROI, tracked 20x20 thr22. K only (tau unreliable over this short band -- use conf_bode_x.json for delay).
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 0.88604 -0.0247295 0.00242702 0.00258445 0.99997 0.877037 -0.0177862
5.09 0.894593 -0.0260836 0.00339911 0.00192729 0.999983 0.869167 -0.024843
6.59 0.904929 -0.0290945 0.00389119 0.00246474 0.999973 0.865159 -0.025153
6.63492 0.903089 -0.0290721 0.00419366 0.00200073 0.999982 0.844566 -0.0287728
7.29107 0.908047 -0.0321022 0.00333982 0.00229437 0.999976 0.833411 -0.0223039
8.01211 0.90195 -0.0351748 0.00343144 0.00493051 0.999892 0.853163 -0.0384968
8.32 0.905229 -0.033288 0.0035322 0.0058532 0.999846 0.867392 -0.0327846
9.82 0.896509 -0.0452597 0.00449929 0.00758524 0.999741 0.844231 -0.0482662
10.6319 0.863388 -0.0489317 0.00635729 0.00498274 0.999887 0.871381 -0.0715151
11.31 0.900932 -0.0534081 0.00816959 0.00844616 0.999677 0.885223 -0.0534853
12.42 0.878528 -0.0436099 0.0155358 0.0139097 0.999137 0.887396 -0.0735049
14.1084 0.910695 -0.0662871 0.00294204 0.0057874 0.99985 0.92121 -0.0708435
15.75 0.91192 -0.0665017 0.00414769 0.00622471 0.999825 0.955614 -0.0674714
16.74 0.90581 -0.0736414 0.00438127 0.0038048 0.999935 0.936193 -0.08398
18.67 0.917602 -0.0792513 0.0167385 0.0150009 0.998986 0.912977 -0.0880306
20.51 0.922042 -0.0783475 0.0222375 0.023036 0.997669 0.923732 -0.0916575
22.6076 0.92729 -0.082224 0.0089456 0.0171948 0.998682 0.866903 -0.089943
24.8434 0.932451 -0.115687 0.0118554 0.00603352 0.999836 0.947841 -0.12283
27.3002 0.938395 -0.130724 0.00641167 0.00500525 0.999885 0.959167 -0.126821
30.38 0.943197 -0.144997 0.00455853 0.00509648 0.999884 0.939636 -0.160679
