# bode_plot v2 2026-07-22 10:52:19
# element=1 inject=replace output=raw amplitude=0.2 amplitude2=0.1
# n_freqs=40 cycles=100 (10 segments x 10 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.25
# fit K(<=30Hz)=0.9797 +/- 0.0040  tau_meas_ms=0.7132  loop_frames=3.702 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=0.26  mag_flat_rms=0.012
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt DEEP GAIN 5-30 Hz, coarse bias 2.0/2.0, 32x32 exp125 gain100 bw100, beam-centred ROI, tracked 20x20 thr22. K only (tau unreliable over this short band -- use conf_bode_x.json for delay).
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 0.969124 -0.0226 0.00284864 0.00166097 0.999988 0.714987 -0.0244575
5.09 0.967324 -0.0260249 0.00246296 0.00230639 0.999976 0.726844 -0.02604
5.09 0.971733 -0.0250799 0.00243888 0.00289341 0.999963 0.7452 -0.0300856
5.09 0.98345 -0.0259218 0.00151228 0.00245096 0.999973 0.731441 -0.0265112
6.59 0.985801 -0.0288434 0.00441001 0.00201664 0.999982 0.720162 -0.0306944
6.59 0.985588 -0.0294329 0.00488745 0.00300381 0.999958 0.73804 -0.0258882
6.59 0.978711 -0.0298645 0.00354869 0.00166038 0.999988 0.738858 -0.0247995
6.89665 0.977249 -0.0313438 0.00460078 0.00249918 0.999973 0.747723 -0.0419797
7.22089 0.98363 -0.0334874 0.00583554 0.00326508 0.999953 0.755976 -0.0316265
7.56038 0.978422 -0.0319361 0.00234931 0.00298531 0.99996 0.715648 -0.0413436
7.91582 0.974055 -0.0369755 0.00313804 0.00347055 0.999946 0.704593 -0.049567
8.28798 0.969798 -0.0389086 0.00312145 0.00278975 0.999964 0.718875 -0.0288701
8.32 0.972991 -0.034401 0.00501935 0.00616457 0.99983 0.759589 -0.0463328
9.82 0.988296 -0.0496317 0.00556743 0.00549428 0.999865 0.752487 -0.0418491
9.82 0.971825 -0.0419025 0.00663396 0.00649706 0.999811 0.744542 -0.0588727
9.95999 0.967702 -0.0391948 0.00684513 0.00484119 0.999895 0.759769 -0.043848
10.4283 0.981187 -0.0427789 0.00584618 0.00632686 0.999821 0.781007 -0.0442392
10.9185 0.96919 -0.0417628 0.00528688 0.00737931 0.999758 0.75205 -0.039832
11.31 0.968373 -0.0541851 0.00347518 0.00323798 0.999953 0.767151 -0.0478602
11.31 0.962161 -0.0493398 0.0075201 0.00454011 0.999907 0.792613 -0.040984
12.42 0.978611 -0.0652468 0.0111748 0.0110618 0.999435 0.750287 -0.0653769
12.42 0.953057 -0.0450156 0.0159076 0.0145003 0.99905 0.766299 -0.066841
13.92 0.971683 -0.0572538 0.00714872 0.00769093 0.999735 0.751346 -0.034883
14.25 0.977353 -0.0563801 0.00552201 0.00519955 0.999878 0.769608 -0.0773259
15.75 0.983295 -0.0685376 0.00413389 0.00509021 0.999884 0.808593 -0.0734388
15.7683 0.991628 -0.0675322 0.00560953 0.00376342 0.999938 0.781209 -0.069747
16.5096 0.992499 -0.0723465 0.0044496 0.00345556 0.999947 0.77365 -0.0734832
16.74 0.988422 -0.0745963 0.00375028 0.00339296 0.999949 0.79199 -0.0723297
18.24 0.976191 -0.0768595 0.00440132 0.00829516 0.999691 0.769929 -0.0909119
18.67 0.984718 -0.0796516 0.00604782 0.0080381 0.999708 0.789095 -0.0720009
20.17 1.00156 -0.085636 0.00924313 0.0155149 0.998924 0.807685 -0.0852777
20.51 0.980391 -0.101231 0.0146668 0.015936 0.998847 0.856278 -0.0948061
22.01 0.980281 -0.101985 0.020521 0.0165444 0.99875 0.804638 -0.113195
22.7722 0.981695 -0.0976391 0.0115377 0.0161022 0.998842 0.831691 -0.118257
23.8429 0.991946 -0.101894 0.00681992 0.0108561 0.999464 0.85007 -0.109262
24.9638 0.996971 -0.110268 0.00701282 0.00414013 0.999926 0.881713 -0.108674
26.1375 1.00359 -0.120876 0.00485732 0.00573672 0.999853 0.855895 -0.125179
27.3663 1.00762 -0.130742 0.00341566 0.00498946 0.999887 0.826333 -0.137974
28.6529 0.997979 -0.135124 0.00544445 0.00610139 0.999834 0.914681 -0.125209
30.38 0.990241 -0.139122 0.00452542 0.00449758 0.999909 0.948473 -0.145847
