# bode_plot v2 2026-08-07 18:55:35
# element=1 inject=replace output=raw amplitude=0.3 amplitude2=0.15
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=2380 fs_measured=2309.94
# fit K(<=30Hz)=0.4048 +/- 0.0159  tau_meas_ms=1.0191  loop_frames=3.354 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=3.04  mag_flat_rms=0.092
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant through the PARPORT DAC (DAC81404, spi link, mmio, range 0-5 V on a +/-12 V supply), no coarse stage, ch0=y / ch1=x. Drive 2.5 V +/- 100 mV, i.e. 2.4..2.6 V (scale -1.0 V/unit, offset 2.5, amplitude 0.1). 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Purpose: derive BOTH Kx and tau for this transport from scratch. tau: expect SHORTER than the piplate-era 5.8 fr, since the ~0.5-1.4 ms serial write is now a ~6.4 us bit-bang. Kx: expect WELL BELOW the old 0.915 -- the fine channel is divided downstream and scale is halved (1.0 vs 2.0 V/unit), so the old value is not a prediction, only an upper bound. K uses <=30 Hz; tau uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 0 0 0 0 0 0.423427 -0.0704129
5.09 0 0 0 0 0 0.429114 0.0404301
5.09 0 0 0 0 0 0.347677 -0.0413759
6.59 0.291254 0.0164536 0.0722033 0.3834 0.936973 0.438621 0.0345698
6.59 0.407996 -0.0259962 0.014322 0.0336207 0.996581 0.394846 -0.0989967
6.83499 0.398988 -0.00759146 0.0154146 0.0597731 0.988633 0.413125 0.0633156
7.27598 0.416534 0.00898947 0.0160789 0.0545279 0.991227 0.352876 0.0173182
7.74542 0.410071 -0.110501 0.0166589 0.0376861 0.995786 0.443316 -0.0284499
8.24515 0.382261 -0.0485295 0.0116522 0.0576099 0.99 0.363626 -0.0924277
8.32 0.404513 -0.0136853 0.0196924 0.0383581 0.995569 0.394958 -0.0818345
9.82 0.409748 -0.022383 0.0244008 0.0598595 0.990789 0.323194 0.0516181
9.94625 0.469095 -0.0449422 0.0110835 0.041009 0.99495 0.402848 -0.055095
10.588 0.407781 -0.0883182 0.0286907 0.0494829 0.993327 0.410579 0.0276116
11.2711 0.379374 -0.0610975 0.0196339 0.0549331 0.991533 0.407441 0.0426928
11.31 0.361396 -0.00834201 0.0193952 0.0608488 0.987838 0.429628 0.0232214
12.42 0.399828 -0.0386425 0.0136767 0.0548328 0.990656 0.489013 -0.0336392
13.92 0.388467 0.0331296 0.0182878 0.0515457 0.992382 0.432155 0.0364848
14.25 0.385307 -0.0138795 0.0164506 0.0508851 0.992277 0.392124 -0.0785517
15.75 0.394668 -0.0696384 0.0229311 0.038966 0.995451 0.426584 0.0365361
16.4017 0.370094 -0.070969 0.0156517 0.0538062 0.991451 0.432004 -0.0831604
16.74 0.397178 -0.0414177 0.020943 0.0500687 0.992365 0.436063 0.027051
18.5864 0.439286 -0.151181 0.0212206 0.0263446 0.997936 0.413663 -0.119768
20.17 0.425468 -0.0886901 0.0120551 0.0367023 0.995957 0.373852 -0.0411022
20.51 0.372788 -0.00452244 0.0149085 0.038546 0.995745 0.413623 -0.19193
22.421 0.391187 -0.0618805 0.0135791 0.0249121 0.998175 0.45526 -0.0399968
23.8676 0.391822 -0.0375539 0.0173178 0.0289491 0.997606 0.384245 -0.114422
25.4075 0.406619 -0.0793635 0.0246135 0.0246657 0.998145 0.402369 -0.135547
27.0468 0.417988 -0.0744261 0.00836646 0.0329452 0.996845 0.391489 -0.102614
28.7919 0.379742 -0.00817787 0.025223 0.0388989 0.995874 0.431995 -0.142276
30.6495 0.401072 -0.104307 0.0238945 0.0305274 0.996988 0.478682 -0.0357929
32.627 0.43289 -0.0887462 0.0222933 0.0304052 0.997127 0.475423 -0.111706
34.732 0.406451 -0.161658 0.0132575 0.0260552 0.997918 0.527857 -0.142768
36.9729 0.412915 -0.129154 0.0116821 0.0271461 0.997775 0.43047 -0.138655
39.3584 0.401568 -0.162875 0.0165235 0.0205954 0.998715 0.418773 -0.114604
41.8978 0.433696 -0.137641 0.0200509 0.0288167 0.997566 0.467753 -0.153292
44.601 0.455755 -0.150441 0.0247869 0.0261226 0.998211 0.475029 -0.141647
47.4786 0.463146 -0.195484 0.0148736 0.0291671 0.997399 0.451561 -0.142835
50.5419 0.47163 -0.194252 0.0135068 0.0203203 0.998756 0.433465 -0.206683
53.8028 0.451533 -0.243181 0.0184484 0.0230225 0.998348 0.457508 -0.180293
56.75 0.443758 -0.214842 0.01113 0.0239297 0.998255 0.464662 -0.216819
60.9695 0.405841 -0.229529 0.0124436 0.0211069 0.998506 0.433301 -0.20752
64.9032 0.416464 -0.260938 0.0241282 0.0245322 0.998125 0.480446 -0.245805
69.0907 0.407893 -0.319397 0.0139649 0.0164612 0.999209 0.494659 -0.247267
73.5484 0.472819 -0.3454 0.0198309 0.00917149 0.999782 0.45664 -0.333441
