# bode_plot v2 2026-07-21 09:51:18
# element=0 inject=replace output=raw amplitude=0.3 amplitude2=0.15
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3784.34
# fit K(<=30Hz)=0.3500 +/- 0.0031  tau_meas_ms=1.1741  loop_frames=5.443 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=2.57  mag_flat_rms=0.047
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config y/tip open-loop plant, coarse bias 1.5/2.15 (new alignment 2026-07-21, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, tracked 20x20 thr22. Re-bode at the new bias to refresh Ky/tau for the loop retune.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.356838 -0.0326842 0.00175099 0.00404367 0.999951 0.331186 -0.0253139
4.89 0.366773 -0.0192227 0.0033325 0.00453562 0.999939 0.322712 -0.0286878
6.39 0.35711 -0.0284168 0.00248721 0.00587858 0.999897 0.320807 -0.0298343
6.39 0.34956 -0.0322452 0.0018467 0.00232635 0.999984 0.326092 -0.0383268
6.59968 0.143771 0.239431 0.126618 0.417046 0.377623 0.320569 -0.0409119
7.07393 0.354446 -0.0329227 0.00232338 0.00307041 0.99997 0.331739 -0.0228428
7.58226 0.354517 -0.0383948 0.00149782 0.0053022 0.999917 0.323625 -0.0531606
8.12713 0.347936 -0.0378342 0.00363493 0.0122685 0.999546 0.320525 -0.0496435
8.71115 0.351318 -0.0461936 0.00308866 0.0132619 0.999479 0.326043 -0.0627645
8.84 0.335087 -0.100616 0.00543657 0.0107271 0.999653 0.297706 -0.0553971
10.34 0.344284 -0.0565448 0.0102035 0.0093917 0.999708 0.315746 -0.0623261
10.55 0.335989 -0.0638482 0.00384552 0.0200948 0.998775 0.308408 -0.0161419
11.66 0.332436 -0.0531858 0.00457702 0.0186453 0.99895 0.294398 -0.0474743
11.66 0.337074 -0.0671734 0.00662281 0.0254038 0.998043 0.299331 -0.0299879
13.21 0.337034 -0.0634931 0.00226988 0.00751322 0.999828 0.302709 -0.0610099
14.1593 0.3474 -0.0649092 0.00321445 0.00854366 0.999782 0.31374 -0.068766
15.1768 0.343464 -0.0707453 0.00483863 0.00645897 0.999877 0.311242 -0.0752334
16.2674 0.34157 -0.080403 0.00298249 0.0113941 0.999614 0.309648 -0.0804246
