# bode_plot v2 2026-07-21 16:15:02
# element=0 inject=replace output=raw amplitude=0.3 amplitude2=0.15
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3778.29
# fit K(<=30Hz)=0.6793 +/- 0.0031  tau_meas_ms=0.9063  loop_frames=4.424 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=0.70  mag_flat_rms=0.014
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config y/tip open-loop plant, coarse bias 2.0/2.0 (beam realigned, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Re-bode at the new bias to refresh Ky/tau. Beam now centred so the 07-21 y-clipping (beam parked row 23/32) should be gone; K uses <=30 Hz, tau uses full 5-300 Hz slope.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.674711 -0.0321874 0.00250927 0.00590257 0.999896 0.680643 -0.0348543
4.89 0.674222 -0.0349177 0.00299906 0.00244432 0.999982 0.681204 -0.0398334
4.89 0.675888 -0.038813 0.00218408 0.00342595 0.999965 0.683115 -0.0371314
4.89 0.677974 -0.0405579 0.0018447 0.00178866 0.99999 0.681911 -0.0355825
6.39 0.67995 -0.0521266 0.00135331 0.00279415 0.999976 0.682074 -0.0509247
6.39 0.67684 -0.0524724 0.00232426 0.00487394 0.999929 0.68126 -0.0513266
6.39 0.676153 -0.0569712 0.0021874 0.00344729 0.999965 0.682888 -0.0411419
6.39 0.673134 -0.0537944 0.00335926 0.0111207 0.999631 0.678203 -0.0412036
6.39 0.680361 -0.0598391 0.00389823 0.0054543 0.999911 0.683412 -0.0428995
6.5716 0.677558 -0.057195 0.0029223 0.00217513 0.999985 0.676952 -0.0498868
6.77423 0.677546 -0.0552758 0.00159534 0.00362694 0.99996 0.678865 -0.0399748
6.98311 0.674594 -0.0598063 0.00206838 0.00347733 0.999963 0.679386 -0.0506799
