# bode_plot v2 2026-07-21 17:24:38
# element=0 inject=replace output=raw amplitude=0.3 amplitude2=0.15
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3760.96
# fit K(<=30Hz)=0.6447 +/- 0.0047  tau_meas_ms=1.2836  loop_frames=5.828 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=2.80  mag_flat_rms=0.066
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config y/tip open-loop plant, coarse bias 2.0/2.0 (beam realigned, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Re-bode at the new bias to refresh Ky/tau. Beam now centred so the 07-21 y-clipping (beam parked row 23/32) should be gone; K uses <=30 Hz, tau uses full 5-300 Hz slope.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
4.89 0.70391 -0.00463485 0.061864 0.0202281 0.998368 0.573619 -0.0847599
4.89 0.650762 -0.0370251 0.00196204 0.00193677 0.999989 0.706473 0.123191
6.39 0.644546 -0.0423653 0.00269184 0.00481005 0.99993 0.651238 -0.0420416
6.39 0.645812 -0.043291 0.00392645 0.00281754 0.999976 0.650569 -0.0456661
6.59968 0.649559 -0.0467818 0.00509772 0.0057406 0.999902 0.655818 -0.0399513
7.07393 0.611851 -0.00804788 0.0358508 0.0755455 0.985613 0.547818 0.0435327
7.58226 0.631856 -0.0452134 0.00922134 0.0112003 0.999619 0.653182 -0.0456077
8.12713 0.638168 -0.0546416 0.00284273 0.00507878 0.999923 0.659202 -0.051743
8.71115 0.624362 -0.0483834 0.00834682 0.0116841 0.999596 0.653194 -0.0612244
8.84 0.636546 -0.0500343 0.00957656 0.0108722 0.999646 0.64096 -0.0735171
10.34 0.649846 -0.0693831 0.00778575 0.00870014 0.999775 0.661209 -0.0681031
10.55 0.590452 -0.115357 0.0439583 0.0818702 0.975448 0.64947 -0.0677085
11.66 0.638889 -0.0761744 0.0044156 0.00735895 0.999839 0.668683 -0.0802244
11.66 0.644253 -0.0660665 0.00470695 0.00973405 0.999717 0.664894 -0.0535068
13.21 0.61777 -0.202143 0.0143536 0.126341 0.952199 0.653237 -0.105602
14.1593 0.628936 -0.0828699 0.00568727 0.00766496 0.999818 0.656496 -0.0904412
15.1768 0.638412 -0.0953966 0.00492733 0.00439853 0.99994 0.655416 -0.0893659
16.2674 0.644928 -0.10202 0.00220086 0.00848437 0.999786 0.66325 -0.103013
17.4364 0.64733 -0.104924 0.00444274 0.00962071 0.999726 0.650168 -0.109956
18.6894 0.638633 -0.104285 0.0136949 0.0251576 0.998148 0.677472 -0.123475
20.0324 0.666407 -0.116225 0.00802968 0.0254137 0.998031 0.641728 -0.131225
22.18 0.675582 -0.149138 0.0179908 0.0266254 0.997756 0.650961 -0.0730147
23.0149 0.614103 -0.161648 0.0142574 0.0262269 0.997909 0.658766 -0.15905
24.63 0.650495 -0.147376 0.00984624 0.0105036 0.999678 0.656313 -0.144036
26.4415 0.646504 -0.177956 0.00535667 0.00862945 0.999775 0.667935 -0.1961
28.3416 0.653942 -0.166691 0.00919921 0.0125282 0.999538 0.672215 -0.179701
30.3782 0.659835 -0.184131 0.00574472 0.0093989 0.999731 0.666739 -0.217244
32.5612 0.657632 -0.203609 0.00508903 0.00640167 0.999871 0.677336 -0.220378
34.78 0.662477 -0.219289 0.00397015 0.00881117 0.999771 0.67906 -0.222342
37.409 0.674234 -0.229883 0.00434245 0.0090353 0.999753 0.677977 -0.248658
40.0973 0.676591 -0.25665 0.00498367 0.0096427 0.999726 0.679783 -0.262211
42.9787 0.671254 -0.273708 0.0039412 0.00655395 0.999864 0.688052 -0.294576
46.0671 0.676643 -0.30059 0.00459958 0.00480058 0.999937 0.700554 -0.304016
49.3775 0.676758 -0.320122 0.00546648 0.0125363 0.999534 0.684594 -0.330459
52.9258 0.6817 -0.371064 0.0116061 0.0223136 0.998522 0.7167 -0.359848
56.729 0.689052 -0.404234 0.028902 0.05071 0.992332 0.717859 -0.39677
60.8056 0.681546 -0.427774 0.0260123 0.0331066 0.996573 0.306646 1.58698
65.1751 0.69587 -0.478948 0.00926103 0.0144122 0.999371 0.715306 -0.482261
69.8586 0.703086 -0.49779 0.00560006 0.00893988 0.999774 0.71784 -0.496163
74.8787 0.711295 -0.553669 0.00728848 0.0105322 0.999664 0.718526 -0.555673
80.2595 0.699865 -0.592848 0.00262334 0.00580906 0.999898 0.704649 -0.593314
86.0269 0.703842 -0.632882 0.00783262 0.0167923 0.999158 0.704127 -0.645028
92.2088 0.700385 -0.678685 0.00634551 0.00433297 0.99996 0.701165 -0.685586
98.835 0.71409 -0.732353 0.00663557 0.0125777 0.999502 0.728409 -0.743918
105.937 0.71358 -0.801699 0.00487949 0.0129499 0.999483 0.729389 -0.840566
113.55 0.712508 -0.852232 0.00795924 0.00767545 0.999822 0.711703 -0.884062
121.71 0.71721 -0.93253 0.00659517 0.015371 0.999297 0.731076 -0.977856
130.456 0.713453 -0.996766 0.00333817 0.00549247 0.999906 0.699599 -1.05308
139.83 0.700962 -1.10244 0.00829186 0.00919324 0.999757 0.704543 -1.10198
149.879 0.700263 -1.17589 0.00413099 0.00904385 0.999753 0.70601 -1.1817
160.649 0.707968 -1.26495 0.00309827 0.00715549 0.999866 0.709526 -1.2913
172.193 0.704755 -1.37761 0.00971283 0.0198672 0.998899 0.720301 -1.36747
184.567 0.709843 -1.50377 0.00129806 0.00693254 0.999849 0.701317 -1.50201
197.83 0.699072 -1.57979 0.00253056 0.00713286 0.999859 0.709422 -1.57624
212.046 0.682688 -1.71231 0.00448025 0.00312254 0.999944 0.698106 -1.73269
227.284 0.672806 -1.86125 0.00338728 0.00692659 0.999893 0.674417 -1.88615
243.617 0.639642 -1.98383 0.0045977 0.0107871 0.999622 0.655434 -1.99717
261.123 0.654345 -2.10761 0.00189108 0.00878617 0.999751 0.671685 -2.15107
279.887 0.553037 -2.33683 0.00552014 0.0125512 0.999488 0.577841 -2.48765
300 0.544977 -2.13156 0.0028601 0.0129517 0.999441 0.543118 -2.11249
