# bode_plot v2 2026-07-22 11:11:35
# element=0 inject=replace output=raw amplitude=0.3 amplitude2=0.15
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.25
# fit K(<=30Hz)=0.4569 +/- 0.0048  tau_meas_ms=1.0996  loop_frames=5.166 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=2.48  mag_flat_rms=0.095
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config y/tip open-loop plant, coarse bias 2.0/2.0 (beam realigned, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Re-bode at the new bias to refresh Ky/tau. Beam now centred so the 07-21 y-clipping (beam parked row 23/32) should be gone; K uses <=30 Hz, tau uses full 5-300 Hz slope.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 0.442412 -0.0309141 0.0032831 0.00464221 0.999937 0.560834 -0.0238532
5.09 0.417029 -0.0279277 0.00910998 0.00513149 0.999922 0.540821 -0.0205961
5.09 0.430035 -0.0296748 0.00444059 0.00180476 0.99999 0.554095 -0.0278503
6.59 0.430659 -0.036163 0.00988031 0.00480328 0.999931 0.550191 -0.0201624
6.59968 0.438229 -0.0376793 0.00770719 0.00493989 0.999924 0.531072 -0.0337302
7.07393 0.458399 -0.0371096 0.00206687 0.00335366 0.999967 0.515512 -0.0353404
7.58226 0.477112 -0.0307468 0.00582369 0.0049941 0.999924 0.47178 -0.0362822
8.12713 0.471502 -0.0362038 0.00304658 0.00159483 0.999992 0.42713 -0.0327531
8.71115 0.43778 -0.0430313 0.00524624 0.00489066 0.999931 0.453758 -0.0485197
8.98 0.455533 -0.0398625 0.00986223 0.00566023 0.999901 0.477101 -0.0267565
10.48 0.47935 -0.0602736 0.0109281 0.00784241 0.999823 0.4582 -0.0264119
10.7273 0.467655 -0.0448396 0.00639918 0.00889438 0.999765 0.462268 -0.0617175
11.31 0.427451 -0.0718219 0.00951039 0.00976516 0.999716 0.484663 -0.0275334
12.81 0.441652 -0.0529414 0.00648386 0.0104 0.999668 0.49354 -0.0454881
13.21 0.446276 -0.0585753 0.00251594 0.0089963 0.999757 0.506273 -0.0410802
14.1593 0.452483 -0.0503207 0.00540262 0.00485663 0.999931 0.526228 -0.0631665
15.1768 0.434944 -0.0658292 0.00755701 0.00739611 0.99984 0.530326 -0.0567972
16.2674 0.442723 -0.0657923 0.00547148 0.00908384 0.999751 0.494571 -0.073455
16.75 0.451055 -0.0754227 0.00494167 0.00572007 0.999906 0.494023 -0.0769056
18.67 0.473589 -0.079025 0.00617531 0.0174433 0.999089 0.463469 -0.0721299
20.17 0.46239 -0.11914 0.0121531 0.020103 0.99872 0.49398 -0.0948273
22.01 0.498253 -0.119288 0.0132283 0.0303711 0.997264 0.507008 -0.110157
