# bode_plot v2 2026-07-22 12:30:03
# element=0 inject=replace output=raw amplitude=0.3 amplitude2=0.15
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.25
# fit K(<=30Hz)=0.6599 +/- 0.0012  tau_meas_ms=1.2093  loop_frames=5.581 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=2.67  mag_flat_rms=0.072
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config y/tip open-loop plant, coarse bias 2.0/2.0 (beam realigned, matches steering_tuned.json operating point), 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Re-bode at the new bias to refresh Ky/tau. Beam now centred so the 07-21 y-clipping (beam parked row 23/32) should be gone; K uses <=30 Hz, tau uses full 5-300 Hz slope.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 0.658862 -0.0281611 0.000805722 0.00158084 0.999992 0.66114 -0.0298673
5.09 0.658723 -0.0300696 0.000395879 0.000344804 1 0.662028 -0.0297828
5.09 0.660088 -0.0294162 0.000538154 0.00118423 0.999996 0.661099 -0.0337518
6.59 0.659877 -0.0372072 0.000623577 0.00122624 0.999995 0.662103 -0.0361609
6.59968 0.66022 -0.0344792 0.000850986 0.00123229 0.999995 0.658001 -0.0372704
7.07393 0.661149 -0.0376418 0.00132862 0.00199678 0.999987 0.661176 -0.0391895
7.58226 0.659818 -0.0415147 0.00109682 0.00245644 0.999981 0.66263 -0.0401731
8.12713 0.662783 -0.0431043 0.00149065 0.00293355 0.999974 0.661258 -0.0442365
8.71115 0.660884 -0.0408452 0.00275971 0.00276692 0.999976 0.653406 -0.0490899
8.98 0.657893 -0.0414294 0.00344008 0.00305674 0.999972 0.669528 -0.0245401
10.48 0.66101 -0.0576108 0.00643823 0.00298542 0.999972 0.663115 -0.061147
10.7273 0.66684 -0.0492259 0.00781329 0.00518769 0.99992 0.662205 -0.0576609
11.31 0.659023 -0.0587144 0.00193775 0.00199448 0.999988 0.657891 -0.0597945
12.81 0.660593 -0.0673655 0.00244623 0.00972875 0.999716 0.660782 -0.0622965
13.21 0.661388 -0.0768111 0.00989621 0.00630627 0.999891 0.656864 -0.0561772
14.1593 0.664102 -0.0750657 0.00203861 0.00580148 0.999899 0.664124 -0.0704298
15.1768 0.665791 -0.075817 0.00259408 0.00490423 0.999927 0.668924 -0.0803918
16.2674 0.666084 -0.0846561 0.00265626 0.00697094 0.999854 0.668923 -0.0906408
16.75 0.667722 -0.0905816 0.00269253 0.0037057 0.999957 0.664473 -0.082211
18.67 0.668797 -0.101605 0.0109957 0.0191325 0.998918 0.68327 -0.0929084
20.17 0.678914 -0.124556 0.0250261 0.0367891 0.995972 0.665103 -0.120097
22.01 0.669106 -0.178303 0.0145319 0.0392761 0.995291 0.719059 -0.0842861
23.0149 0.690946 -0.129593 0.0150656 0.0197803 0.998837 0.669222 -0.153132
24.6688 0.677815 -0.132338 0.00901545 0.0123117 0.999545 0.642027 -0.186724
26.4415 0.671027 -0.141014 0.00600054 0.0149544 0.999346 0.675735 -0.151262
28.88 0.687462 -0.158451 0.00623716 0.0124241 0.999536 0.679382 -0.157529
30.38 0.681645 -0.16731 0.00692808 0.00919232 0.999749 0.683388 -0.160144
32.5612 0.684009 -0.181623 0.00302878 0.00417833 0.999951 0.683542 -0.184995
34.78 0.691091 -0.190405 0.0045013 0.00813602 0.999802 0.681728 -0.188302
37.409 0.688953 -0.210488 0.00263336 0.00729831 0.99984 0.690244 -0.228155
40.0973 0.697858 -0.226854 0.00483598 0.00432984 0.999946 0.699572 -0.222779
42.9787 0.700176 -0.253633 0.00691833 0.0061206 0.999877 0.696105 -0.259428
46.0671 0.702678 -0.27529 0.00511424 0.00606285 0.999884 0.706134 -0.259693
49.3775 0.707469 -0.296234 0.00463401 0.00999413 0.999698 0.697728 -0.298394
52.9258 0.702333 -0.329542 0.0153819 0.0227431 0.998373 0.691488 -0.340558
56.729 0.725522 -0.356164 0.0279076 0.0424791 0.994573 0.734651 -0.362231
60.8056 0.725691 -0.430491 0.0272105 0.0361274 0.996103 0.757786 -0.398972
65.1751 0.727311 -0.422037 0.00824452 0.0152761 0.9993 0.729055 -0.410094
69.8586 0.726924 -0.45348 0.00673593 0.00960468 0.999739 0.725383 -0.449229
74.8787 0.732736 -0.502474 0.00874223 0.00925264 0.999737 0.72632 -0.509451
80.2595 0.728037 -0.543371 0.00223448 0.00429781 0.99995 0.732336 -0.555949
86.0269 0.725238 -0.5897 0.0108915 0.00972539 0.999678 0.727721 -0.588541
92.2088 0.742058 -0.634475 0.00555378 0.00810248 0.999804 0.743509 -0.670659
98.835 0.734359 -0.673457 0.00566663 0.00566062 0.9999 0.734951 -0.6812
105.937 0.747523 -0.74746 0.00423505 0.0113694 0.999631 0.743433 -0.741593
113.55 0.75168 -0.819012 0.00628325 0.0114344 0.999574 0.71846 -0.811602
121.71 0.728924 -0.896837 0.00863903 0.0203471 0.99877 0.714655 -0.893522
130.456 0.74204 -0.953613 0.00646987 0.0083328 0.999793 0.736652 -0.946737
139.83 0.731619 -1.04048 0.00507085 0.0157344 0.999272 0.730872 -1.03737
149.879 0.742829 -1.10799 0.00432634 0.00512436 0.999921 0.743644 -1.10776
160.649 0.728874 -1.21843 0.00701157 0.0218862 0.998641 0.730583 -1.21573
172.193 0.733658 -1.27237 0.00401996 0.00359218 0.999984 0.732635 -1.2778
184.567 0.734717 -1.38712 0.00275253 0.00325109 0.999994 0.739764 -1.39711
197.83 0.711151 -1.51748 0.0154753 0.0190139 0.998891 0.714505 -1.51608
212.046 0.718417 -1.62086 0.00274572 0.0023553 1 0.729061 -1.61432
227.284 0.710684 -1.74588 0.000450238 0.00394186 0.999956 0.725535 -1.73954
243.617 0.679639 -1.97447 0.0233863 0.0300058 0.997726 0.726049 -1.9434
261.123 0.654264 -2.02638 0.00325637 0.00789632 0.99985 0.675023 -2.01702
279.887 0.602588 -2.21724 0.00327363 0.00831245 0.999796 0.63166 -2.21062
300 0.56013 -2.09231 0.0286697 0.00750727 0.999566 0.590681 -2.08522
