# bode_plot v2 2026-08-04 22:00:23
# element=0 inject=replace output=raw amplitude=0.4 amplitude2=0.2
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=557.73
# fit K(<=30Hz)=0.3089 +/- 0.0198  tau_meas_ms=1.0592  loop_frames=1.591 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=34.25  mag_flat_rms=0.538
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant through the PARPORT DAC (DAC81404, spi link, mmio, range 0-5 V on a +/-12 V supply), no coarse stage, ch0=y / ch1=x. Drive 2.5 V +/- 100 mV, i.e. 2.4..2.6 V (scale -1.0 V/unit, offset 2.5, amplitude 0.1). 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Purpose: derive BOTH Kx and tau for this transport from scratch. tau: expect SHORTER than the piplate-era 5.8 fr, since the ~0.5-1.4 ms serial write is now a ~6.4 us bit-bang. Kx: expect WELL BELOW the old 0.915 -- the fine channel is divided downstream and scale is halved (1.0 vs 2.0 V/unit), so the old value is not a prediction, only an upper bound. K uses <=30 Hz; tau uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 0.356038 -0.0235274 0.0455842 0.130177 0.954972 0.259444 0.0803662
5.09 0.377799 -0.250336 0.0311166 0.0598703 0.989204 0.427465 -0.150406
5.09 0.32675 -0.153307 0.0326308 0.092653 0.977849 0.450813 -0.0290068
6.59 0.323213 -0.11953 0.0194706 0.11276 0.963502 0.382869 0.0540604
6.59968 0.346967 -0.406477 0.0271444 0.0820231 0.98082 0.464464 -0.171794
7.07393 0.397665 -0.165781 0.034144 0.0454783 0.994396 0.352161 -0.0734145
7.58226 0.364007 -0.318392 0.0259488 0.0751226 0.982112 0.336105 -0.338374
8.12713 0.244139 -0.252171 0.0457808 0.241276 0.87664 0.338821 -0.0358374
8.32 0.363303 -0.241675 0.0762899 0.244317 0.909867 0.374773 0.0290881
9.82 0.362028 -0.232262 0.0500099 0.132096 0.952455 0.287937 0.00612629
10.0081 0.337759 -0.266393 0.0295317 0.100148 0.977519 0.346095 -0.205477
10.7273 0.367337 -0.314936 0.0196646 0.0792957 0.981441 0.359221 -0.103078
11.31 0.346188 -0.332492 0.0259769 0.0457507 0.99382 0.351399 -0.404544
12.42 0.355503 -0.338266 0.0221296 0.0587044 0.990482 0.272266 -0.554364
13.92 0.332217 -0.31579 0.0302761 0.0816039 0.980604 0.292617 -0.467288
14.1593 0.319145 -0.413923 0.0212188 0.0729633 0.985957 0.276 -0.412841
15.75 0.310123 -0.334987 0.0188353 0.0609737 0.989 0.310165 -0.388034
16.2674 0.291294 -0.57935 0.0153547 0.0444466 0.994081 0.290645 -0.317919
16.74 0.320812 -0.488123 0.0139916 0.0699226 0.984692 0.310661 -0.518298
18.67 0.353146 -0.338818 0.0124265 0.0374988 0.995558 0.244685 -0.734015
20.17 0.311123 -0.517618 0.0131884 0.0237068 0.998541 0.261258 -0.651488
22.01 0.294077 -0.51023 0.0244133 0.0771676 0.983778 0.295697 -0.514284
23.0149 0.321047 -0.405369 0.0227919 0.0959681 0.972651 0.19085 -0.510065
24.6688 0.265992 -0.626114 0.0101831 0.041625 0.994921 0.263837 -0.607664
26.4415 0.225199 -0.733007 0.0137276 0.0760251 0.983232 0.298851 -0.447566
28.3416 0.245406 -0.749641 0.0192629 0.0724343 0.986844 0.28338 -0.471264
30.38 0.236803 -0.727314 0.00982117 0.0334497 0.996859 0.25393 -0.669413
32.5612 0.252648 -0.73721 0.0112416 0.037353 0.995837 0.211121 -0.679263
34.78 0.246504 -0.681253 0.0161598 0.046189 0.993672 0.209126 -0.887318
37.409 0.244772 -0.728759 0.00729841 0.0192362 0.999036 0.179042 -0.874789
40.0973 0.248716 -0.673961 0.00829867 0.0622254 0.988593 0.160311 -0.871196
42.9787 0.18478 -0.894689 0.0166295 0.0496399 0.991634 0.179902 -0.754073
46.0671 0.193666 -0.891302 0.0157798 0.0539483 0.99104 0.170829 -0.815394
49.3775 0.129714 -1.19302 0.00908986 0.0774624 0.980985 0.193308 -0.651643
52.9258 0.182608 -0.884383 0.00943399 0.0670399 0.987812 0.149302 -0.774074
56.729 0.17624 -0.92289 0.0140096 0.0615612 0.989024 0.16917 -0.916094
60.8056 0.120902 -1.17476 0.00810621 0.0393893 0.995282 0.158869 -0.829663
65.1751 0.107671 -1.18282 0.0136962 0.0565532 0.993564 0.162718 -0.798363
69.8586 0.115037 -1.18383 0.00919389 0.0516673 0.991889 0.178771 -0.803142
74.8787 0.15676 -0.939487 0.00975908 0.0694747 0.98853 0.125808 -0.948932
80.2595 0.123903 -1.11512 0.0135229 0.084768 0.982653 0.0772061 -0.989636
86.0269 0.0904613 -1.19792 0.0079598 0.100082 0.971514 0.104367 -0.908598
92.2088 0.0705095 -1.31021 0.00833814 0.117632 0.969444 0.138491 -0.850867
98.835 0.0987372 -1.09043 0.0158126 0.0710294 0.990724 0.0719883 -0.93769
105.937 0.0941095 -1.07981 0.00704113 0.110053 0.967294 0.0588465 -1.15057
113.55 0.0458077 -1.24767 0.00958815 0.200875 0.865046 0.04773 -1.2223
121.71 0.0677187 -1.12546 0.0108124 0.0857823 0.983749 0.0499061 -0.984816
130.456 0.0656946 -1.02426 0.00966093 0.166727 0.919338 0.0376302 -1.27471
139.83 0.0602888 -1.00768 0.0100095 0.0529094 0.994318 0.0524709 -1.03386
149.879 0.0316957 -1.28548 0.00424834 0.170097 0.920405 0.049096 -1.13585
160.649 0.0282093 -1.09217 0.0071289 0.205202 0.900807 0.0273829 -1.09457
172.193 0.0374243 -1.03988 0.00899493 0.253037 0.863055 0.0123915 -1.54984
184.567 0.0421938 -0.814028 0.0135466 0.27813 0.934888 0.0260176 -1.13571
197.83 0.020884 -1.25942 0.00427408 0.198786 0.894571 0.0120586 -1.34532
212.046 0.019982 -0.636114 0.00727526 0.404965 0.766355 0.0160526 -0.776594
227.284 0.0397331 -0.379086 0.00994418 0.176067 0.893368 0.010626 -0.560534
243.617 0.0200663 -0.530274 0.0064995 0.519849 0.838755 0.0148784 -0.173521
261.123 0.00875752 -0.510932 0.00345345 0.531798 0.619714 0.0290002 -0.181371
279.887 0.0300786 -0.623171 0.00904911 0.511617 0.846118 0.0281378 -1.16191
300 0.0192364 0.0972344 0.0102425 0.621025 0.703467 0.00439997 -0.066702
