# bode_plot v2 2026-07-31 12:16:26
# element=0 inject=replace output=raw amplitude=0.1 amplitude2=0.05
# n_freqs=60 cycles=49 (7 segments x 7 cycles) n_settle=400+2cyc
# fs_nominal=3788 fs_measured=3788.29
# fit K(<=30Hz)=3.5103 +/- 0.0075  tau_meas_ms=0.4288  loop_frames=2.624 (tau*fs_meas + 1 hidden frame)  ph_resid_deg=2.69  mag_flat_rms=0.074
# note: phase EXCLUDES one frame (correlator references phi[n-1]); loop_frames above already adds it back
# config x/tilt open-loop plant through the PARPORT DAC (DAC81404, spi link, mmio, range 0-5 V on a +/-12 V supply), no coarse stage, ch0=y / ch1=x. Drive 2.5 V +/- 100 mV, i.e. 2.4..2.6 V (scale -1.0 V/unit, offset 2.5, amplitude 0.1). 32x32 exp250 gain100 bw100, beam-centred ROI via start_x/start_y, tracked 20x20 thr22. Purpose: derive BOTH Kx and tau for this transport from scratch. tau: expect SHORTER than the piplate-era 5.8 fr, since the ~0.5-1.4 ms serial write is now a ~6.4 us bit-bang. Kx: expect WELL BELOW the old 0.915 -- the fine channel is divided downstream and scale is halved (1.0 vs 2.0 V/unit), so the old value is not a prediction, only an upper bound. K uses <=30 Hz; tau uses the full 5-300 Hz phase slope, so the sweep must run to 300.
# freq_Hz mag phase_rad mag_sem phase_sem_rad quality mag2 phase2_rad
5 3.47653 4.28728e-05 0.00488334 0.000889846 0.999997 3.62041 0.000701403
5.09 3.50858 0.000232048 0.00763804 0.000870503 0.999998 3.62369 0.0007895
5.09 3.52749 -0.000506331 0.00481179 0.000385867 1 3.62537 -0.000835496
6.59 3.51921 0.00105352 0.00573955 0.000677126 0.999998 3.62649 0.000905155
6.59968 3.50538 0.000737238 0.0079946 0.00125762 0.999996 3.62451 0.00121441
7.07393 3.51267 0.00195067 0.00498599 0.000719124 0.999998 3.62303 0.000817728
7.58226 3.50503 0.00136297 0.00588886 0.00144832 0.999994 3.61935 0.00186221
8.12713 3.47368 0.00133954 0.00523539 0.00181162 0.99999 3.62358 0.00384203
8.32 3.48168 0.00198668 0.00747372 0.00111252 0.999996 3.62444 0.00308551
9.82 3.51948 0.00668019 0.00818671 0.00251956 0.999981 3.67024 -0.00983092
10.0081 3.49308 0.00424892 0.00709077 0.00318637 0.99997 3.63037 0.00191095
10.7273 3.47871 0.000861543 0.00927505 0.00173389 0.999991 3.63611 0.00142452
11.31 3.48239 0.0016189 0.00982023 0.00366519 0.99996 3.62827 -0.00107216
12.42 3.51266 0.00293838 0.01348 0.00379239 0.999958 3.65017 0.0189227
13.92 3.51397 0.00307801 0.0112061 0.00178733 0.999989 3.65649 0.00713725
14.1593 3.53934 0.00123254 0.00939576 0.00127804 0.999995 3.64889 0.00413208
15.75 3.54503 0.00406764 0.00856784 0.00170259 0.999992 3.66012 0.00028458
16.2674 3.53911 0.00569817 0.00495353 0.00265707 0.999979 3.66286 0.00534106
16.74 3.52546 0.0042905 0.00500334 0.00244984 0.999981 3.66608 0.00500537
18.67 3.55223 -0.00140526 0.017466 0.0087247 0.99977 3.69 -0.00242066
20.17 3.52225 -0.00678215 0.0364207 0.0141346 0.999397 3.64691 -0.0116728
22.01 3.52319 0.00528661 0.0524494 0.0200518 0.998793 3.62696 -0.0154545
23.0149 3.58788 -0.0151855 0.0472197 0.00350596 0.999969 3.76502 -0.00390948
24.6688 3.55039 0.00671308 0.0169861 0.00918037 0.999748 3.75606 -0.00621693
26.4415 3.63476 -0.0034844 0.0264664 0.0106458 0.99966 3.81927 0.00716019
28.3416 3.57931 0.00335233 0.0206506 0.0129677 0.999497 3.77442 -0.00368872
30.38 3.62069 -0.00937855 0.036281 0.00826117 0.999798 3.72739 -0.00344662
32.5612 3.61096 -0.00925889 0.0144558 0.0037783 0.999958 3.77308 -0.00672167
34.78 3.65161 -0.0114293 0.00607086 0.00395807 0.999952 3.77337 -0.0118322
37.409 3.66763 -0.0176365 0.00756492 0.00234274 0.999983 3.82066 -0.013749
40.0973 3.6872 -0.0225359 0.00757052 0.00301847 0.999974 3.8004 -0.0182741
42.9787 3.68621 -0.0260248 0.0119423 0.00178038 0.99999 3.84587 -0.0267869
46.0671 3.70575 -0.0370464 0.00989057 0.00201023 0.999989 3.86793 -0.0353561
49.3775 3.73523 -0.0442015 0.0112773 0.00290646 0.999978 3.88848 -0.0395882
52.9258 3.75034 -0.059491 0.0245924 0.00705906 0.99986 3.89454 -0.0560286
56.729 3.76842 -0.0481899 0.0590641 0.0156265 0.999264 3.92188 -0.0673125
